case,cores,status,bounded_makespan_cycles,makespan_cycles,bounded_over_new,extra_ddr_bytes,ddr_bytes,spill_bytes,solver_wall_seconds,evaluation_wall_seconds
003,5,ok,539607,169767,3.1785152591493047,3842484,5126748,0,0.4554519999946933,1.9619656670256518
056,5,ok,265764,81605,3.256712211261565,1072416,1294016,0,0.2904935840051621,0.9421864169999026
068,5,ok,304058,131234,2.3169148239023425,2940458,5711708,0,0.18251312500797212,0.9343248329823837
