case_id,cores,status,selected,quality_source,makespan_cycles,singlecore_cycles,singlecore_speedup,bounded_cycles,bounded_speedup,makespan_delta_vs_bounded,quality_comparison,extra_ddr_bytes,bounded_extra_ddr_bytes,solver_wall_seconds,new_E0_wall_seconds,new_E0_calls,historical_E0_wall_seconds,historical_E0_attempt_id,bounded_source_commit,bounded_attempt_id,plan_sha256
014,4,timeout,fork,new_external_E0,,17698626,,4517065,3.9181694308140353,,unavailable,,102403992,6.932628900001873,90.1038308999996,1,,,4d374dc25b5698491ddbb92837789a23a4ad3102,nikolastarx-20260924T1432Z-bounded014-P1-014-k4-r0,8d0c265ef2780fadf37e59cfb5a66e6d449e2f8eb7620af1dc29d15e9a7f81e4
015,4,ok,bounded,historical_exact_plan_bytes,53474,177362,3.3167894677787335,53474,3.3167894677787335,0,tie,263936,263936,0.8956497999970452,,0,0.22984733400517143,nikolastarx-20260924T1439Z-boundedfull4-99-P1-015-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-015-k4-r0,566eae82c5a229ce0e20763c57229be1967b52d992d9780ad41a82c55b9138f1
016,4,ok,fork,historical_exact_plan_bytes,3241338,7715523,2.380351262349067,7715523,1.0,-4474185,win,119555344,0,3.2605088999989675,,0,23.061675500001,fang-q1-stage-c-20260924-chain-atomic-grain4-016-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-016-k4-r0,5436e64081023ad8a49412872b1f6904146eab6d1afff50c4258368a15e8bb29
017,4,ok,bounded,historical_exact_plan_bytes,42384,162810,3.841308040770102,42384,3.841308040770102,0,tie,259200,259200,0.9424828000010166,,0,0.2959057920088526,nikolastarx-20260924T1439Z-boundedfull4-99-P1-017-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-017-k4-r0,5f0a27511644d3154b779fb7e6f14059c5893bd9fcec4f3f6f20e66bf7c76ca6
018,4,ok,bounded,historical_exact_plan_bytes,258063,1004367,3.8919449901768175,258063,3.8919449901768175,0,tie,4914944,4914944,1.644783899999311,,0,1.043597415991826,nikolastarx-20260924T1439Z-boundedfull4-99-P1-018-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-018-k4-r0,eab6f386e224fd0ba1a0d8ae679b4d8fa52b60556f4982ce7b3031e12c770d11
019,4,ok,bounded,historical_exact_plan_bytes,24099,81144,3.3671106684924688,24099,3.3671106684924688,0,tie,51744,51744,0.7548413000004075,,0,0.1285485829866957,nikolastarx-20260924T1439Z-boundedfull4-99-P1-019-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-019-k4-r0,420290b1793b47ccd3938c1fe170ea9c52aebcc69ca701c2178378addc5ee475
020,4,ok,bounded,historical_exact_plan_bytes,133704,532746,3.984518039849219,133704,3.984518039849219,0,tie,0,0,2.5669338000006974,,0,1.151411041006213,nikolastarx-20260924T1439Z-boundedfull4-99-P1-020-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-020-k4-r0,f56e03c9ae042bc799eaf6a5832be11e3baa77d42be0b77b9d7864f890ab7f41
021,4,ok,bounded,historical_exact_plan_bytes,1550324,6567937,4.236493145948847,1550324,4.236493145948847,0,tie,4608000,4608000,2.261222099998122,,0,0.714132166991476,nikolastarx-20260924T1439Z-boundedfull4-99-P1-021-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-021-k4-r0,3be0928961c67de80e40ce185e959eeca1ead98c9589dc89220104772fb2f110
022,4,ok,bounded,historical_exact_plan_bytes,14654,56780,3.874709976798144,14654,3.874709976798144,0,tie,13824,13824,1.173176299998886,,0,0.23811799997929484,nikolastarx-20260924T1439Z-boundedfull4-99-P1-022-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-022-k4-r0,e719364b68d5ea92e779dd234d16c274bf1a07802ccef6f0f7bda2396e523c06
023,4,ok,bounded,historical_exact_plan_bytes,31518,122614,3.890284916555619,31518,3.890284916555619,0,tie,281280,281280,0.8424226999995881,,0,0.18795387499267235,nikolastarx-20260924T1439Z-boundedfull4-99-P1-023-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-023-k4-r0,e9ba68520e4fc5c9ab57bad364ff417509e84c66632a389b92bb549ef6eb13b8
