case,contiguous,chain_critical,affine_eighth,guarded_reentry,selected,actual_selected_strategy,final_makespan,board_before,change_vs_board_percent,singlecore_baseline,singlecore_speedup,solver_wall_seconds,final_E0_wall_seconds,E0_calls,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,observed_tree_peak_rss_bytes,full_result_bytes_equal
002,132209,72795,270245,276740,chain_critical,chain_critical,72795,72056,1.025591206839116,261945,3.598392746754585,1.3896797499910463,0.3303689580061473,5,1829376,605184,0,102694912,True
008,123060,233922,64686,63768,guarded_reentry,resource_word,63768,123060,-48.18137493905412,487605,7.646546857357922,0.7687111659906805,0.24507754101068713,5,2654424,0,0,72155136,True
044,125648,74713,91922,66901,guarded_reentry,pipe_ready,66901,69113,-3.2005556118241185,154407,2.307992406690483,0.7647099579917267,0.2466364169958979,5,3766656,2791200,0,71663616,True
064,20304,24843,17829,16615,guarded_reentry,pipe_ready,16615,20304,-18.16883372734437,19116,1.150526632560939,0.704884167003911,0.20548774997587316,5,37414,0,0,60604416,True
051,610775,207134,607628,1331378,chain_critical,chain_critical,207134,610775,-66.08669313577013,607628,2.9335019842227736,0.9465593329805415,0.2956022090220358,5,1574198,1180980,0,85671936,True
016,7720311,2556787,7715523,16893158,chain_critical,chain_critical,2556787,7720311,-66.8823315537418,7715523,3.0176635754171155,20.745567125006346,4.107825207989663,5,1589934,1196716,0,543522816,True
