candidate_id,cycles,partition_copy_bytes,spill_bytes,construction_seconds,index_seconds,official_cli_seconds
002-M1,72415,605184,0,0.0,,0.1745445000124164
044-M1,74530,2864416,0,0.0,,0.1305853340018075
044-M2,69113,2815776,0,0.0,,0.13294650000170805
002-id,72415,605184,0,0.007780209009069949,0.010231499996734783,0.18490595801267773
002-critical32,72634,605184,0,0.018432292010402307,0.010231499996734783,0.179879917006474
002-critical,72056,605184,0,0.025901291985064745,0.010231499996734783,0.18392533299629577
002-earliest_start,92004,605184,0,0.12012129102367908,0.010231499996734783,0.1803765830118209
044-id,125366,2864416,2169984,0.005556625023018569,0.009104333003051579,0.12512974999845028
044-critical32,74099,2864416,0,0.007623582991072908,0.009104333003051579,0.13107183302054182
044-critical,74099,2864416,0,0.00680724999983795,0.009104333003051579,0.13288191601168364
044-earliest_start,71242,2864416,0,0.012261458003195003,0.009104333003051579,0.13271979201817885
002-confirm,72056,605184,0,0.0,,0.18795000002137385
044-confirm,69113,2815776,0,0.0,,0.1289697089814581
