label,status,makespan,call_wall_seconds,partition_added_copy_bytes,spill_added_copy_bytes,added_copy_bytes
parent,ok,100404,0.5470000000004802,0,1416192,1416192
child,ok,108066,0.6090000000003783,0,1784064,1784064
