case_id,graph_sha256,route_or_strategy,status,baseline_M,LB_B,new_M,gap_B_minus_LB,fraction_gap_closed,solver_seconds,speedup_remaining_upper_gap
024,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,stage_migration_single_cut,ok,2555343,510959,648482,2044384,0.9327313264044328,1.3524484999943525,1.0605729880984889
016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,stage_migration_single_cut,ok,7715523,1542995,1949798,6172528,0.9340945881492964,5.501273707981454,1.0432667781429452
063,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d,release_place_forest,ok,1070397,196320,232381,874077,0.9587439092894562,3.033520708006108,0.8460918027487088
080,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c,affine_eighth,ok,292138,57809,68814,234329,0.953036115888345,0.6071421660017222,0.8081757941039553
028,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,affine_eighth,ok,43836040,7794922,9095002,36041118,0.9639278670545126,5.746702875010669,0.8038718469986685
048,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764,attention_rows_ffn,ok,222220,75960,104150,146260,0.8072610419800356,0.48090225001215003,0.7918337139313536
087,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83,attention_rows_ffn,ok,3974071,718656,829783,3255415,0.9658639528293628,11.51073454201105,0.7405759821629374
074,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e,affine_eighth,ok,1682239,315885,360857,1366354,0.9670861284850046,0.9102845839806832,0.6636907445231959
067,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542,affine_eighth,ok,63834834,11783047,13422709,52051787,0.9684994100202554,2.034903082996607,0.6617809786586184
002,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,release_place_forest,ok,261945,48000,54341,213945,0.9703615415176797,0.5653722920105793,0.6367940585837584
062,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4,release_place_forest,ok,2854809,523680,588101,2331129,0.9723648927193648,9.937156915984815,0.5971543680776819
045,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793,affine_eighth,ok,125614,25096,27620,100518,0.9748900694402992,0.3426602089894004,0.4574032182746999
008,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,resource_word,ok,487605,50026,52291,437579,0.9948237918181632,0.26384833399788477,0.42219552975173436
004,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,affine_eighth,ok,392357,77123,83440,315234,0.9799609179212903,0.22924970899475738,0.3851536978714467
027,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,release_place_forest,ok,2363952,445824,474040,1918128,0.9852898242453059,0.7369145000120625,0.31561356953635666
011,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,release_place_forest,ok,184697,36890,39133,147807,0.9848248053204517,0.41095449999556877,0.28697054121102816
022,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,affine_eighth,ok,56780,10818,11421,45962,0.9868804664723032,0.3299890409980435,0.27711599367193074
034,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,affine_eighth,ok,842996,149832,157489,693164,0.9889535521175364,0.9705897499807179,0.2735453640919703
093,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36,affine_eighth,ok,74205,14794,15630,59411,0.985928531753379,0.32933220799895935,0.2682840504152093
014,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,affine_eighth,ok,17698626,3445150,3599672,14253476,0.9891589953215623,12.76474033400882,0.22052549579449732
020,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,affine_eighth,ok,532746,106522,111137,426224,0.9891723600735763,1.289574750000611,0.20767963968959524
081,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e,affine_eighth,ok,151795,30345,31626,121450,0.9894524495677234,0.7468281659821514,0.2026166766995834
037,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,affine_eighth,ok,210001,41920,43545,168081,0.9903320422891344,0.35326533298939466,0.18694556182119193
021,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,affine_eighth,ok,6567937,1238400,1283399,5329537,0.9915566774374585,1.3468547920056153,0.18595557413305563
097,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf,affine_eighth,ok,11491509,2060698,2130851,9430811,0.9925612972203557,2.301071709021926,0.18359289793346623
079,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5,affine_eighth,ok,31052251,5884877,6084154,25167374,0.9920819311541998,10.586867125006393,0.1728274317114975
033,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,affine_eighth,ok,1774196,345622,355782,1428574,0.9928880128015769,1.0318257499893662,0.1465918928311405
099,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938,affine_eighth,ok,1622999,319097,328205,1303902,0.9930148124628998,1.6235087499953806,0.1411475551484953
041,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491,affine_eighth,ok,6003957,1179048,1212656,4824909,0.9930344800285352,5.620200000004843,0.1411273334800569
089,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84,affine_eighth,ok,693092,117824,120500,575268,0.9953482550741567,0.9413001250068191,0.1306339881581584
013,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,affine_eighth,ok,263949,52743,54117,211206,0.993494502997074,0.5426413329842035,0.12705981297895086
059,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,affine_eighth,ok,829473,147559,150736,681914,0.9953410547371077,0.734276208007941,0.11847774482272388
095,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f,resource_word,ok,2084853,213999,216624,1870854,0.9985968974596628,1.0881014170008712,0.11805555624584585
018,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,affine_eighth,ok,1004367,194264,198417,810103,0.9948734913955386,0.649052708002273,0.10821392765799498
001,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,affine_eighth,ok,233110,46560,47502,186550,0.9949504154382203,0.2540134580049198,0.09928575443595022
038,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac,affine_eighth,ok,1364555,265000,268556,1099555,0.9967659644128761,1.7101652089913841,0.06818236539401301
076,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307,affine_eighth,ok,6185113,1212329,1227997,4972784,0.9968492498367112,14.160396791994572,0.06509436600765106
084,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee,resource_word,ok,2507412,253311,254640,2254101,0.999410407963086,1.8782235000107903,0.051661856163958575
007,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,affine_eighth,ok,1012562,195804,196870,816758,0.9986948398424013,0.7726192499976605,0.02800126996587249
030,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,affine_eighth,ok,2808034,555296,558288,2252738,0.9986718384472584,3.006779582996387,0.027100737709176315
036,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,affine_eighth,ok,931510,186240,187182,745270,0.9987360285534101,0.627498458023183,0.025171052648246928
091,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3,affine_eighth,ok,9186769,1796272,1802904,7390497,0.9991026313927196,13.96525433298666,0.018813197350645794
025,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,affine_eighth,ok,4863026,940565,942938,3922461,0.9993950226656173,5.926295583980391,0.013011650155259069
