case,route,baseline,ours_makespan,fang_makespan,ours_speedup,fang_speedup,ours_over_fang,mean_delta_contribution,quality,ours_ddr,fang_ddr,ours_extra,fang_extra,ours_spill,fang_spill,ours_wall,fang_wall,fang_run_path,fang_run_sha256,fang_result_sha256
013,component_envelope,263949,66946,81714,3.942715024049234,3.2301563991482487,0.8192720953569768,0.007125586249009852,win,2551808,2551808,24576,24576,0,0,0.28117720800219104,1.6634023999995406,results/a/q2-yuanzhifang/feedback-20260924/round5a/013-tensor_packet/run.json,177564499a589071bfb91677692fad54ecfd36dab5bbe54d6d01559751de84de,df880b08f099c179ceb633f2d10f459f8f98d1fc63926053b350c021a8660ebd
014,component_envelope,17698626,4510101,4400025,3.924219435440581,4.022392145499174,1.0250171305844853,-0.0009817271005859273,loss,68849500,52899100,58916760,42966360,29287824,17473536,1.0979517080122605,3.842350400000214,results/a/q2-yuanzhifang/feedback-20260924/round5a/014-tensor_packet/run.json,189fd1b12802976a938d54d98043433ca50e60f741d45f806a31d48b6a5a7a5b,58b4bcf2018669899508bce4eb05d4ec1b5b3d60ecd5ca8ac744be0dfa3d1e97
015,component_envelope,177362,56886,57293,3.117849734556833,3.095701045502941,0.992896165325607,0.0002214868905389178,win,1115782,1115782,231168,231168,0,0,0.28787608302081935,0.6547234000008757,results/a/q2-yuanzhifang/feedback-20260924/round5a/015-tensor_packet/run.json,eb29618e69d995046bfcdb172229626a8982f6c0556c6e05e1c21e2eb132eb84,cb65a866201d11cc2e8cf18696fa82902db79818acc9c5681f60a8298dc2fcf6
016,dag_eft,7715523,2250687,2566787,3.4280746278802874,3.005906995788899,0.8768499295033051,0.0042216763209138855,win,932770,802286,539552,409068,0,0,0.8415282089845277,3.9954267000011896,results/a/q2-yuanzhifang/feedback-20260924/round4/016-tensor_packet/run.json,cad70253ff7cd14a82f28906c7b1eece651ccc9f296d61e6c086be04ca121317,7dd828e45c2887bb01d0996b1566a769292bd5b6dd7adc2376fef10c3b41f7e6
017,component_envelope,162810,31517,50555,5.165783545388203,3.2204529720106816,0.6234200375828306,0.01945330573377522,win,893846,802838,249984,158976,0,0,0.2861857499810867,1.014737100000275,results/a/q2-yuanzhifang/feedback-20260924/round5a/017-tensor_packet/run.json,6d8db9f5b3f2570a0c36f54ca9eec2032977bfa018de0c6af948d8046dea0c60,18c29713c3ab4f4584f38009586d52362c0523e5afbf90b4896a69f10394af81
018,component_envelope,1004367,254215,263751,3.950856558424955,3.8080121023237825,0.9638446868447892,0.0014284445610117259,win,5360144,5318160,3767296,3725312,0,73728,0.28150258300593123,1.1080567999997584,results/a/q2-yuanzhifang/feedback-20260924/round5a/018-tensor_packet/run.json,d82e8bd8554142dc46caa0c0b923a73e781df844916b76d8de43aa7015ec5388,c7d5603bfd288f8c8df075b86682a9571067727fb49fc4a775cbe5b3601c8fdd
019,component_envelope,81144,24243,24243,3.3471105061254796,3.3471105061254796,1.0,0.0,tie,238728,236136,51744,49152,0,0,0.2860987090098206,0.8196611000003031,results/a/q2-yuanzhifang/feedback-20260924/round5a/019-tensor_packet/run.json,c78e6f61a7142d560b7f801e1041ed8dddee508492f524fbedae5dcf2cb48109,d137ef560f30a14fb996e5900f80a1b15182d0a868bdc2b57350ed01487e61a6
020,component_envelope,532746,146116,133704,3.6460483451504286,3.984518039849219,1.0928319272422664,-0.003384696946987904,loss,2359296,2359296,0,0,0,0,0.28642883300199173,1.5280198999989807,results/a/q2-yuanzhifang/feedback-20260924/round5a/020-tensor_packet/run.json,c31c9d43ac22708603c3eae91ef36fccf302a8fc0f28d91d9255549a5e79e5f1,8df911b3e7d95a2c4148c23a9033aaae23497abdf85bf4a5eb9e4e732ab3aae4
021,component_envelope,6567937,1605196,1556312,4.091672917201389,4.220192994720853,1.0314101542621275,-0.001285200775194646,loss,13279232,13279232,9940992,9940992,5332992,5332992,0.28654199998709373,0.7352769000008266,results/a/q2-yuanzhifang/feedback-20260924/round5a/021-tensor_packet/run.json,9eff536ac79e0516f67104648ffde6dec08a0f2d8dbd20a5c4b3193284134d84,ac0987d1dedf48a7850e5a7be542e731744f307d4563a46feea1cc5b296ee031
022,component_envelope,56780,15012,14644,3.782307487343459,3.8773559136847857,1.0251297459710462,-0.0009504842634132693,loss,227510,227510,13824,13824,0,0,0.29638704101671465,1.0534373999998934,results/a/q2-yuanzhifang/feedback-20260924/round5a/022-tensor_packet/run.json,1f13a1930a48e0657a0523f6db14c806e0e6e1b791752ae11a1313b072f51b19,5edc989964e4945d55983a1732db58cfbd12aaafd7a55fcd356376bb53190ad3
023,component_envelope,122614,24256,34689,5.0549967018469655,3.5346651676323906,0.6992418345873331,0.01520331534214575,win,724436,724148,280992,280704,0,0,0.28243008299614303,2.108362799999668,results/a/q2-yuanzhifang/feedback-20260924/round5a/023-tensor_packet/run.json,c7a1f15d30c96648b25c5c5b012ab6d81a3a7bf7952c064168c02c96b01d8e22,d51d9ce5652b513263fd05a59ec34198e39f1ff5658d8cde3e33b6f5a3d8272a
024,dag_eft,2555343,751695,853187,3.3994412627461936,2.995056183462711,0.8810436633469567,0.004043850792834825,win,922570,791678,529352,398460,0,0,0.28299495799001306,1.1021302999997715,results/a/q2-yuanzhifang/feedback-20260924/round4/024-tensor_packet/run.json,ff3a6efde5a4f8280a16b7414c8141a1a653382be1bab6bc7493cf37ae17b9fc,722defe09a2194f87279739c1da97331adb892012b65e0264ca8fe2610dd821c
025,component_envelope,4863026,1177396,2650833,4.130323187780492,1.834527486265638,0.4441607600327897,0.022957957015148543,win,8300544,103495680,82944,95278080,0,95195136,0.8489914590027183,4.049182300001121,results/a/q2-yuanzhifang/feedback-20260924/round5a/025-tensor_packet/run.json,5421660e158699abd78abd60d0bdece2a2aec622eec7eb481847b7b2862c7003,ee143f3860f5fc1fa1d83bdb67ecc2932049e82cb55beb531e06512c6e93c5d0
026,component_envelope,99203,44173,43637,2.2457836234804067,2.273368930036437,1.0122831542040012,-0.00027585306556030084,loss,699686,640982,170832,112128,0,0,0.28489220899064094,0.8806129000004148,results/a/q2-yuanzhifang/feedback-20260924/round5a/026-tensor_packet/run.json,76e57fc65f4b7cd3f24f329ba54318aaa06a3741035156d65be00f35498537dc,f605bcd3ff98f781f0f33d8bd9c3f3adb8ffb49aed1d86fb9eceb71573ac65d4
027,component_envelope,2363952,559196,559196,4.227412213249022,4.227412213249022,1.0,0.0,tie,5357568,5357568,3317760,3317760,0,0,0.28403883398277685,1.4829389000005904,results/a/q2-yuanzhifang/feedback-20260924/round5a/027-tensor_packet/run.json,433a847fbc378a1fb474ac910de6a8932ab9f748b73ebcc3cab29451128f2c3b,560b167acf14c3fccba29c58ba87ac933e6bcec2d97f32d7f0264f0a6c856615
028,component_envelope,43836040,13608312,10282576,3.2212694711879033,4.263137952979876,1.323434127790546,-0.010418684817919726,loss,283669248,36303360,277760640,30394752,271315200,23949312,0.5735419999982696,1.8339259999993374,results/a/q2-yuanzhifang/feedback-20260924/round4/028-tensor_packet/run.json,b986d9ee2b2f2341a3a7f1cb67131b6a718969084fd36bd3191d7a20786e8734,bcfbcb1b9308e07f807c47b3d56c87c93404999582e6b5aaf529486ec21239fe
029,component_envelope,37555,13093,11173,2.8683265867257313,3.361227960261344,1.1718428354067842,-0.00492901373535613,loss,430164,430164,0,0,0,0,0.2835483750095591,0.5462630999991234,results/a/q2-yuanzhifang/feedback-20260924/round5a/029-tensor_packet/run.json,a8f665cf8d78e3abc4ca5fcf80d24bc8a16c5e872dcb1e3c9020a32204553edf,73ebb83e0fc4c1fdab319160525fd3ef5381ed7bb4faf17d5f834e0bec8a8655
030,component_envelope,2808034,696338,695503,4.032573261835488,4.037414648103603,1.001200569947218,-4.841386268115144e-05,loss,8344524,7173068,5950464,4779008,131072,15360,0.5991745419742074,1.396668999999747,results/a/q2-yuanzhifang/feedback-20260924/round5a/030-tensor_packet/run.json,793923b8433e13dc3bc5930ab6a29b41408edd8deaa61487d06b0b4901e70204,f272d1837d87407acfe319bee686fe0237c682378c61b35a29ae509593d18920
031,component_envelope,1414369,419131,395811,3.3745272957619457,3.5733443486916734,1.0589170083701565,-0.0019881705292972775,loss,6831440,7550288,4646400,5365248,331776,307200,0.2821255419985391,1.1603595999986283,results/a/q2-yuanzhifang/feedback-20260924/round5a/031-tensor_packet/run.json,08ee93ea2b164b8cd71c8d054eb418c8e0d4f7e4946522121897d06c8cc66f6e,eff49dee4edfb2fbdcdaba94c8bec710516782e718a24afd80349c51e5d03499
032,component_envelope,41443,11239,11185,3.6874277070913783,3.7052302190433615,1.0048278945015645,-0.00017802511951983124,loss,311664,299232,18576,6144,0,0,0.2836397500068415,0.78275560000111,results/a/q2-yuanzhifang/feedback-20260924/round5a/032-tensor_packet/run.json,66b4ff315cb827791b607604a4b0b53cd06f2fe7492a0572d646b2988352a28f,871b25c1768f10911c3c0a144d12ec03e237527097d3375dee332df7c354d94a
