case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
006,4,component_envelope,ok,31425,0.283617500012042,0.2914284580037929,617332,73984,0,,82837,2.636022275258552
006,5,component_envelope,ok,31789,0.2831293750205077,0.2822405839979183,606964,63616,0,,82837,2.605838497593507
007,1,component_envelope,ok,979262,0.27988287500920705,0.8407667499850504,1732608,0,0,,1012562,1.0340051998341608
007,2,component_envelope,ok,490814,0.28446933298255317,0.842738332983572,1760256,27648,0,,1012562,2.063025912056298
007,3,component_envelope,ok,326994,0.28112654099822976,0.5605134590005036,1787904,55296,0,,1012562,3.096576695596861
007,4,component_envelope,ok,246030,0.278149374993518,0.5539862909936346,1815552,82944,0,,1012562,4.115603788155916
007,5,component_envelope,ok,196870,0.2806127500080038,0.5571991670003626,1843200,110592,0,,1012562,5.14330268705237
008,1,resource_word,ok,250437,0.2826295410050079,0.2830066670139786,2654424,0,0,,487605,1.9470166149570551
008,2,resource_word,ok,125682,0.2798536669870373,0.28272137499880046,2654424,0,0,,487605,3.8796725068028834
008,3,resource_word,ok,84303,0.27949216702836566,0.28038974999799393,2654424,0,0,,487605,5.783957866268104
008,4,resource_word,ok,63768,0.2801307500049006,0.2851982499996666,2654424,0,0,,487605,7.646546857357922
008,5,resource_word,ok,52291,0.28424550002091564,0.2872801660269033,2654424,0,0,,487605,9.324836013845594
009,1,component_envelope,ok,139915,0.2882475830265321,1.1357526250067167,495332,0,0,,153261,1.0953864846513954
009,2,component_envelope,ok,87233,0.2856831249955576,0.8526089590159245,495332,0,0,,153261,1.7569153875253631
009,3,component_envelope,ok,87297,0.2856236250081565,0.8396172920183744,519908,24576,0,,153261,1.755627341145744
009,4,component_envelope,ok,87361,0.28305399999953806,0.8317799159849528,544484,49152,0,,153261,1.7543411819919643
009,5,component_envelope,ok,87425,0.2870298750058282,0.8318602910148911,544484,49152,0,,153261,1.7530569059193595
010,1,component_envelope,ok,71470,0.28685712500009686,0.28358850002405234,384150,0,0,,86969,1.2168602210717783
010,2,component_envelope,ok,37646,0.28291604202240705,0.28269550000550225,432534,48384,0,,86969,2.3101790362853953
010,3,component_envelope,ok,29582,0.2837210829893593,0.28376812499482185,432534,48384,0,,86969,2.9399296869718072
010,4,component_envelope,ok,29933,0.281427458015969,0.2764374160033185,480918,96768,0,,86969,2.9054555173220193
010,5,component_envelope,ok,31024,0.27668829198228195,0.28154908400028944,529302,145152,0,,86969,2.8032813305827746
011,1,component_envelope,ok,184697,0.2822698749951087,0.27947549999225885,606208,0,0,,184697,1.0
011,2,component_envelope,ok,92646,0.28328741699806415,0.2769623330095783,786432,180224,0,,184697,1.9935777043801135
011,3,component_envelope,ok,69625,0.28383129098801874,0.27759208300267346,1687552,1081344,0,,184697,2.6527396768402154
011,4,component_envelope,ok,46880,0.27474291701219045,0.27994008298264816,1146880,540672,0,,184697,3.9397824232081913
011,5,component_envelope,ok,46777,0.2773401250015013,0.277455707982881,2228224,1622016,0,,184697,3.9484575753041025
012,1,component_envelope,ok,51401,0.27947312500327826,0.2793577910051681,554898,0,0,,59088,1.149549619657205
012,2,component_envelope,ok,21930,0.2768612499930896,0.2791576249874197,565842,10944,0,,59088,2.694391244870041
012,3,component_envelope,ok,17351,0.2760682910156902,0.27884658399852924,593490,38592,0,,59088,3.4054521353236127
012,4,component_envelope,ok,13803,0.27839241598849185,0.28472433402203023,575634,20736,0,,59088,4.280808519886981
012,5,component_envelope,ok,12661,0.2787101249850821,0.28415212500840425,603282,48384,0,,59088,4.666929942342627
013,1,component_envelope,ok,263949,0.27855379198445007,0.5556958749948535,2527232,0,0,,263949,1.0
013,2,component_envelope,ok,132198,0.2784724169760011,0.5607634589832742,2535424,8192,0,,263949,1.9966187083011846
013,3,component_envelope,ok,88351,0.28354979198775254,0.5571002500073519,2543616,16384,0,,263949,2.98750438591527
013,4,component_envelope,ok,66946,0.28117720800219104,0.5626307080092374,2551808,24576,0,,263949,3.942715024049234
013,5,component_envelope,ok,54117,0.2787876660004258,0.5582654999743681,2560000,32768,0,,263949,4.8773767947225455
014,1,component_envelope,ok,18021184,1.677915333013516,24.35175045800861,68403556,58470816,58470816,,17698626,0.9821011760381559
014,2,component_envelope,ok,8869498,1.6945710420259275,15.384945958008757,60433276,50500536,40607328,,17698626,1.9954484458985164
014,3,component_envelope,ok,5955608,1.6866012499958742,12.92765362499631,64708204,54775464,34989048,,17698626,2.971758047205256
014,4,component_envelope,ok,4510101,1.0979517080122605,9.306773249991238,68849500,58916760,29287824,,17698626,3.924219435440581
014,5,component_envelope,ok,3666823,1.6730522919970099,11.236176415986847,73255372,63322632,28088664,,17698626,4.826692207395885
015,1,component_envelope,ok,160641,0.27806158299790695,0.2859061670023948,884614,0,0,,177362,1.1040892424723452
015,2,component_envelope,ok,88861,0.28456691702012904,0.2945487920078449,989830,105216,0,,177362,1.9959487289136966
