method,cores,n,mean_speedup,sd_speedup,median_speedup,q1_speedup,q3_speedup,min_speedup,max_speedup,mean_observed_speedup
p1_v4_a0537aeb,1,100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0020968223600535
p1_v4_a0537aeb,2,100,1.9475131728149822,0.24689740508541214,1.9752132873250638,1.8383760342352489,2.0201584401346997,1.0891687083357073,3.1650530535786867,1.9475131728149822
p1_v4_a0537aeb,3,100,2.7390465568603664,0.43975420024750456,2.82916173160951,2.5562688133908376,2.9880097786956097,1.1755011683679744,4.473726749632009,2.7390465568603664
p1_v4_a0537aeb,4,100,3.453039755118947,0.7009056577887338,3.6262646800980174,3.002056550154179,3.955563029830252,1.4725003851486673,5.621142964749769,3.453039755118947
p1_v4_a0537aeb,5,100,4.025907473836024,1.0344934574307396,4.316213086257204,3.3067832529552934,4.861740480318159,1.4673011974209396,6.282335432112066,4.025907473836024
