case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
008,2,p1_v4_a0537aeb,487605,194956,2.5011028129424075,487605,194956,2.5011028129424075,2.5011028129424075,nikolastarx-20260924T1952Z-s59ee-P1-008-k2-r0,1
008,3,p1_v4_a0537aeb,487605,137062,3.5575505975397994,487605,137062,3.5575505975397994,3.5575505975397994,nikolastarx-20260924T1952Z-s59ee-P1-008-k3-r0,1
008,4,p1_v4_a0537aeb,487605,117710,4.142426301928468,487605,117710,4.142426301928468,4.142426301928468,nikolastarx-20260924T1952Z-s59ee-P1-008-k4-r0,1
008,5,p1_v4_a0537aeb,487605,100603,4.846823653370178,487605,100603,4.846823653370178,4.846823653370178,nikolastarx-20260924T1952Z-s59ee-P1-008-k5-r0,1
009,1,p1_v4_a0537aeb,153261,153397,0.9991134116051813,153261,153397,0.9991134116051813,1.0,nikolastarx-20260924T1952Z-s59ee-P1-009-k1-r0,1
009,2,p1_v4_a0537aeb,153261,92011,1.665681277238591,153261,92011,1.665681277238591,1.665681277238591,nikolastarx-20260924T1952Z-s59ee-P1-009-k2-r0,1
009,3,p1_v4_a0537aeb,153261,69982,2.190006001543254,153261,69982,2.190006001543254,2.190006001543254,nikolastarx-20260924T1952Z-s59ee-P1-009-k3-r0,1
009,4,p1_v4_a0537aeb,153261,57707,2.655847644133294,153261,57707,2.655847644133294,2.655847644133294,nikolastarx-20260924T1952Z-s59ee-P1-009-k4-r0,1
009,5,p1_v4_a0537aeb,153261,50248,3.0500915459321765,153261,50248,3.0500915459321765,3.0500915459321765,nikolastarx-20260924T1952Z-s59ee-P1-009-k5-r0,1
010,1,p1_v4_a0537aeb,86969,86969,1.0,86969,86969,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-010-k1-r0,1
010,2,p1_v4_a0537aeb,86969,45626,1.9061280848638933,86969,45626,1.9061280848638933,1.9061280848638933,nikolastarx-20260924T1952Z-s59ee-P1-010-k2-r0,1
010,3,p1_v4_a0537aeb,86969,30856,2.8185442053409386,86969,30856,2.8185442053409386,2.8185442053409386,nikolastarx-20260924T1952Z-s59ee-P1-010-k3-r0,1
