case,current_k2,current_k3,current_k4,current_k5,makespan_k4,M_work,V_work,original_compute_cp,relaxed_lb_k4,nodes,components,largest_component,reference_screenshot_k4_unverified
082,1.0251918393113832,1.0251918393113832,1.0251918393113832,1.0251918393113832,703323,567936,359766,54690,141984.0,4113,1,4113,2.52
075,1.0368236202738095,1.0368236202738095,1.0368236202738095,1.0368236202738095,1390602,1107520,644660,182300,276880.0,7410,1,7410,2.54
085,1.0141224524853627,1.0141224524853627,1.0141224524853627,1.0141224524853627,3143505,2565216,1724706,165564,641304.0,19737,1,19737,2.7
088,1.2361253462955257,1.2253383696893185,1.2218354890642005,1.2127002931909026,199391,173608,99744,32229,43402.0,3309,31,2798,1.9
003,1.176312484251361,1.1735365188245381,1.1707554157537536,1.167749654355317,514379,438792,325189,28285,109698.0,13455,10,13194,2.32
