method,cores,n,mean_speedup,sd_speedup,median_speedup,q1_speedup,q3_speedup,min_speedup,max_speedup,mean_observed_speedup
p1_branch_refine_834d8c9,1,100,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0020968223600535
p1_branch_refine_834d8c9,2,100,1.9515526412540205,0.24258479752235787,1.9752132873250638,1.8410837395369382,2.0201584401346997,1.0891687083357073,3.1650530535786867,1.9515526412540205
p1_branch_refine_834d8c9,3,100,2.7513994578887315,0.4275476676093385,2.82916173160951,2.56618292460017,2.9880097786956097,1.1755011683679744,4.477681345762349,2.7513994578887315
p1_branch_refine_834d8c9,4,100,3.478594098894577,0.6853948331347954,3.631337987841185,3.076932399015236,3.955563029830252,1.4725003851486673,5.621697487130738,3.478594098894577
p1_branch_refine_834d8c9,5,100,4.055266985790237,1.0137904399059166,4.3796411137223785,3.4350719150651496,4.861740480318159,1.4673011974209396,6.42226291861433,4.055266985790237
