case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
008,3,p1_branch_refine_834d8c9,487605,137062,3.5575505975397994,487605,137062,3.5575505975397994,3.5575505975397994,20260925T1525Z-s6607-branch-full500-p1-008-k3,1
008,4,p1_branch_refine_834d8c9,487605,117710,4.142426301928468,487605,117710,4.142426301928468,4.142426301928468,20260925T1525Z-s6607-branch-full500-p1-008-k4,1
008,5,p1_branch_refine_834d8c9,487605,100603,4.846823653370178,487605,100603,4.846823653370178,4.846823653370178,20260925T1525Z-s6607-branch-full500-p1-008-k5,1
009,1,p1_branch_refine_834d8c9,153261,153397,0.9991134116051813,153261,153397,0.9991134116051813,1.0,20260925T1525Z-s6607-branch-full500-p1-009-k1,1
009,2,p1_branch_refine_834d8c9,153261,92011,1.665681277238591,153261,92011,1.665681277238591,1.665681277238591,20260925T1525Z-s6607-branch-full500-p1-009-k2,1
009,3,p1_branch_refine_834d8c9,153261,69982,2.190006001543254,153261,69982,2.190006001543254,2.190006001543254,20260925T1525Z-s6607-branch-full500-p1-009-k3,1
009,4,p1_branch_refine_834d8c9,153261,57707,2.655847644133294,153261,57707,2.655847644133294,2.655847644133294,20260925T1525Z-s6607-branch-full500-p1-009-k4,1
009,5,p1_branch_refine_834d8c9,153261,50248,3.0500915459321765,153261,50248,3.0500915459321765,3.0500915459321765,20260925T1525Z-s6607-branch-full500-p1-009-k5,1
010,1,p1_branch_refine_834d8c9,86969,86969,1.0,86969,86969,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-010-k1,1
010,2,p1_branch_refine_834d8c9,86969,45626,1.9061280848638933,86969,45626,1.9061280848638933,1.9061280848638933,20260925T1525Z-s6607-branch-full500-p1-010-k2,1
010,3,p1_branch_refine_834d8c9,86969,30856,2.8185442053409386,86969,30856,2.8185442053409386,2.8185442053409386,20260925T1525Z-s6607-branch-full500-p1-010-k3,1
010,4,p1_branch_refine_834d8c9,86969,24864,3.4977879665379668,86969,24864,3.4977879665379668,3.4977879665379668,20260925T1525Z-s6607-branch-full500-p1-010-k4,1
010,5,p1_branch_refine_834d8c9,86969,29434,2.9547122375484136,86969,29434,2.9547122375484136,2.9547122375484136,20260925T1525Z-s6607-branch-full500-p1-010-k5,1
011,1,p1_branch_refine_834d8c9,184697,184697,1.0,184697,184697,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-011-k1,1
011,2,p1_branch_refine_834d8c9,184697,92646,1.9935777043801135,184697,92646,1.9935777043801135,1.9935777043801135,20260925T1525Z-s6607-branch-full500-p1-011-k2,1
011,3,p1_branch_refine_834d8c9,184697,69625,2.6527396768402154,184697,69625,2.6527396768402154,2.6527396768402154,20260925T1525Z-s6607-branch-full500-p1-011-k3,1
011,4,p1_branch_refine_834d8c9,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,3.9397824232081913,20260925T1525Z-s6607-branch-full500-p1-011-k4,1
011,5,p1_branch_refine_834d8c9,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,3.9397824232081913,20260925T1525Z-s6607-branch-full500-p1-011-k5,1
012,1,p1_branch_refine_834d8c9,59088,59088,1.0,59088,59088,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-012-k1,1
012,2,p1_branch_refine_834d8c9,59088,30094,1.9634478633614674,59088,30094,1.9634478633614674,1.9634478633614674,20260925T1525Z-s6607-branch-full500-p1-012-k2,1
012,3,p1_branch_refine_834d8c9,59088,21894,2.6988215949575225,59088,21894,2.6988215949575225,2.6988215949575225,20260925T1525Z-s6607-branch-full500-p1-012-k3,1
012,4,p1_branch_refine_834d8c9,59088,17253,3.424795687706486,59088,17253,3.424795687706486,3.424795687706486,20260925T1525Z-s6607-branch-full500-p1-012-k4,1
012,5,p1_branch_refine_834d8c9,59088,14300,4.132027972027972,59088,14300,4.132027972027972,4.132027972027972,20260925T1525Z-s6607-branch-full500-p1-012-k5,1
013,1,p1_branch_refine_834d8c9,263949,263949,1.0,263949,263949,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-013-k1,1
013,2,p1_branch_refine_834d8c9,263949,132198,1.9966187083011846,263949,132198,1.9966187083011846,1.9966187083011846,20260925T1525Z-s6607-branch-full500-p1-013-k2,1
013,3,p1_branch_refine_834d8c9,263949,88351,2.98750438591527,263949,88351,2.98750438591527,2.98750438591527,20260925T1525Z-s6607-branch-full500-p1-013-k3,1
013,4,p1_branch_refine_834d8c9,263949,66982,3.9405959810098237,263949,66982,3.9405959810098237,3.9405959810098237,20260925T1525Z-s6607-branch-full500-p1-013-k4,1
013,5,p1_branch_refine_834d8c9,263949,54363,4.855305998565201,263949,54363,4.855305998565201,4.855305998565201,20260925T1525Z-s6607-branch-full500-p1-013-k5,1
014,1,p1_branch_refine_834d8c9,17698626,17579821,1.0067580324054495,17698626,17579821,1.0067580324054495,1.0,20260925T1525Z-s6607-branch-full500-p1-014-k1,1
014,2,p1_branch_refine_834d8c9,17698626,8752017,2.02223396046877,17698626,8752017,2.02223396046877,2.02223396046877,20260925T1525Z-s6607-branch-full500-p1-014-k2,1
014,3,p1_branch_refine_834d8c9,17698626,5882800,3.008537771129394,17698626,5882800,3.008537771129394,3.008537771129394,20260925T1525Z-s6607-branch-full500-p1-014-k3,1
014,4,p1_branch_refine_834d8c9,17698626,4500863,3.9322738772542065,17698626,4500863,3.9322738772542065,3.9322738772542065,20260925T1525Z-s6607-branch-full500-p1-014-k4,1
014,5,p1_branch_refine_834d8c9,17698626,3642307,4.859180184427068,17698626,3642307,4.859180184427068,4.859180184427068,20260925T1525Z-s6607-branch-full500-p1-014-k5,1
015,1,p1_branch_refine_834d8c9,177362,177362,1.0,177362,177362,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-015-k1,1
015,2,p1_branch_refine_834d8c9,177362,92810,1.9110225191250942,177362,92810,1.9110225191250942,1.9110225191250942,20260925T1525Z-s6607-branch-full500-p1-015-k2,1
015,3,p1_branch_refine_834d8c9,177362,61224,2.896935842153404,177362,61224,2.896935842153404,2.896935842153404,20260925T1525Z-s6607-branch-full500-p1-015-k3,1
015,4,p1_branch_refine_834d8c9,177362,53474,3.3167894677787335,177362,53474,3.3167894677787335,3.3167894677787335,20260925T1525Z-s6607-branch-full500-p1-015-k4,1
015,5,p1_branch_refine_834d8c9,177362,43411,4.085646495127963,177362,43411,4.085646495127963,4.085646495127963,20260925T1525Z-s6607-branch-full500-p1-015-k5,1
016,1,p1_branch_refine_834d8c9,7715523,7715523,1.0,7715523,7715523,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-016-k1,1
016,2,p1_branch_refine_834d8c9,7715523,4550194,1.6956470427414743,7715523,4550194,1.6956470427414743,1.6956470427414743,20260925T1525Z-s6607-branch-full500-p1-016-k2,1
016,3,p1_branch_refine_834d8c9,7715523,3546086,2.1757856408445817,7715523,3546086,2.1757856408445817,2.1757856408445817,20260925T1525Z-s6607-branch-full500-p1-016-k3,1
016,4,p1_branch_refine_834d8c9,7715523,3112138,2.4791712321240253,7715523,3112138,2.4791712321240253,2.4791712321240253,20260925T1525Z-s6607-branch-full500-p1-016-k4,1
016,5,p1_branch_refine_834d8c9,7715523,2941234,2.6232265096894705,7715523,2941234,2.6232265096894705,2.6232265096894705,20260925T1525Z-s6607-branch-full500-p1-016-k5,1
017,1,p1_branch_refine_834d8c9,162810,162810,1.0,162810,162810,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-017-k1,1
