method,case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup
q2-adaptive-budget,083,1,835336.0,835336.0,1.0,1.0
q2-adaptive-budget,084,1,1266708.0,1266708.0,1.0,1.0
q2-adaptive-budget,085,1,3143505.0,3143505.0,1.0,1.0
q2-adaptive-budget,086,1,112029.0,112029.0,1.0,1.0
q2-adaptive-budget,087,1,4091707.0,4091707.0,1.0,1.0
q2-adaptive-budget,088,1,229958.0,229958.0,1.0,1.0
q2-adaptive-budget,089,1,589412.0,589412.0,1.0,1.0
q2-adaptive-budget,090,1,840883.0,840883.0,1.0,1.0
q2-adaptive-budget,091,1,9402402.0,9402402.0,1.0,1.0
q2-adaptive-budget,092,1,4180541.0,4180541.0,1.0,1.0
q2-adaptive-budget,093,1,74205.0,74205.0,1.0,1.0
q2-adaptive-budget,094,1,84458.0,84458.0,1.0,1.0
q2-adaptive-budget,095,1,1070301.0,1070301.0,1.0,1.0
q2-adaptive-budget,096,1,75620.0,75620.0,1.0,1.0
q2-adaptive-budget,097,1,11491509.0,11491509.0,1.0,1.0
q2-adaptive-budget,098,1,163731.0,163731.0,1.0,1.0
q2-adaptive-budget,099,1,1599756.0,1599756.0,1.0,1.0
q2-adaptive-budget,100,1,106726.0,106726.0,1.0,1.0
q2-adaptive-budget,001,2,233110.0,116868.0,1.9946435294520313,1.9946435294520313
q2-adaptive-budget,002,2,240813.0,124780.0,1.9299006251001762,1.9299006251001762
q2-adaptive-budget,003,2,566163.0,511949.0,1.105897267110591,1.105897267110591
q2-adaptive-budget,004,2,386417.0,195960.0,1.9719177383139417,1.9719177383139417
q2-adaptive-budget,005,2,90450.0,68784.0,1.3149860432658758,1.3149860432658758
q2-adaptive-budget,006,2,69275.0,37257.0,1.8593821295327053,1.8593821295327053
q2-adaptive-budget,007,2,979262.0,490814.0,1.9951794366093876,1.9951794366093876
q2-adaptive-budget,008,2,250437.0,125682.0,1.9926242421349118,1.9926242421349118
q2-adaptive-budget,009,2,139915.0,87233.0,1.6039228273703758,1.6039228273703758
q2-adaptive-budget,010,2,71470.0,37646.0,1.898475269616958,1.898475269616958
q2-adaptive-budget,011,2,184697.0,92646.0,1.9935777043801135,1.9935777043801135
q2-adaptive-budget,012,2,51401.0,21930.0,2.3438668490652073,2.3438668490652073
q2-adaptive-budget,013,2,263949.0,132198.0,1.9966187083011846,1.9966187083011846
q2-adaptive-budget,014,2,18021184.0,8869498.0,2.031815554837489,2.031815554837489
q2-adaptive-budget,015,2,160641.0,88861.0,1.8077784404857025,1.8077784404857025
q2-adaptive-budget,016,2,7715523.0,4027481.0,1.9157192796191962,1.9157192796191962
q2-adaptive-budget,017,2,130072.0,67524.0,1.9263076831941235,1.9263076831941235
q2-adaptive-budget,018,2,1020703.0,492735.0,2.071504967173024,2.071504967173024
q2-adaptive-budget,019,2,64148.0,36156.0,1.7742006859165838,1.7742006859165838
