case,cores,makespan,extra_ddr,ddr_bytes,spill_bytes,solver_wall,evaluation_wall,e0_result_reused,platform,cpu,workers,timing_scope,attempt_id,revision,run_id,solver_commit,source_result_sha256
003,5,165184,4026936,5311200,0,9.369421791983768,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-003-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,e229bd986f9b2b2ebb8bf7d5fe8b2fe49b99db1c163b1ff8d88a779f71a7f5da
004,1,392357,0,792576,0,0.35040079202735797,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-004-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,eff94b5f89f7ee2d0131a6dd6f79a72419824928e7cd8c7973d89a30896c66f2
004,2,198796,215040,1007616,0,0.6302426669863053,0.3588435839628801,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-004-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,1f5559655ace12721ad0aaec3e078ef9d18f581a53c8f7dbb98c95cead512738
004,3,134043,221184,1013760,0,0.3424247920047492,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-004-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,c6c0a25ef80a422b67f672bf299ac0ee006b8d3d2b866a394d1a50ca2afd9993
004,4,104188,331776,1124352,0,0.35133687499910593,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-004-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,890fa135780c28140894930f104de076b9290d074c35001acbc9b8702cd5b1fa
004,5,88341,442368,1234944,0,0.6349786249920726,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-004-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,47116463931f3df27b3a5723c0859652de51ebdff077abca9b533d8cc58d496b
005,1,95618,0,333414,0,0.35079233400756493,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-005-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,35dcbf5fdcea904a81c6a85d746f62bbb3e143e22210e9e99b901c79503372ef
005,2,58632,752304,1085718,0,1.781464750005398,0.6575014169793576,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-005-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,a742739ca86fe788dfc033014a8c56b6badeefd7ce66d6c5fd2eab9d9e654ed6
005,3,46707,976388,1309802,0,1.7885992500232533,0.6367014169809408,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-005-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,c51bf00e031a156a01ec48ed32e8c96b1cdd6645c6631dd92efd3006a87ce2a8
005,4,42167,1150250,1483664,0,1.7746499169734307,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-005-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,3f140a6efbab6c55226ac507f6e86d22483a129b114ba32a869f97ec3e174fd5
005,5,41072,1512506,1845920,0,1.7744687909726053,0.6257469999836758,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-005-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,69a8b6c85536464b1c74bd6a398137310c4ecf0d733dcc08e2c59d8e133004e7
006,1,82837,16400,559748,16400,0.35410375002538785,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-006-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,828139757ade9bf32ba18a9fbbb5ac20c2513df484748dd604b0be64cd9baf07
006,2,43425,830640,1373988,0,0.34284637501696125,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-006-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,7edd623dad9507e688aada7aac14c9fb5382d367a2063fb08b3914671b3d30c1
