cores,platform,workers,timing_scope,n,median,p95,max,p95_nearest_rank
1,macOS-27.0-arm64-arm-64bit,4,Fresh solver child; online E1 included; OS cache not flushed,100,0.35977137499139644,0.9193261330219684,1.2261553339776583,0.9188934579724446
2,macOS-27.0-arm64-arm-64bit,4,Fresh solver child; online E1 included; OS cache not flushed,100,1.4919084374851082,13.624048781555024,22.835835583042353,13.521118542004842
3,macOS-27.0-arm64-arm-64bit,4,Fresh solver child; online E1 included; OS cache not flushed,100,1.5237993960327003,13.432630778462034,23.800295541994274,13.267866165959276
4,macOS-27.0-arm64-arm-64bit,4,Fresh solver child; online E1 included; OS cache not flushed,100,1.494347416504752,13.362676836049639,24.867051625042222,13.163887834001798
5,macOS-27.0-arm64-arm-64bit,4,Fresh solver child; online E1 included; OS cache not flushed,100,1.5100258125166874,16.63676121844619,25.551509333017748,16.622663707996253
