cores,n,mean,median,p95_nearest_rank,p95_linear,max,mean_scheduled_copy_bytes,mean_extra_ddr_bytes
1,100,0.43560771248710806,0.35977137499139644,0.9188934579724446,0.9193261330219684,1.2261553339776583,15331147.26,12923846.72
2,100,3.3157984420622233,1.4919084374851082,13.521118542004842,13.624048781555024,22.835835583042353,11726731.46,9319430.92
3,100,3.426351888324134,1.5237993960327003,13.267866165959276,13.432630778462034,23.800295541994274,12076039.62,9668739.08
4,100,3.427420481298468,1.494347416504752,13.163887834001798,13.362676836049639,24.867051625042222,12245776.72,9838476.18
5,100,3.521527433673618,1.5100258125166874,16.622663707996253,16.63676121844619,25.551509333017748,12944145.9,10536845.36
