case,cores,status,makespan_cycles,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,spill_bytes,base_selected,attempt_id,run_id,reused
006,4,ok,31428,82837,84647,2.6357706503754614,2.693362606592847,0.040921458014054224,0.13280658298754133,33536,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-006-k4-r0,20260924T1439Z-boundedfull4-99,True
006,5,ok,31733,82837,84647,2.6104370844231557,2.6674754986922133,0.037623583019012585,0.13194287498481572,63616,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-006-k5-r0,20260924T1459Z-bounded400,False
007,1,ok,1012562,1012562,1022434,1.0,1.0097495264487508,0.1306059579947032,2.0430249169876333,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-007-k1-r0,20260924T1459Z-bounded400,False
007,2,ok,507494,1012562,989762,1.9952196479170197,1.950293008390247,0.1265317499928642,1.2493975830147974,27648,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-007-k2-r0,20260924T1459Z-bounded400,False
007,3,ok,338094,1012562,989762,2.994912657426633,2.927475790756417,0.12931062502320856,0.9325224999920465,55296,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-007-k3-r0,20260924T1459Z-bounded400,False
007,4,ok,254398,1012562,989762,3.980227831979811,3.890604485884323,0.12924987499718554,0.6188837499939837,82944,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-007-k4-r0,20260924T1439Z-boundedfull4-99,True
007,5,ok,203834,1012562,989762,4.967581463347626,4.855725737610016,0.13047637499403208,0.6609767919871956,110592,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-007-k5-r0,20260924T1459Z-bounded400,False
008,1,ok,487605,487605,436414,1.0,0.895015432573497,0.07645454100565985,0.24249995802529156,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-008-k1-r0,20260924T1459Z-bounded400,False
008,2,ok,244266,487605,436414,1.9962049568912579,1.786634242997388,0.07925783298560418,0.17846504200133495,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-008-k2-r0,20260924T1459Z-bounded400,False
008,3,ok,163359,487605,436414,2.984867684057811,2.6715026414216543,0.04113112500635907,0.1843602079898119,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-008-k3-r0,20260924T1459Z-bounded400,False
008,4,ok,123060,487605,436414,3.962335446123842,3.5463513733138305,0.04077637498266995,0.12752787498175167,0,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-008-k4-r0,20260924T1439Z-boundedfull4-99,True
008,5,ok,100603,487605,436414,4.846823653370178,4.337981968728567,0.0733068749832455,0.18378024999401532,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-008-k5-r0,20260924T1459Z-bounded400,False
009,1,ok,153397,153261,168051,0.9991134116051813,1.095529899541712,0.13333812498603947,2.123616332974052,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-009-k1-r0,20260924T1459Z-bounded400,False
009,2,ok,92198,153261,168051,1.66230286991041,1.8227184971474435,0.12976287500350736,2.668565750005655,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-009-k2-r0,20260924T1459Z-bounded400,False
009,3,ok,92207,153261,168051,1.6621406183912284,1.8225405880247703,0.1755468750197906,2.443429125007242,24576,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-009-k3-r0,20260924T1459Z-bounded400,False
009,4,ok,92216,153261,168051,1.6619783985425522,1.8223627136288714,0.13013562498963438,2.236172415985493,49152,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-009-k4-r0,20260924T1439Z-boundedfull4-99,True
009,5,ok,92225,153261,168051,1.6618162103551097,1.8221848739495798,0.12607395800296217,2.3307652080256958,49152,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-009-k5-r0,20260924T1459Z-bounded400,False
010,1,ok,86969,86969,81965,1.0,0.9424622566661685,0.03967808300512843,0.12925916601670906,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-010-k1-r0,20260924T1459Z-bounded400,False
010,2,ok,45626,86969,81965,1.9061280848638933,1.7964537763555868,0.039297792012803257,0.1261509160103742,48384,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-010-k2-r0,20260924T1459Z-bounded400,False
010,3,ok,30856,86969,81965,2.8185442053409386,2.6563715322789734,0.04088541600503959,0.12974454200593755,48384,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-010-k3-r0,20260924T1459Z-bounded400,False
010,4,ok,29856,86969,81965,2.9129488210075025,2.7453443193997855,0.04125254199607298,0.12766929200734012,96768,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-010-k4-r0,20260924T1439Z-boundedfull4-99,True
010,5,ok,31015,86969,81965,2.8040947928421733,2.6427535063678866,0.04095045800204389,0.1288242500158958,145152,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-010-k5-r0,20260924T1459Z-bounded400,False
011,1,ok,184697,184697,216172,1.0,1.1704142460353986,0.040954916999908164,0.13112633299897425,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-011-k1-r0,20260924T1459Z-bounded400,False
011,2,ok,92646,184697,151224,1.9935777043801135,1.6322777022213588,0.04125683300662786,0.12917820800794289,180224,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-011-k2-r0,20260924T1459Z-bounded400,False
011,3,ok,69625,184697,151224,2.6527396768402154,2.1719784560143625,0.04096199999912642,0.18284037499688566,1081344,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-011-k3-r0,20260924T1459Z-bounded400,False
011,4,ok,46880,184697,151224,3.9397824232081913,3.2257679180887373,0.03950487499241717,0.12981325000873767,540672,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-011-k4-r0,20260924T1439Z-boundedfull4-99,True
011,5,ok,47287,184697,151224,3.905872649988369,3.198003679658257,0.04025316602201201,0.13071812500129454,1622016,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-011-k5-r0,20260924T1459Z-bounded400,False
012,1,ok,59088,59088,61675,1.0,1.0437821554291904,0.0752931669994723,0.18368345801718533,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-012-k1-r0,20260924T1459Z-bounded400,False
012,2,ok,30094,59088,61675,1.9634478633614674,2.0494118428922707,0.07475670799612999,0.1798951670061797,28800,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-012-k2-r0,20260924T1459Z-bounded400,False
012,3,ok,21894,59088,61675,2.6988215949575225,2.8169818215036084,0.04149812497780658,0.18762316700303927,20160,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-012-k3-r0,20260924T1459Z-bounded400,False
012,4,ok,17253,59088,61675,3.424795687706486,3.574740624818872,0.040766292018815875,0.17973029101267457,39168,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-012-k4-r0,20260924T1439Z-boundedfull4-99,True
012,5,ok,14300,59088,61675,4.132027972027972,4.312937062937063,0.04114583399496041,0.18185129199991934,49536,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-012-k5-r0,20260924T1459Z-bounded400,False
013,1,ok,263949,263949,308669,1.0,1.1694266695460107,0.07737283399910666,0.8873413749970496,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-013-k1-r0,20260924T1459Z-bounded400,False
013,2,ok,132198,263949,275461,1.9966187083011846,2.0837002072648603,0.07340254198061302,0.5663984160055406,8192,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-013-k2-r0,20260924T1459Z-bounded400,False
013,3,ok,88351,263949,275461,2.98750438591527,3.117802854523435,0.07817420799983665,0.3946160829800647,16384,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-013-k3-r0,20260924T1459Z-bounded400,False
013,4,ok,66982,263949,275461,3.9405959810098237,4.112463049774567,0.07598804100416601,0.3455708749825135,24576,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-013-k4-r0,20260924T1439Z-boundedfull4-99,True
