problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P2,069,5,dag_chain_list,ok,17901,0.5615526999990834,1.9744439000005514,822294,696240,0,
P3,069,5,dag_chain_list,ok,16554,0.5615526999990834,3.4037492999996175,822294,696240,0,0.25864281997417465
P2,071,5,dag_chain_list,ok,12856,0.6178727999995317,1.4125095999988844,560502,439056,0,
P3,071,5,dag_chain_list,ok,12149,0.6178727999995317,0.936249599999428,560502,439056,0,0.24184893446834657
