case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
001,gap_packet,1,ok,233110,0.8827024000020174,1.3690529999985301,233110,1.0,1639552,0,0,2f9e7cac907098d682810c51e8cf1e9ff2339c029eb306844d63770eb03033f0,results/a/q2-yuanzhifang/feedback-20260924/round15a/001-gap_packet/run.json
002,gap_packet,1,ok,270245,1.1123034999982337,2.3523028999989037,261945,0.9692871283465004,1626624,402432,402432,2f9fc8922d2dab060c34260e554d732b81463439d3342ee56e99a5a0cced16f4,results/a/q2-yuanzhifang/feedback-20260924/round15a/002-gap_packet/run.json
003,gap_packet,1,ok,450981,3.202392000002874,12.851146599998174,602212,1.3353378523707207,2151370,867106,867106,6bf50555cb68267d438b3483138f2811546e004942d19c18252667bcda21a857,results/a/q2-yuanzhifang/feedback-20260924/round15a/003-gap_packet/run.json
004,gap_packet,1,ok,386363,0.7849690000002738,1.1158847000006062,392357,1.01551390790526,3028992,2236416,2236416,b9831a5d54db05317e8dc9298a44d810152bfd873b5dfdaceaf4cd0167a91252,results/a/q2-yuanzhifang/feedback-20260924/round15a/004-gap_packet/run.json
006,gap_packet,1,ok,69415,1.5281710999988718,0.9883407000015723,82837,1.1933587841244688,581274,37926,37926,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,results/a/q2-yuanzhifang/feedback-20260924/round15a/006-gap_packet/run.json
007,gap_packet,1,ok,993070,1.5363533000017924,4.2014354999992065,1012562,1.019628022193803,8735232,7002624,7002624,fc823202b08ed52b110a8fa91044d1b0b56e3a7d06f3cd6aa5614e0791733ff0,results/a/q2-yuanzhifang/feedback-20260924/round15a/007-gap_packet/run.json
008,gap_packet,1,ok,477046,0.7717677000000549,1.1921021999987715,487605,1.0221341338151877,12865752,10211328,10211328,b8c9a8758b1a648fc476718660cf394952d71d78bdeedceb7bf23db205bd6ed0,results/a/q2-yuanzhifang/feedback-20260924/round15a/008-gap_packet/run.json
009,gap_packet,1,ok,120103,2.0900307999982033,5.006082600000809,153261,1.2760796982589944,567594,72262,72262,5db86a6d6272fc87d9e9d98899371744d32571f5dc4c3c27d1d934dc3b0c7ed4,results/a/q2-yuanzhifang/feedback-20260924/round15a/009-gap_packet/run.json
010,gap_packet,1,ok,57684,1.134216500002367,1.3433611999971617,86969,1.5076797725539144,406166,22016,22016,ec35b30a25d0407602fa35b68c68d4356cff6a27b4551dcd0ff7acb3256a8519,results/a/q2-yuanzhifang/feedback-20260924/round15a/010-gap_packet/run.json
011,gap_packet,1,ok,184697,2.351995299999544,1.7673021000009612,184697,1.0,606208,0,0,57df72f2f3e37ff1b98c7c28ac6c4aca078e5983b1ef7ace6ece420109b388a9,results/a/q2-yuanzhifang/feedback-20260924/round15a/011-gap_packet/run.json
012,gap_packet,1,ok,36348,1.1324423999976716,1.5520418000014615,59088,1.6256190161769561,554898,0,0,46266da2f03bd9228e5d6f55ffb99f5e0b1af3d4623bb6c75de385970a2a580b,results/a/q2-yuanzhifang/feedback-20260924/round15a/012-gap_packet/run.json
013,gap_packet,1,ok,263949,1.1484724999972968,2.135932999997749,263949,1.0,2527232,0,0,09f6e715c2258f1a65df7d95e8d20f28e78a7a1465cf685415e6ad1140a7a84d,results/a/q2-yuanzhifang/feedback-20260924/round15a/013-gap_packet/run.json
014,gap_packet,1,ok,17430036,8.573558600000979,61.355602999999974,17698626,1.015409606727146,115547332,105614592,105614592,6fa34156ec091d123285ae49276b9d2981280899a2a0fe19ee5f547b0fde203e,results/a/q2-yuanzhifang/feedback-20260924/round15a/014-gap_packet/run.json
015,gap_packet,1,ok,114569,1.3974960999985342,1.5152172000016435,177362,1.5480801962136355,1843162,958548,958548,3a591fe6e5a60a5a68f50c4296e80d27c563f17c51e16b9194b0f9f2babcc63c,results/a/q2-yuanzhifang/feedback-20260924/round15a/015-gap_packet/run.json
