case_id,cores,B,U,L0,L_plus,graph_sha256
010,2,86969,29542,27748,27748,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,3,86969,22823,18499,18499,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,4,86969,19267,13874,13874,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,5,86969,20608,11100,11100,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
011,1,184697,184697,184448,184524,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,2,184697,92646,92224,92300,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,3,184697,69625,61483,61832,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,4,184697,46880,46112,46188,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,5,184697,39133,36890,37204,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
012,1,59088,36348,35572,35613,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,2,59088,18967,17786,17827,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,3,59088,14299,11858,11899,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,4,59088,12849,8893,8934,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,5,59088,13175,7115,7156,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
013,1,263949,263949,263712,263844,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,2,263949,132198,131856,131988,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,3,263949,88351,87904,88036,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,4,263949,66946,65928,66060,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,5,263949,54117,52743,52875,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
014,1,17698626,17418277,17225748,17225868,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,2,17698626,8765645,8612874,8612994,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,3,17698626,5853384,5741916,5742036,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,4,17698626,4430193,4306437,4306557,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,5,17698626,3599672,3445150,3445270,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
015,1,177362,112496,101497,101497,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,2,177362,72694,50749,50749,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,3,177362,41211,33833,33833,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,4,177362,40071,25375,25375,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,5,177362,38938,20300,20300,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
016,1,7715523,7715523,7714975,7714975,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,2,7715523,4017614,3857488,3857494,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,3,7715523,2884306,2571659,2571672,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,4,7715523,2250332,1928744,1928760,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,5,7715523,1949798,1542995,1543016,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
017,1,162810,111608,110600,110641,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,2,162810,56703,55300,55341,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,3,162810,40602,36867,36908,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,4,162810,32865,27650,27691,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,5,162810,30143,22120,22161,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
018,1,1004367,971704,971320,971373,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,2,1004367,488538,485660,485713,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,3,1004367,331328,323774,323827,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,4,1004367,254155,242830,242883,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,5,1004367,198417,194264,194317,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
019,1,81144,51676,48436,48493,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,2,81144,26642,24218,24275,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,3,81144,21684,16146,16203,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,4,81144,20821,12234,12234,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,5,81144,19576,12234,12234,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
020,1,532746,532746,532608,532608,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,2,532746,266580,266304,266304,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,3,532746,184495,177536,177536,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,4,532746,145520,133152,133152,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,5,532746,111137,106522,106552,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
021,1,6567937,6349969,6192000,6192816,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,2,6567937,3193634,3096000,3096816,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,3,6567937,2140863,2064000,2065032,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,4,6567937,1550324,1548000,1548816,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,5,6567937,1249380,1238400,1239216,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
022,1,56780,55127,54087,54087,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,2,56780,28060,27044,27044,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,3,56780,18462,18029,18029,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,4,56780,14190,13522,13522,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
022,5,56780,11421,10818,10818,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7
023,1,122614,78947,69558,69558,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,2,122614,40077,34779,34779,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,3,122614,27814,23186,23186,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,4,122614,21931,17390,17390,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
023,5,122614,19332,13912,13912,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739
024,1,2555343,2555343,2554795,2554795,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
024,2,2555343,1331138,1277398,1277404,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
024,3,2555343,955894,851599,851612,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
024,4,2555343,746444,638699,638715,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
024,5,2555343,648482,510959,510980,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec
025,1,4863026,4703066,4702824,4702860,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
025,2,4863026,2351860,2351412,2351448,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
025,3,4863026,1568824,1567608,1567644,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
025,4,4863026,1177396,1175706,1176000,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
025,5,4863026,942938,940565,940800,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb
026,1,99203,73319,70768,70768,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
026,2,99203,39404,35384,35384,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
026,3,99203,33181,23590,23590,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
026,4,99203,30310,17692,17692,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
026,5,99203,30256,14154,14154,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b
027,1,2363952,2356733,2229120,2229528,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
027,2,2363952,1120962,1114560,1114968,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
027,3,2363952,837049,743040,743448,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
027,4,2363952,559196,557280,557688,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
027,5,2363952,474040,445824,446232,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b
028,1,43836040,39427116,38974608,38975424,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
028,2,43836040,19938966,19487304,19488120,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
028,3,43836040,13397125,12991536,12992352,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
028,4,43836040,9988326,9743652,9744468,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
028,5,43836040,8025115,7794922,7795738,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212
029,1,37555,37555,37485,37485,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
029,2,37555,18880,18743,18743,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
029,3,37555,12951,12495,12495,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
029,4,37555,11377,9372,9372,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
029,5,37555,10005,7497,7497,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b
030,1,2808034,2795156,2776480,2776798,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
030,2,2808034,1394911,1388240,1388558,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
030,3,2808034,928296,925494,925812,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
030,4,2808034,696146,694120,694438,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
030,5,2808034,558288,555296,555614,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90
031,1,1414369,1341484,1334492,1334533,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
031,2,1414369,686138,667246,667287,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
031,3,1414369,486904,444831,444872,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
031,4,1414369,364213,333623,333664,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
031,5,1414369,360981,266899,266940,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
032,1,41443,34107,33995,33995,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
032,2,41443,17737,16998,16998,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
032,3,41443,12161,11332,11332,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
032,4,41443,11177,8499,8499,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
032,5,41443,10326,6799,6799,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
033,1,1774196,1741019,1728108,1728177,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
033,2,1774196,875407,864054,864123,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
033,3,1774196,584778,576036,576105,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
033,4,1774196,438106,432027,432096,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
033,5,1774196,355782,345622,345739,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
034,1,842996,750528,749160,749233,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
034,2,842996,382433,374580,374653,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
034,3,842996,261890,249720,249793,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
034,4,842996,193017,187290,187363,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
034,5,842996,157489,149832,149905,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
035,1,169571,146198,143909,143909,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
035,2,169571,72879,71955,71955,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
035,3,169571,50797,47970,47970,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
035,4,169571,39663,35978,35978,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
