problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P3,046,5,pipeline_stages,ok,83050,1.0080189000000246,1.4047100999996474,2599520,1538048,1087488,0.4630545968647345
P3,044,5,pipeline_stages,ok,41205,0.8200638000016625,1.59215690000201,2726752,1751296,1585152,0.604753940252225
P2,073,5,pipeline_stages,ok,3337352,1.5089063999985228,4.848463099999208,114723712,110682624,109504512,
P2,067,5,pipeline_stages,ok,15686331,2.023633200002223,10.912081099999341,216930688,210882560,202303488,
P3,073,5,pipeline_stages,ok,3337352,1.5089063999985228,6.590786500000831,114723712,110682624,109504512,0.0
P2,083,5,pipeline_stages,ok,295101,2.0460203000002366,3.4172422000010556,7939680,6501376,4755456,
P3,067,5,pipeline_stages,ok,15686331,2.023633200002223,10.30026650000218,216930688,210882560,202303488,0.0
P3,083,5,pipeline_stages,ok,241719,2.0460203000002366,4.46083820000058,7939680,6501376,4755456,0.5519236821215694
P3,092,5,pipeline_stages,failed,,11.937220899999375,,,,,
