cores,current_mean_B_U,old_mean_B_L0,new_mean_B_L1,old_headroom,new_headroom,strengthened_cells,extra_copy_sum,spill_sum,scheduled_copy_sum,mean_case_byte_hit_rate,solver_wall_sum,solver_wall_mean,mean_CacheGain_author,pooled_byte_hit_rate_author,top5_sum,top10_sum,top20_sum
1,1.1997595678587545,1.2429878590954115,1.2424989201120464,0.04322829123665703,0.04273935225329187,69,1479545976,1479545976,1720276030,0.0646551326108523,394.34146391792456,3.9434146391792457,1.0023396456088587,0.09954928154013913,0.012892394884087343,0.02026392360499309,0.028530882800009795
2,2.312002295129782,2.483374902741961,2.480342047047814,0.17137260761217912,0.1683397519180319,75,1227063266,844783808,1467793320,0.16252184505246103,431.0275402488769,4.310275402488769,1.0079236454663982,0.36416490860758244,0.04793036448681599,0.0772279578706583,0.11147836595029673
3,3.258687134445883,3.710418375628817,3.703545689612653,0.4517312411829343,0.4448585551667697,75,1303395940,774758518,1544125994,0.2595899594952508,438.4708816171624,4.3847088161716234,1.0313799262555163,0.41238711020460556,0.10279268321444142,0.16868880712230516,0.26460402932322513
4,4.091503001561421,4.936769214077402,4.921787012984127,0.8452662125159817,0.830284011422706,74,1355026786,716620870,1595756840,0.2452898357447949,455.0570043332991,4.550570043332991,1.0512016361351884,0.42439589297377345,0.16258124477359226,0.2939295583230748,0.4787172394864783
5,4.7576166788448955,6.140526035014713,6.101890378769242,1.3829093561698174,1.344273699924346,77,1325640272,515187348,1566370326,0.3136333185938237,481.5183440838591,4.815183440838592,1.082917172693062,0.47445902400474377,0.23477469302591586,0.4271971019894396,0.7359025666964574
