case_id,cores,graph_sha256,config_sha256,official_sha256,solver_commit,plan_sha256,B_published,U_feed_M3,CP,work_M,work_V,L0_recomputed,L_window,L_atomic,L1_proved,a,b,window_pipe,window_work,B_over_U,B_over_L0,B_over_L1,max_cycle_reduction_U_minus_L1,max_time_fraction_reduction,optimality_factor_at_most,mean_contribution_upper_L0,mean_contribution_upper_L1,scheduled_copy_bytes_feed,extra_copy_bytes_feed,spill_bytes_feed,case_byte_hit_rate_feed,solver_wall_seconds_feed,online_E0_calls_declared,same_plan_M2,CacheGain,cache_pair_numeric_status,U_evidence_scope,B_evidence_scope
003,1,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,124379cd6c9597d3d9baff275bd411ff8e3db0ccfb638f0c619d253ecf6f2e56,602212,442629,28285,438792,325189,438792,438894,191064,438894,0,102,PIPE_M,438792,1.360534443066315,1.3724315848967164,1.372112628561794,3735,0.008438218011020515,1.008510027478161,0.00011897141830401248,0.00011578185495478844,1950656,666392,666392,1.3601757841722527e-05,4.810056207992602,1,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
003,2,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,6a7be6758790ed864eb2c89af8bd6157266406827ef73b15a0129c3bc9a2cd2a,602212,229045,28285,438792,325189,219396,219498,95532,219498,0,102,PIPE_M,438792,2.6292300639612303,2.7448631697934327,2.7435876408896664,9547,0.04168176559191428,1.0434947015462555,0.0011563310583220243,0.0011435757692843619,3592518,2308254,0,0.14970318522128206,7.811822417017538,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
003,3,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,8a74bfa997261732bb465c7f2da5bd3c18d553ba1bffe6063f77a124fb7fb6ce,602212,169168,28285,438792,325189,146264,146366,63688,146366,0,102,PIPE_M,438792,3.559845833727419,4.11729475469015,4.114425481327631,22802,0.13478908540622336,1.1557875462880725,0.005574489209627309,0.005545796476002121,4710516,3426252,0,0.31425364758698093,7.653663540957496,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
003,4,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,9f78fe5e0c91ba2abde4a8890e3ac12da6ef63460e6163a2f8393b8c58edb1a9,602212,139553,28285,438792,325189,109698,109800,47804,109800,0,102,PIPE_M,438792,4.315292397870343,5.489726339586865,5.484626593806921,29753,0.2132021525871891,1.270974499089253,0.011744339417165222,0.011693341959365782,5949978,4665714,0,0.42662489966920686,8.142736917012371,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
003,5,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,323c5662d39e4e39302581e865777e34ef05d0db6d24e9940da25395071cb817,602212,124094,28285,438792,325189,87759,87861,38228,87861,0,102,PIPE_M,438792,4.852869598852482,6.862111008557527,6.854144614789269,36233,0.29198027301884055,1.4123900251533672,0.020092414097050443,0.020012750159367865,6855908,5571644,0,0.46397428575960914,8.259596292045899,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
004,1,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,eb27a399dec0766476b103eb6876baffe355f1ab097190aa5da4b029333ae08a,392357,386363,2748,385614,47952,385614,385644,385614,385644,0,30,PIPE_M,385614,1.01551390790526,1.0174863983154139,1.017407246061134,719,0.0018609442415552513,1.0018644138117019,1.9724904101539043e-05,1.8933381558741135e-05,792576,0,0,0.0,0.4434649159666151,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
004,2,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,0ec4441451ac4646159c1ecbec72cb691d540ed4197581569cfc82c6bfd50108,392357,195960,2748,385614,47952,192807,192837,193386,193386,0,30,PIPE_M,385614,2.0022300469483567,2.0349727966308278,2.0288800637067834,2574,0.013135333741579935,1.0133101672303062,0.0003274274968247104,0.0002665001675842671,903168,110592,0,0.0,0.49910399998771027,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
004,3,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,d59b656b67aff612ad74c1b76303d62f14de9da1e7be1862c5d36b13b29fbdcd,392357,130725,2748,385614,47952,128538,128568,128538,128568,0,30,PIPE_M,385614,3.001392235609103,3.0524591949462416,3.051746935473835,2157,0.01650028686173266,1.0167771140563748,0.0005106695933713867,0.0005035469986473196,1013760,221184,0,0.0,0.4694242080440745,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
004,4,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,e498c28206ba10ec3061329d40d0d62baeb3a30220d714c1d801c2bf49708d46,392357,100126,2748,385614,47952,96404,96434,97272,97272,0,30,PIPE_M,385614,3.9186325230209937,4.069924484461225,4.03360679332182,2854,0.028504084853085088,1.0293404062834115,0.001512919614402315,0.0011497427030082586,1124352,331776,0,0.0,0.48673683300148696,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
004,5,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,51d2dfb1a4c0864659d527d8b5262312f3f7fa28b3cb0dd2c6a08d518767e4de,392357,83440,2748,385614,47952,77123,77153,77586,77586,0,30,PIPE_M,385614,4.702265100671141,5.087418798542588,5.057059263269147,5854,0.07015819750719077,1.0754517567602402,0.003851536978714467,0.003547941625980053,1234944,442368,0,0.0,0.4903514999896288,2,,,not_in_payload,hash-bound published successful E0 feed; raw result not in payload,published fixed baseline and matching hashes; raw baseline not in payload
