case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
010,P1,4,q1_search_32_seed0,ok,29769,86969,2.921461923477443,21.27716479999981,0.6090000000003783,"{""original_graph_copy_bytes"":384150,""scheduled_copy_bytes"":747030,""added_copy_bytes"":362880,""partition_added_copy_bytes"":362880,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/010/k4/search/e0_best/result.json.gz
010,P1,5,q1_search_32_seed0,ok,30054,86969,2.8937579024422706,22.189178500000708,0.625,"{""original_graph_copy_bytes"":384150,""scheduled_copy_bytes"":747030,""added_copy_bytes"":362880,""partition_added_copy_bytes"":362880,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/010/k5/search/e0_best/result.json.gz
011,P1,1,official_singlecore_baseline,ok,184697,184697,1.0,,,"{""original_graph_copy_bytes"": 606208, ""scheduled_copy_bytes"": 606208, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/011/e0/result.json.gz
011,P1,2,q1_search_32_seed0,ok,94212,184697,1.9604402836156753,31.400092500000028,0.6559999999999491,"{""original_graph_copy_bytes"":606208,""scheduled_copy_bytes"":1867776,""added_copy_bytes"":1261568,""partition_added_copy_bytes"":1261568,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/011/k2/search/e0_best/result.json.gz
011,P1,3,q1_search_32_seed0,ok,70323,184697,2.626409567282397,27.151198400000794,0.75,"{""original_graph_copy_bytes"":606208,""scheduled_copy_bytes"":2093056,""added_copy_bytes"":1486848,""partition_added_copy_bytes"":1486848,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/011/k3/search/e0_best/result.json.gz
011,P1,4,q1_search_32_seed0,ok,47748,184697,3.8681620172572675,33.35756180000044,0.6880000000001019,"{""original_graph_copy_bytes"":606208,""scheduled_copy_bytes"":1507328,""added_copy_bytes"":901120,""partition_added_copy_bytes"":901120,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/011/k4/search/e0_best/result.json.gz
011,P1,5,q1_search_32_seed0,ok,47637,184697,3.877175304910049,29.056110399999852,0.8119999999998981,"{""original_graph_copy_bytes"":606208,""scheduled_copy_bytes"":2260992,""added_copy_bytes"":1654784,""partition_added_copy_bytes"":1654784,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/011/k5/search/e0_best/result.json.gz
012,P1,1,official_singlecore_baseline,ok,59088,59088,1.0,,,"{""original_graph_copy_bytes"": 554898, ""scheduled_copy_bytes"": 554898, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/012/e0/result.json.gz
012,P1,2,q1_search_32_seed0,ok,29649,59088,1.992917130425984,29.572315600000366,0.7340000000003783,"{""original_graph_copy_bytes"":554898,""scheduled_copy_bytes"":593490,""added_copy_bytes"":38592,""partition_added_copy_bytes"":38592,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/012/k2/search/e0_best/result.json.gz
012,P1,3,q1_search_32_seed0,ok,19868,59088,2.9740285886853233,28.785039499999584,0.7970000000004802,"{""original_graph_copy_bytes"":554898,""scheduled_copy_bytes"":601090,""added_copy_bytes"":46192,""partition_added_copy_bytes"":46192,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/012/k3/search/e0_best/result.json.gz
