problem,cores,metric,n,expected,failed,missing,incomplete,unavailable,mean,median,min,max,solver_wall_seconds_n,solver_wall_seconds_mean,solver_wall_seconds_median,solver_wall_seconds_min,solver_wall_seconds_max,e0_wall_seconds_n,e0_wall_seconds_mean,e0_wall_seconds_median,e0_wall_seconds_min,e0_wall_seconds_max
P1,1,multicore_speedup,86,100,14,0,0,0,1.0,1.0,1.0,1.0,0,,,,,0,,,,
P1,2,multicore_speedup,78,100,22,0,0,0,1.7698293814465598,1.9448006292446018,0.7743098412201974,2.2132987341362567,78,47.61355551794872,49.534753249999085,27.39314220000051,74.40961059999972,78,3.475410256410389,1.7890000000006694,0.5619999999998981,21.03099999999904
P1,3,multicore_speedup,76,100,24,0,0,0,2.427580988907594,2.7894069888393886,0.9220679056756896,3.2127698239471174,76,46.967303044737,49.41559739999957,22.707475899999736,73.19248329999937,76,3.4114210526316513,1.9459999999999127,0.625,20.85900000000038
P1,4,multicore_speedup,76,100,24,0,0,0,2.965848142764969,3.566258338455722,1.0,4.40620614502605,76,47.30378802763167,50.190173349999895,21.27716479999981,70.62268099999892,76,3.5666315789474083,1.8285000000005311,0.5940000000009604,16.42200000000048
P1,5,multicore_speedup,76,100,24,0,0,0,3.3468192649128836,3.959235251061186,0.9594974548653697,5.411517531202791,76,47.1956863907894,49.604791799999475,22.189178500000708,78.66347490000044,76,3.6630263157893106,1.9995000000003529,0.6090000000003783,16.67200000000048
P2,1,multicore_speedup,86,100,14,0,0,0,1.0,1.0,1.0,1.0,0,,,,,0,,,,
P2,2,multicore_speedup,86,100,0,0,0,14,1.4555818387728616,1.3552814109263833,0.9784511439832113,2.022193251691183,100,0.7876903599999878,0.5237555999992765,0.31636409999919124,5.1763809000003675,100,5.599707765999992,1.9452989999999772,0.6139884999993228,38.70567730000039
P2,3,multicore_speedup,86,100,0,0,0,14,1.821075614646394,1.6454771460011501,0.9575361878732666,2.998507569778288,100,0.7721605389999877,0.5438273500003561,0.3142991999993683,4.925719799997751,100,5.01252322699991,1.9152801000000181,0.6028769999993528,40.129859299999225
P2,4,multicore_speedup,86,100,0,0,0,14,2.1033256986566595,1.9378382728103682,0.9414893617021277,4.227412213249022,100,0.7861359210001047,0.5537007500006439,0.2259877000014967,6.463572500000737,100,4.608047234000042,1.8179910999997446,0.503515200000038,33.10217519999787
P2,5,multicore_speedup,86,100,0,0,0,14,2.2491092199227283,1.7499396452622702,0.9770009199632015,5.340997920194716,100,0.7755637540000316,0.5414964499996131,0.24675810000007914,4.289025699999911,100,4.413347966000001,1.8843616499998461,0.5171312999991642,31.524361100000533
P3,1,multicore_speedup,86,100,0,0,0,14,1.0962417349821074,1.0394632018544303,0.8977785531518958,1.9794711962030713,100,12.757067266999957,2.968108449999818,0.6051850999992894,121.34346770000047,100,11.489582282999963,2.162893349999649,0.22631579999870155,115.8493739000005
P3,2,multicore_speedup,86,100,0,0,0,14,1.8982093054965339,1.994970939921547,0.9422334622335327,3.954135153376942,100,9.337576180999886,2.683639200000016,0.5803570999996737,72.62159969999993,100,8.084817547999883,1.931098449998899,0.21147989999917627,67.2663837
P3,3,multicore_speedup,86,100,0,0,0,14,2.5723842043395044,2.9016497052892296,0.9422334622335327,5.932568638028449,100,8.17085143800009,2.614208449999751,0.5993263000000297,53.56797699999879,100,6.893637487000006,1.8946665000003122,0.21033399999942048,48.287681699999666
P3,4,multicore_speedup,86,100,0,0,0,14,3.1336587321665603,3.495536639145895,0.9422334622335327,7.885240952488773,100,7.768916742000147,2.590444749999733,0.6168887000003451,53.690916300001845,100,6.4980246680001255,1.797589099999641,0.21056250000037835,47.660966599998574
P3,5,multicore_speedup,86,100,0,0,0,14,3.6044155977440693,3.9545110439157285,0.9422334622335327,9.84688972667295,100,7.672451111999999,2.5312449000002744,0.6278279000016482,54.042565799998556,100,6.405913353999831,1.75176884999928,0.23243129999900702,51.16859750000003
P3,1,cache_speedup,100,100,0,0,0,0,1.0076514030128885,1.0,1.0,1.4562271062271062,100,12.757067266999957,2.968108449999818,0.6051850999992894,121.34346770000047,100,11.489582282999963,2.162893349999649,0.22631579999870155,115.8493739000005
P3,2,cache_speedup,100,100,0,0,0,0,1.0113365181660596,1.0,1.0,1.528266069912802,100,9.337576180999886,2.683639200000016,0.5803570999996737,72.62159969999993,100,8.084817547999883,1.931098449998899,0.21147989999917627,67.2663837
P3,3,cache_speedup,100,100,0,0,0,0,1.0147112274353085,1.0,0.9973693364384046,1.502453591606134,100,8.17085143800009,2.614208449999751,0.5993263000000297,53.56797699999879,100,6.893637487000006,1.8946665000003122,0.21033399999942048,48.287681699999666
P3,4,cache_speedup,100,100,0,0,0,0,1.0189121064530335,1.0,0.9998024211848786,1.3880962761631772,100,7.768916742000147,2.590444749999733,0.6168887000003451,53.690916300001845,100,6.4980246680001255,1.797589099999641,0.21056250000037835,47.660966599998574
P3,5,cache_speedup,100,100,0,0,0,0,1.0255895731062141,1.0,0.9999865223661334,1.6121283459761095,100,7.672451111999999,2.5312449000002744,0.6278279000016482,54.042565799998556,100,6.405913353999831,1.75176884999928,0.23243129999900702,51.16859750000003
