cores,common_n,expected,P1_mean,P2_mean,P3_mean
1,74,100,1.0,1.0,1.0938238363485202
2,74,100,1.8014344743223425,1.4907405842359813,1.9416174705320592
3,74,100,2.4471807179484895,1.9073877053834143,2.6460619504170784
4,74,100,2.9984394260579466,2.2063500203320716,3.2496315956447597
5,74,100,3.410780618033634,2.307185902394579,3.753503587385005
