problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P2,044,4,pipeline_cold_setup,ok,64211,0.6142877000020235,0.784103199999663,2707296,1731840,1622016,
P3,044,4,pipeline_cold_setup,ok,41738,0.6142877000020235,0.9259748000004038,2707296,1731840,1622016,0.6167698915834174
