case,cores,seed_M,new_M,reduction_pct,solver_wall_seconds,old_extra_bytes,new_extra_bytes,old_spill_bytes,new_spill_bytes,old_byte_hit_rate,new_byte_hit_rate
010,5,30674,20608,32.81606572341397,0.329773750010645,145152,1014156,0,0,0.11754435689586758,0.3089448306918405
044,5,85406,83958,1.6954312343395062,0.464584666013252,4184448,3954560,462848,0,0.09346342803278586,0.04643365237545001
100,5,61639,33676,45.365758691737376,0.5999204590043519,211968,1852574,0,0,0.018963723853117564,0.4265931959750838
