variant,case,cores,makespan,extra_ddr,plan_hash
p2,21,3,2140720,36655104,13362774572585a30167aed18b9929d52f1962390d05fafb3dc4dbd318a098c4
p3,21,3,2140863,36655104,13362774572585a30167aed18b9929d52f1962390d05fafb3dc4dbd318a098c4
