group,label,case,problem,cores,assignment,method,gamma,makespan,original_graph_copy_bytes,scheduled_copy_bytes,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,wall_s,e0_cli_wall_s,graph_sha256,plan_sha256,result_sha256,trace_sha256
candidate,synthetic1_c10005_q2_k4_component_coarse_g1_h8,10005,2,4,component,coarse,1,10984,655616,656384,768,768,0,0.6224235549998411,0.6207957100000385,ed2c8b41b3429c0871eb1b8f9d6d73de20185886daf95abc03db48eb9d9db03e,61d3a6de8e7fba296205c0137ae77bdaa9054c153ad72072c76639b320544c13,df41e4be7c3908b89032762753576af56628046a58138310c0c497e30fd542e6,3a1adf55340b5efd4ad228a03a98285e9ba5667392895182b3c206d2c38634f5
candidate,synthetic1_c10005_q2_k4_component_frontier_g1_h8,10005,2,4,component,frontier,1,11048,655616,656384,768,768,0,0.6427642610001385,0.6214795580001464,ed2c8b41b3429c0871eb1b8f9d6d73de20185886daf95abc03db48eb9d9db03e,96953405abdb7a05e37fd0c223e9c6a568ba18e309f733f2647d71a485b823f8,b5f2f10471196cf4d5b8365c69baf64c63e379906178f287bc0f56ad9e98796a,e85190eb2d2651d05d0328ca15cf03f11c39a7c1369489197857d2868daad292
candidate,synthetic1_c10005_q2_k4_component_id_g1_h8,10005,2,4,component,id,1,10984,655616,656384,768,768,0,0.6357868529998996,0.6300760880001235,ed2c8b41b3429c0871eb1b8f9d6d73de20185886daf95abc03db48eb9d9db03e,5af7fb08204e72d78f7668782e39750ec0c2be75ce7e92a02095799f957f7532,68862f308b2c4e20c04b23a6092420477ca3a0484b99f0fe78b570ebfc1e80de,e1ba10d096d939c50c8e86c2ea2d7f38e6fba72cb6d480cb0e46d311760f514c
candidate,synthetic1_c10005_q2_k4_component_stage_tail_g0.5_h8,10005,2,4,component,stage_tail,0.5,10984,655616,656384,768,768,0,0.6961915420001787,0.6716722389999177,ed2c8b41b3429c0871eb1b8f9d6d73de20185886daf95abc03db48eb9d9db03e,d801a6e2dce98d200a1caa293ad5fe17b10dfd75bf952a804009c6b9c2721116,6baa9fa1fcf7382ebda4ca11790b704a06a8b3b5308187f182944402d4e220aa,a1c377e9450ab955ff4c10e52ca7f9bc7dddff0b07479d229d7c25a26c834336
candidate,synthetic1_c10005_q2_k4_component_unguarded_g1_h8,10005,2,4,component,unguarded,1,11048,655616,656384,768,768,0,0.6935484990001441,0.6733738990001257,ed2c8b41b3429c0871eb1b8f9d6d73de20185886daf95abc03db48eb9d9db03e,96953405abdb7a05e37fd0c223e9c6a568ba18e309f733f2647d71a485b823f8,b5f2f10471196cf4d5b8365c69baf64c63e379906178f287bc0f56ad9e98796a,e85190eb2d2651d05d0328ca15cf03f11c39a7c1369489197857d2868daad292
candidate,synthetic1_c10006_q2_k4_component_coarse_g1_h8,10006,2,4,component,coarse,1,35184,2099712,2107392,7680,7680,0,0.7228105259998756,0.7215535200000431,99791ac029a5317a6bc5640edf7efcf6792552ddc3473bf737f912cc2170a9b7,e26c85a1ecd14a211e0c593e844eef06460d49987794d741c4750f8ba4c65d91,d9bbc7171c7411bf670c235f74d4d8f0beeda8a76f2e5b5527d35720e49fb24d,63c28a6e9ed640dc95963936f7933159e4f07a622f046f80a15cc3c1ec3ed3e3
candidate,synthetic1_c10006_q2_k4_component_frontier_g1_h8,10006,2,4,component,frontier,1,37500,2099712,2107392,7680,7680,0,0.6464598959998966,0.6324799740000344,99791ac029a5317a6bc5640edf7efcf6792552ddc3473bf737f912cc2170a9b7,60df94574734ec560054adec5ecd0527acfc2f7dd93f351f17c6bd2fb59e8af7,1eeef713368dcbb3093652903ef75f2d7575d9622a1a5439ed29db6dcc80f712,7730711e903bfe27faa2ce07a65e16772b19ab1c0d215214018af985291e854e
candidate,synthetic1_c10006_q2_k4_component_id_g1_h8,10006,2,4,component,id,1,35184,2099712,2107392,7680,7680,0,0.7079448490001141,0.7057691869999871,99791ac029a5317a6bc5640edf7efcf6792552ddc3473bf737f912cc2170a9b7,4b15415338c2168e867de3f29593a83590aa471900320dd2ca4d1dc8f0a4c2c5,e7bb88f76f750921fcd013a2de75ecf0747e13875950bbe2c3c4a9d7a33f98e3,d7781932a4db7eaf291f8ef35d4ba12633157ed0a91293335ecfd470113de10c
candidate,synthetic1_c10006_q2_k4_component_stage_tail_g0.5_h8,10006,2,4,component,stage_tail,0.5,35184,2099712,2107392,7680,7680,0,0.6044352030000937,0.5896771170000648,99791ac029a5317a6bc5640edf7efcf6792552ddc3473bf737f912cc2170a9b7,9850f034502e71a15d4914de163a5f223521307b322456d21fdeb797871d6d01,b53935f8aa7dbb54dc7ae9ab2b1ebc78034fea3161b3921d2b9c70cce18e8310,3e1ffeda8b77158cda5486b7d238e71e1f15cdc593416fec966d67b8c60bc3e9
candidate,synthetic1_c10006_q2_k4_component_unguarded_g1_h8,10006,2,4,component,unguarded,1,53267,2099712,3155968,1056256,7680,1048576,0.6394625590000942,0.6177080770000885,99791ac029a5317a6bc5640edf7efcf6792552ddc3473bf737f912cc2170a9b7,0a8ce9d579de0bf9319a188379b7d9be155e1daf412fa9d8c96774a6a1f96c13,0caa9eebe83c6685a56c447f05b84af6c501da638d3d2f8db456fb6137d17416,92789bbfd1f961ff7c809adf161270d5542a9652a053237b5e309c0aa0b37b81
candidate,synthetic1_c10007_q2_k4_component_coarse_g1_h8,10007,2,4,component,coarse,1,43304,1050752,1057280,6528,6528,0,0.5965483640000002,0.5950971749998644,5a3b7fb1e9810eec855b7e76a66468b7edc94650ced3af48eb825e447aa34eb6,e26c85a1ecd14a211e0c593e844eef06460d49987794d741c4750f8ba4c65d91,2b70198af9c0ab4eca830d7b66b326e1ed616d13121f3de93f797d6cb38ef906,5f837d02c0e4ad99faf8579d668f606724857d5fda00254109e1e27ab93155d5
candidate,synthetic1_c10007_q2_k4_component_frontier_g1_h8,10007,2,4,component,frontier,1,36136,1050752,1057280,6528,6528,0,0.6260730620001596,0.613467448999927,5a3b7fb1e9810eec855b7e76a66468b7edc94650ced3af48eb825e447aa34eb6,05ba72604a8bec7c4e3316b7058aba3234ca91d015b0dfd0dda638d07fff0fdb,3b718eb116060e49a08d3fd3bbc77846d4cd58edf2668beebaf9e14c57f4d3db,d22dccce7b4c9080e5ab834b608dc0f34fa276eac2c7b1730db811399bc2ff2f
candidate,synthetic1_c10007_q2_k4_component_id_g1_h8,10007,2,4,component,id,1,43304,1050752,1057280,6528,6528,0,0.5910914979999689,0.5890708500000983,5a3b7fb1e9810eec855b7e76a66468b7edc94650ced3af48eb825e447aa34eb6,4b15415338c2168e867de3f29593a83590aa471900320dd2ca4d1dc8f0a4c2c5,547e90648d62095094a69124c54a263a816e6e22335e8f76eb14af1107fae3e1,e6f2e05dd3694221a3fb00051bd45d2e4aef66ae7cdd6ee434458ccef62a097a
candidate,synthetic1_c10007_q2_k4_component_stage_tail_g0.5_h8,10007,2,4,component,stage_tail,0.5,36136,1050752,1057280,6528,6528,0,0.6227353730000686,0.6042017969998597,5a3b7fb1e9810eec855b7e76a66468b7edc94650ced3af48eb825e447aa34eb6,dcbe5625aa74a9e8bb95bcfd4109046d107a13e8f7131c838accd3c4fec6f084,968be0209c3b1d7a6d89f3a1c66b1c5fe29ef2aab34cc88595232c58a7f33a1b,c104ce40823700fb27e198ca3dc87a7ef9e574a467f616c06cc7181fca20963f
candidate,synthetic1_c10007_q2_k4_component_unguarded_g1_h8,10007,2,4,component,unguarded,1,36136,1050752,1057280,6528,6528,0,0.6289247939998859,0.6158182839999427,5a3b7fb1e9810eec855b7e76a66468b7edc94650ced3af48eb825e447aa34eb6,05ba72604a8bec7c4e3316b7058aba3234ca91d015b0dfd0dda638d07fff0fdb,3b718eb116060e49a08d3fd3bbc77846d4cd58edf2668beebaf9e14c57f4d3db,d22dccce7b4c9080e5ab834b608dc0f34fa276eac2c7b1730db811399bc2ff2f
candidate,synthetic1_c10008_q2_k4_component_coarse_g1_h8,10008,2,4,component,coarse,1,1252,49280,49664,384,384,0,0.6134097770000153,0.6128107939998699,eb7b01364bc70b2304406256640d21f2524310a5518cc488cb9d17fb338279ea,6e73b4f1b5f4405a557d3f9e3b23accba5961217775000421439c98df5a6c963,595527298488d95edb54412cfb4db0c212c0a209a94a0ffb27348cfed8c97810,5399a623812e70ccc8a67e7d80dd529bbc2566fece6682cc9d6a86b43e6198a9
candidate,synthetic1_c10008_q2_k4_component_frontier_g1_h8,10008,2,4,component,frontier,1,1124,49280,49664,384,384,0,0.6065180800001144,0.6015310049999698,eb7b01364bc70b2304406256640d21f2524310a5518cc488cb9d17fb338279ea,3b5ebec28879ce6026111ff484ad0c6fae36f8947b3a33da054445bcb03e06b4,52373b9441135825bffa8df7bdd191cfbf6d783d43fdf1070d05838d5cdb9059,1421bd3c0bf8e9eccdb1d4dfd3550487dc6a592590fc3d125e0942b987a84c72
candidate,synthetic1_c10008_q2_k4_component_id_g1_h8,10008,2,4,component,id,1,1252,49280,49664,384,384,0,0.6438313389999166,0.6429497990000073,eb7b01364bc70b2304406256640d21f2524310a5518cc488cb9d17fb338279ea,0c6eba7f55279f2ada7ec311d3950396f3d7b24f3611727f25afcc20082e4886,1422ed330e333fee59a8ff9f9d27e10805aee4661b7f3228e98824c10292403a,eadd1262cec20e2638d1c5c8c295d08345e2ec5283da49a8f11eebc628bfefe4
