cores,n,mean_B_over_M,image_reference_unverified,reference_minus_mean,solver_mean_seconds,solver_p95_seconds,solver_max_seconds,E0_mean_seconds,mean_scheduled_copy_bytes,mean_extra_ddr_bytes,mean_spill_bytes
1,100,1.0,,,0.3057784270695993,0.5509422791947145,0.5590698750165757,1.3452553620788967,14824161.74,12416861.2,12416861.2
2,100,1.4598378509440837,2.26,0.8001621490559161,0.3094598500011489,0.5541112128528767,0.8378727080125827,1.216635303662042,14588582.16,12181281.62,11416970.32
3,100,1.8362181698340594,3.18,1.3437818301659408,0.3122858996197465,0.5574488961501629,0.8343486670055427,1.123665067058464,14712764.08,12305463.54,10908195.04
4,100,2.0998070125048027,3.96,1.8601929874951972,0.311241383329907,0.5541238312449422,0.8300271250191145,1.0627311041409848,14848722.18,12441421.64,10438597.44
5,100,2.281461142743281,4.53,2.2485388572567193,0.3110132121300558,0.5561606187387952,0.8257192499877419,1.030775586659438,15014331.46,12607030.92,10043119.84
