case_id,cores,baseline_M,old_M,new_M,old_speedup,new_speedup,speedup_delta,old_solver_wall,new_solver_wall,old_extra_ddr,new_extra_ddr,old_spill,new_spill,old_byte_hit,new_byte_hit,selected_strategy
001,1,233110,233110,233110,1.0,1.0,0.0,0.24367625001468696,0.21424970900989138,0,0,0,0,0.0,0.0,affine_eighth
001,2,233110,116868,116868,1.9946435294520313,1.9946435294520313,0.0,0.25238437502412125,0.22765120799886063,1152,1152,0,0,0.0,0.0,affine_eighth
001,3,233110,78545,78545,2.9678528232223567,2.9678528232223567,0.0,0.25147783299325965,0.23000158299691975,2304,2304,0,0,0.0,0.0,affine_eighth
001,4,233110,58984,58984,3.952088702020887,3.952088702020887,0.0,0.24918808400980197,0.23171704198466614,3456,3456,0,0,0.0,0.0,affine_eighth
001,5,233110,47502,47502,4.9073723211654245,4.9073723211654245,0.0,0.2540134580049198,0.2217865830170922,4608,4608,0,0,0.0,0.0,affine_eighth
002,1,261945,262089,262089,0.9994505683183956,0.9994505683183956,0.0,0.713984125002753,0.5867852910014335,0,0,0,0,0.0,0.0,balanced_reduction_tree
002,2,261945,136624,136624,1.9172692938283171,1.9172692938283171,0.0,0.7499178329890128,0.5766437079873867,18432,18432,0,0,0.0,0.0,release_place_forest
002,3,261945,93527,93527,2.8007420317127676,2.8007420317127676,0.0,0.3612057919963263,0.33735262497793883,6144,6144,0,0,0.0,0.0,balanced_reduction_tree
002,4,261945,72594,72594,3.608356062484503,3.608356062484503,0.0,0.5227710409963038,0.46029970797826536,49152,49152,0,0,0.0,0.0,release_place_forest
002,5,261945,54341,54341,4.8203934414162415,4.8203934414162415,0.0,0.5653722920105793,0.45235070897615515,49152,49152,0,0,0.0,0.0,release_place_forest
003,1,602212,442629,442629,1.360534443066315,1.360534443066315,0.0,4.1079166250128765,3.685232832998736,666392,666392,666392,666392,1.3601757841722527e-05,1.3601757841722527e-05,attention_rows_ffn
003,2,602212,240493,240493,2.504072883618234,2.504072883618234,0.0,3.620191124995472,3.184706708008889,2513964,2513964,0,0,0.13384170448760305,0.13384170448760305,attention_rows_ffn
003,3,602212,180082,180082,3.3440987994358125,3.3440987994358125,0.0,3.5081967909936793,3.0552550830179825,3925592,3925592,0,0,0.27017438971196184,0.27017438971196184,attention_rows_ffn
003,4,602212,156779,156779,3.841152195128174,3.841152195128174,0.0,3.4728417500155047,2.9791441669804044,5409004,5409004,0,0,0.3779273716577792,0.3779273716577792,attention_rows_ffn
003,5,602212,142025,142025,4.240183066361556,4.240183066361556,0.0,3.401369832979981,2.9444320000184234,6322682,6322682,0,0,0.4548292954848198,0.4548292954848198,attention_rows_ffn
004,1,392357,386363,386363,1.01551390790526,1.01551390790526,0.0,0.27203637501224875,0.3528349169937428,0,0,0,0,0.0,0.0,affine_eighth
004,2,392357,195960,195960,2.0022300469483567,2.0022300469483567,0.0,0.35540950001450256,0.4019165000063367,110592,110592,0,0,0.0,0.0,affine_eighth
004,3,392357,130725,130725,3.001392235609103,3.001392235609103,0.0,0.2616056249826215,0.307592790981289,221184,221184,0,0,0.0,0.0,affine_eighth
004,4,392357,100126,100126,3.9186325230209937,3.9186325230209937,0.0,0.2348572910123039,0.33598350000102073,331776,331776,0,0,0.0,0.0,affine_eighth
004,5,392357,83440,83440,4.702265100671141,4.702265100671141,0.0,0.22924970899475738,0.3282833339762874,442368,442368,0,0,0.0,0.0,affine_eighth
005,1,95618,73504,73504,1.300854375272094,1.300854375272094,0.0,0.8487499160110019,0.7215572499844711,0,0,0,0,0.0,0.0,attention_rows_ffn
005,2,95618,42230,42230,2.2642197489936065,2.2642197489936065,0.0,0.833600457990542,0.7333449169818778,777318,777318,0,0,0.22281584856751013,0.22281584856751013,attention_rows_ffn
005,3,95618,32853,32853,2.9104800170456273,2.9104800170456273,0.0,0.8441641249810345,0.7277533329906873,1042186,1042186,0,0,0.29687105036989603,0.29687105036989603,attention_rows_ffn
005,4,95618,32987,32987,2.898657046715373,2.898657046715373,0.0,0.864180500007933,0.7383502910088282,1499442,1499442,0,0,0.3747002628095686,0.3747002628095686,attention_rows_ffn
005,5,95618,31468,31468,3.038578873776535,3.038578873776535,0.0,0.879555416002404,0.7634915829985403,1768920,1768920,0,0,0.4410957678636077,0.4410957678636077,attention_rows_ffn
006,1,82837,71842,69415,1.1530441802845133,1.1933587841244688,0.040314603839955554,0.2715232500049751,0.3147209169983398,0,37926,0,37926,0.0,0.0054526362094777245,dag_join_gap_list
006,2,82837,38633,37307,2.14420314239122,2.220414399442464,0.0762112570512441,0.3074724579928443,0.3463636249944102,88448,523810,57344,0,0.11557608416730819,0.2164824454535386,dag_join_gap_list
006,3,82837,32079,27285,2.5822812431808972,3.035990470954737,0.4537092277738397,0.2390236250066664,0.3150447920197621,43904,752596,0,0,0.07477246716442312,0.31371213234898654,dag_join_gap_list
006,4,82837,31425,24049,2.636022275258552,3.444509127198636,0.8084868519400841,0.22875487498822622,0.33111733398982324,73984,795300,0,0,0.1094924568406864,0.29410559531543584,dag_join_gap_list
