case_id,graph_sha256,route_or_strategy,status,baseline_M,LB_B,new_M,gap_B_minus_LB,fraction_gap_closed,solver_seconds,speedup_remaining_upper_gap
044,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e,dag_join_gap_list,ok,154407,14881,83958,139526,0.5049166463598183,0.5966736249974929,8.537019075936156
071,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897,attention_rows_ffn,ok,18919,2507,8517,16412,0.6338045332683402,0.24810679198708385,5.325147822565058
069,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52,attention_rows_ffn,ok,25144,3335,9949,21809,0.6967307075060755,0.2797606659878511,5.0121411100661355
005,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,attention_rows_ffn,ok,95618,12777,31468,82841,0.7743750075445733,0.7634915829985403,4.445024475992581
065,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400,affine_eighth,ok,53068,5904,11270,47164,0.8862267831396828,0.46207499998854473,4.279698001505304
068,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d,attention_rows_ffn,ok,362095,49821,120727,312274,0.7729365877402538,1.2249978750187438,4.268631501565817
088,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825,attention_rows_ffn,ok,243623,34722,87816,208901,0.7458413315398204,0.6350655840069521,4.242143431324957
086,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a,attention_rows_ffn,ok,118403,15837,36442,102566,0.7991049665581187,0.8301303329935763,4.227272113579765
015,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,dag_join_gap_list,ok,177362,20300,38938,157062,0.8813334861392317,0.5924117919930723,4.182059487268758
012,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,dag_join_gap_list,ok,59088,7115,13175,51973,0.8834009966713486,0.523498374997871,3.819850677604709
026,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,dag_join_gap_list,ok,99203,14154,30256,85049,0.8106738468412327,0.38621558400336653,3.730043747268376
010,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,dag_join_gap_list,ok,86969,11100,20608,75869,0.8746787225348956,0.34094770799856633,3.614887824548151
055,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,affine_eighth,ok,118835,13810,23526,105025,0.9074886931682933,0.6195261660031974,3.5537764525457938
046,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659,affine_eighth,ok,276455,41850,88200,234605,0.8024338782208393,0.4749655000050552,3.47144381049911
096,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a,dag_join_gap_list,ok,84194,10626,18812,73568,0.8887287951283167,0.47528879198944196,3.447847922276825
100,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19,dag_join_gap_list,ok,151223,20402,33676,130821,0.8985331101275789,0.652788875013357,2.921638095424618
090,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312,dag_join_gap_list,ok,1178363,168106,283714,1010257,0.8855657520809062,0.7002470830047969,2.856294635445309
