case,cores,status,selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops
024,4,not_run,,,,,,,,2555343,2666212,,,nikolastarx-20260924T1427Z-treefull4-99-P1-024-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
025,4,not_run,,,,,,,,4863026,3456900,,,nikolastarx-20260924T1427Z-treefull4-99-P1-025-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
026,4,not_run,,,,,,,,99203,106263,,,nikolastarx-20260924T1427Z-treefull4-99-P1-026-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
027,4,not_run,,,,,,,,2363952,1123538,,,nikolastarx-20260924T1427Z-treefull4-99-P1-027-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
028,4,not_run,,,,,,,,43836040,40047633,,,nikolastarx-20260924T1427Z-treefull4-99-P1-028-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
029,4,not_run,,,,,,,,37555,39323,,,nikolastarx-20260924T1427Z-treefull4-99-P1-029-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
030,4,not_run,,,,,,,,2808034,2204660,,,nikolastarx-20260924T1427Z-treefull4-99-P1-030-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
031,4,not_run,,,,,,,,1414369,1373307,,,nikolastarx-20260924T1427Z-treefull4-99-P1-031-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
032,4,not_run,,,,,,,,41443,42166,,,nikolastarx-20260924T1427Z-treefull4-99-P1-032-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
033,4,not_run,,,,,,,,1774196,1493259,,,nikolastarx-20260924T1427Z-treefull4-99-P1-033-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
034,4,not_run,,,,,,,,842996,842370,,,nikolastarx-20260924T1427Z-treefull4-99-P1-034-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
