case_id,baseline_cycles,baseline_source_commit,result_path,result_sha256,graph_sha256,config_sha256,official_sha256
013,263949,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/013/result.json.gz,d13795b90eabc12696762bd537e1dd17f1139071b459d71e2c29f668c1b4ada8,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
014,17698626,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/014/result.json.gz,131db064f7aa2f8488edfa65921b970d116baf246ad4f0865e685ae2e857aff6,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
015,177362,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/015/result.json.gz,0f65e80076cbbd5f6185017902d3d87df8d7df11d8972fd2c208d1aa78a5ffaa,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
016,7715523,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/016/result.json.gz,a161e763c0166f60b6f890528a96bcea8284bee60a13d3116b04cf5e0260bb55,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
017,162810,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/017/result.json.gz,70ab34f0ea087f321cfdb3aa671873a2ec642b332c373df9a34f412661717723,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
018,1004367,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/018/result.json.gz,4afb388588618d99458185a774cf9754e9391622f6b7172b1fb7e2b737a94319,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
019,81144,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/019/result.json.gz,e041fe86b83c2acca01309c851ade25a21e45f772130dfdfa709ad29d2743951,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
020,532746,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/020/result.json.gz,2ff3f23b6898de026de8d6d2da382a5d2b19cad415b91d9ed68009d83419e366,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
021,6567937,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/021/result.json.gz,5526e3c9a3bdc49c23af912b88a8c34bc6f4661abefb581a405bd6cd3a347864,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
022,56780,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/022/result.json.gz,50c8c608fa7475c07b693001653bf6233f1235ffad3eb0f8a2894bf6388cb59a,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
023,122614,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/023/result.json.gz,6a526a1b43f4b420491f10c853b7512d2f326c04f598728fc55b40c3c39631de,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
024,2555343,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/024/result.json.gz,0b8f7446004cce0a19cb2356e5d138e09d498a3464446051414dee3196e60af8,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
025,4863026,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/025/result.json.gz,962955c8c2f962f7a6188be15c65ab3fec5f34ac6e307612aa2500a048ff87b6,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
026,99203,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/026/result.json.gz,035e9307f0658371b62cb554c56d09d9a5231345042f76816cfda13b7803df08,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
027,2363952,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/027/result.json.gz,f40049272ec2bbb619f546977b13204b16db6d50a46f0eff11977681edaea59c,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
028,43836040,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/028/result.json.gz,09fb5713f8624071500ab48f3369fd37114e769a0aa4c3a3ade7de59e64169ef,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
029,37555,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/029/result.json.gz,004522c1e6738c62aded4c69a6f362db8c90f97ea7d10c823651ec8cfe216095,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
030,2808034,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/030/result.json.gz,f219a9e53f2e7e0a3427a2458658e215ec90aa8c8d71c18222ef87861ebacd69,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
031,1414369,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/031/result.json.gz,936adb04741dbe24c0100098b90baf21c5520a3a1e8fc4e0b96823432b50072d,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
032,41443,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/032/result.json.gz,5e83151e1c60cc28757e96f01dad294e542c307b5ea9d48bd338aef979569da9,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
033,1774196,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/033/result.json.gz,438a9ef8c1ee43f03d9c59e9a273789d7cd2c4d44e568f48eafa517a3126ce6e,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
034,842996,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/034/result.json.gz,9d9d53cc1096e85eb833c1d3a45bbdb415dae45334b305607ef80addccb47b41,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
035,169571,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/035/result.json.gz,0c8721de33cc15df4ac6ecee89769b35ed44b2a2296e1b5766ba7c90a5373f45,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
036,931510,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/036/result.json.gz,9d58016fbb1440c6597362bf47410a0409cbc4e75128d169674a3105990e750e,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
037,210001,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/037/result.json.gz,80bbe5f15194df474c6b2cc84ca41b03615a63251e7181e8385bf61de547596e,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
