case_id,cores,kind,makespan_cycles,reference_cycles,relative_increase
036,3,slower_than_official_singlecore,1011715,931510,0.08610213524277777
036,4,slower_than_official_singlecore,1011715,931510,0.08610213524277777
036,5,slower_than_official_singlecore,1011715,931510,0.08610213524277777
037,1,slower_than_official_singlecore,240609,210001,0.14575168689672902
037,2,slower_than_official_singlecore,240609,210001,0.14575168689672902
037,3,slower_than_official_singlecore,240609,210001,0.14575168689672902
037,4,slower_than_official_singlecore,240609,210001,0.14575168689672902
037,5,slower_than_official_singlecore,240609,210001,0.14575168689672902
038,1,slower_than_official_singlecore,1536384,1364555,0.12592310313618715
038,4,slower_than_previous_core_count,1085379,1082156,0.0029783136627250517
038,5,slower_than_previous_core_count,1090543,1085379,0.004757785068625786
039,1,slower_than_official_singlecore,1743064,1435262,0.21445701202985945
039,3,slower_than_previous_core_count,1390996,1388446,0.0018365856504323208
039,4,slower_than_previous_core_count,1393064,1390996,0.0014867044908828397
040,1,slower_than_official_singlecore,278611,253454,0.09925666984936132
040,2,slower_than_official_singlecore,278611,253454,0.09925666984936132
040,3,slower_than_official_singlecore,278611,253454,0.09925666984936132
040,4,slower_than_official_singlecore,278611,253454,0.09925666984936132
040,5,slower_than_official_singlecore,278611,253454,0.09925666984936132
041,1,slower_than_official_singlecore,6686039,6003957,0.11360541056506568
042,1,slower_than_official_singlecore,1958329,1686740,0.1610141456300318
043,1,slower_than_official_singlecore,746000,677656,0.10085353040480727
043,2,slower_than_official_singlecore,726247,677656,0.07170452264865945
043,3,slower_than_official_singlecore,726247,677656,0.07170452264865945
043,4,slower_than_official_singlecore,726247,677656,0.07170452264865945
043,5,slower_than_official_singlecore,726247,677656,0.07170452264865945
045,1,slower_than_official_singlecore,204380,125614,0.6270479405161844
045,2,slower_than_official_singlecore,204380,125614,0.6270479405161844
045,3,slower_than_official_singlecore,204380,125614,0.6270479405161844
045,4,slower_than_official_singlecore,204380,125614,0.6270479405161844
045,5,slower_than_official_singlecore,204380,125614,0.6270479405161844
047,1,slower_than_official_singlecore,358012,326508,0.09648768177196265
047,2,slower_than_official_singlecore,358012,326508,0.09648768177196265
047,3,slower_than_official_singlecore,358012,326508,0.09648768177196265
047,4,slower_than_official_singlecore,358012,326508,0.09648768177196265
047,5,slower_than_official_singlecore,358012,326508,0.09648768177196265
048,1,slower_than_official_singlecore,226990,222220,0.02146521465214657
048,2,slower_than_official_singlecore,226990,222220,0.02146521465214657
048,3,slower_than_official_singlecore,226990,222220,0.02146521465214657
048,4,slower_than_official_singlecore,226990,222220,0.02146521465214657
048,5,slower_than_official_singlecore,226990,222220,0.02146521465214657
049,1,slower_than_official_singlecore,215266,196276,0.09675151317532449
049,2,slower_than_official_singlecore,215266,196276,0.09675151317532449
049,3,slower_than_official_singlecore,215266,196276,0.09675151317532449
049,4,slower_than_official_singlecore,215266,196276,0.09675151317532449
049,5,slower_than_official_singlecore,215266,196276,0.09675151317532449
050,1,slower_than_official_singlecore,163376,149690,0.09142895316988442
050,2,slower_than_official_singlecore,163376,149690,0.09142895316988442
050,3,slower_than_official_singlecore,163376,149690,0.09142895316988442
050,4,slower_than_official_singlecore,163376,149690,0.09142895316988442
050,5,slower_than_official_singlecore,163376,149690,0.09142895316988442
051,1,slower_than_official_singlecore,634666,607628,0.04449762025449777
051,2,slower_than_official_singlecore,634666,607628,0.04449762025449777
051,3,slower_than_official_singlecore,634666,607628,0.04449762025449777
051,4,slower_than_official_singlecore,634666,607628,0.04449762025449777
051,5,slower_than_official_singlecore,634666,607628,0.04449762025449777
054,1,slower_than_official_singlecore,880054,815051,0.07975329151181954
054,2,slower_than_official_singlecore,880054,815051,0.07975329151181954
054,3,slower_than_official_singlecore,880054,815051,0.07975329151181954
054,4,slower_than_official_singlecore,880054,815051,0.07975329151181954
054,5,slower_than_official_singlecore,880054,815051,0.07975329151181954
056,1,slower_than_official_singlecore,306807,277285,0.1064680743639217
056,2,slower_than_official_singlecore,306807,277285,0.1064680743639217
056,3,slower_than_official_singlecore,306807,277285,0.1064680743639217
056,4,slower_than_official_singlecore,306807,277285,0.1064680743639217
056,5,slower_than_official_singlecore,306807,277285,0.1064680743639217
057,1,slower_than_official_singlecore,59863,59726,0.002293808391655272
057,2,slower_than_official_singlecore,59863,59726,0.002293808391655272
057,3,slower_than_official_singlecore,59863,59726,0.002293808391655272
057,4,slower_than_official_singlecore,59863,59726,0.002293808391655272
057,5,slower_than_official_singlecore,59863,59726,0.002293808391655272
058,1,slower_than_official_singlecore,5455810,4539717,0.2017951779813587
058,4,slower_than_previous_core_count,4003378,3983112,0.005087981457714497
058,5,slower_than_previous_core_count,4003693,4003378,7.868355174056596e-05
059,1,slower_than_official_singlecore,921703,829473,0.11119108156624757
059,5,slower_than_previous_core_count,609081,598922,0.016962141981760492
060,1,slower_than_official_singlecore,1083824,888789,0.2194390344614976
060,2,slower_than_official_singlecore,934808,888789,0.0517771934621154
060,3,slower_than_official_singlecore,930345,888789,0.04675575417787581
060,4,slower_than_official_singlecore,930345,888789,0.04675575417787581
060,5,slower_than_official_singlecore,930345,888789,0.04675575417787581
061,1,slower_than_official_singlecore,90741,77191,0.17553859905947578
061,2,slower_than_official_singlecore,90741,77191,0.17553859905947578
061,3,slower_than_official_singlecore,90741,77191,0.17553859905947578
061,4,slower_than_official_singlecore,90741,77191,0.17553859905947578
061,5,slower_than_official_singlecore,90741,77191,0.17553859905947578
064,1,slower_than_official_singlecore,21512,19116,0.12534002929483146
064,2,slower_than_official_singlecore,21512,19116,0.12534002929483146
064,3,slower_than_official_singlecore,21512,19116,0.12534002929483146
064,4,slower_than_official_singlecore,21512,19116,0.12534002929483146
064,5,slower_than_official_singlecore,21512,19116,0.12534002929483146
066,1,slower_than_official_singlecore,382085,359070,0.06409613724343433
066,2,slower_than_official_singlecore,382085,359070,0.06409613724343433
066,3,slower_than_official_singlecore,382085,359070,0.06409613724343433
066,4,slower_than_official_singlecore,382085,359070,0.06409613724343433
066,5,slower_than_official_singlecore,382085,359070,0.06409613724343433
068,1,slower_than_official_singlecore,383777,362095,0.05987931343984321
068,2,slower_than_official_singlecore,383777,362095,0.05987931343984321
068,3,slower_than_official_singlecore,383777,362095,0.05987931343984321
068,4,slower_than_official_singlecore,383777,362095,0.05987931343984321
068,5,slower_than_official_singlecore,383777,362095,0.05987931343984321
069,1,slower_than_official_singlecore,29730,25144,0.18238943684377973
069,2,slower_than_official_singlecore,29730,25144,0.18238943684377973
069,3,slower_than_official_singlecore,29730,25144,0.18238943684377973
069,4,slower_than_official_singlecore,29730,25144,0.18238943684377973
069,5,slower_than_official_singlecore,29730,25144,0.18238943684377973
070,1,slower_than_official_singlecore,120549,117300,0.027698209718669986
070,2,slower_than_official_singlecore,120549,117300,0.027698209718669986
070,3,slower_than_official_singlecore,120549,117300,0.027698209718669986
070,4,slower_than_official_singlecore,120549,117300,0.027698209718669986
070,5,slower_than_official_singlecore,120549,117300,0.027698209718669986
071,1,slower_than_official_singlecore,21586,18919,0.14096939584544632
071,2,slower_than_official_singlecore,21586,18919,0.14096939584544632
071,3,slower_than_official_singlecore,21586,18919,0.14096939584544632
071,4,slower_than_official_singlecore,21586,18919,0.14096939584544632
071,5,slower_than_official_singlecore,21586,18919,0.14096939584544632
072,1,slower_than_official_singlecore,26073866,23897828,0.09105589010013793
074,1,slower_than_official_singlecore,1861293,1682239,0.10643790804992626
074,4,slower_than_previous_core_count,1274993,1272452,0.001996931907844113
074,5,slower_than_previous_core_count,1285102,1274993,0.007928670980938746
075,1,slower_than_official_singlecore,1517797,1441809,0.052703236004214116
075,2,slower_than_official_singlecore,1517797,1441809,0.052703236004214116
075,3,slower_than_official_singlecore,1517797,1441809,0.052703236004214116
075,4,slower_than_official_singlecore,1517797,1441809,0.052703236004214116
075,5,slower_than_official_singlecore,1517797,1441809,0.052703236004214116
076,1,slower_than_official_singlecore,7568258,6185113,0.22362485535834198
077,1,slower_than_official_singlecore,534378,495320,0.07885407413389323
077,2,slower_than_official_singlecore,534378,495320,0.07885407413389323
077,3,slower_than_official_singlecore,534378,495320,0.07885407413389323
077,4,slower_than_official_singlecore,534378,495320,0.07885407413389323
077,5,slower_than_official_singlecore,534378,495320,0.07885407413389323
079,1,slower_than_official_singlecore,32266504,31052251,0.039103541962223654
080,1,slower_than_official_singlecore,354762,292138,0.21436444420102818
080,2,slower_than_official_singlecore,354762,292138,0.21436444420102818
080,3,slower_than_official_singlecore,354762,292138,0.21436444420102818
080,4,slower_than_official_singlecore,354762,292138,0.21436444420102818
080,5,slower_than_official_singlecore,354762,292138,0.21436444420102818
081,1,slower_than_official_singlecore,169335,151795,0.11555057808228208
081,2,slower_than_official_singlecore,169335,151795,0.11555057808228208
081,3,slower_than_official_singlecore,169335,151795,0.11555057808228208
081,4,slower_than_official_singlecore,169335,151795,0.11555057808228208
081,5,slower_than_official_singlecore,169335,151795,0.11555057808228208
082,1,slower_than_official_singlecore,758437,721041,0.051863902330103295
082,2,slower_than_official_singlecore,758437,721041,0.051863902330103295
082,3,slower_than_official_singlecore,758437,721041,0.051863902330103295
082,4,slower_than_official_singlecore,758437,721041,0.051863902330103295
082,5,slower_than_official_singlecore,758437,721041,0.051863902330103295
085,1,slower_than_official_singlecore,3434060,3187899,0.0772173146012467
085,2,slower_than_official_singlecore,3434060,3187899,0.0772173146012467
