case_id,official_singlecore_cycles,k1_cycles,k1_speedup,k2_cycles,k2_speedup,k3_cycles,k3_speedup,k4_cycles,k4_speedup,k5_cycles,k5_speedup
001,233110,250003,0.9324288108542698,250003,0.9324288108542698,250003,0.9324288108542698,250003,0.9324288108542698,250003,0.9324288108542698
002,261945,255464,1.0253695236902265,255464,1.0253695236902265,255464,1.0253695236902265,255464,1.0253695236902265,255464,1.0253695236902265
003,602212,654160,0.9205882352941176,654160,0.9205882352941176,654160,0.9205882352941176,654160,0.9205882352941176,654160,0.9205882352941176
004,392357,405772,0.9669395621186282,405772,0.9669395621186282,405772,0.9669395621186282,405772,0.9669395621186282,405772,0.9669395621186282
005,95618,117327,0.8149701262284044,117327,0.8149701262284044,117327,0.8149701262284044,117327,0.8149701262284044,117327,0.8149701262284044
006,82837,84647,0.9786170803454346,84647,0.9786170803454346,84647,0.9786170803454346,84647,0.9786170803454346,84647,0.9786170803454346
007,1012562,1022434,0.9903446090407791,989762,1.023035840939539,989762,1.023035840939539,989762,1.023035840939539,989762,1.023035840939539
008,487605,436414,1.1172991700541228,436414,1.1172991700541228,436414,1.1172991700541228,436414,1.1172991700541228,436414,1.1172991700541228
009,153261,168051,0.9119910027313137,168051,0.9119910027313137,168051,0.9119910027313137,168051,0.9119910027313137,168051,0.9119910027313137
010,86969,81965,1.0610504483621057,81965,1.0610504483621057,81965,1.0610504483621057,81965,1.0610504483621057,81965,1.0610504483621057
011,184697,216172,0.8543983494624651,151224,1.2213471406655028,151224,1.2213471406655028,151224,1.2213471406655028,151224,1.2213471406655028
012,59088,61675,0.9580543169841913,61675,0.9580543169841913,61675,0.9580543169841913,61675,0.9580543169841913,61675,0.9580543169841913
013,263949,308669,0.8551198857028078,275461,0.9582082400049372,275461,0.9582082400049372,275461,0.9582082400049372,275461,0.9582082400049372
014,17698626,19901610,0.8893062420578034,12353344,1.4326991946472145,10175986,1.739254161709735,9393843,1.88406661682551,9330264,1.8969051679566624
015,177362,182209,0.9733986795383324,182209,0.9733986795383324,182209,0.9733986795383324,182209,0.9733986795383324,182209,0.9733986795383324
016,7715523,8045701,0.9589621836555945,8045701,0.9589621836555945,8045701,0.9589621836555945,8045701,0.9589621836555945,8045701,0.9589621836555945
017,162810,161833,1.0060370876150104,161833,1.0060370876150104,161833,1.0060370876150104,161833,1.0060370876150104,161833,1.0060370876150104
018,1004367,1127447,0.8908330058973948,812767,1.235737917508954,753812,1.3323839365783512,706031,1.422553683903398,709686,1.4152272977063096
019,81144,73284,1.1072539708531193,73284,1.1072539708531193,73284,1.1072539708531193,73284,1.1072539708531193,73284,1.1072539708531193
020,532746,1078404,0.4940133753213082,1078404,0.4940133753213082,1078404,0.4940133753213082,1078404,0.4940133753213082,1078404,0.4940133753213082
021,6567937,6720004,0.9773709956125026,5175821,1.268965252082713,4977439,1.319541434862386,4782086,1.373446023346297,4778990,1.3743357906168459
022,56780,62791,0.9042697201828287,62791,0.9042697201828287,62791,0.9042697201828287,62791,0.9042697201828287,62791,0.9042697201828287
023,122614,111417,1.1004963335936169,111417,1.1004963335936169,111417,1.1004963335936169,111417,1.1004963335936169,111417,1.1004963335936169
024,2555343,2666212,0.9584170351044853,2666212,0.9584170351044853,2666212,0.9584170351044853,2666212,0.9584170351044853,2666212,0.9584170351044853
025,4863026,4899852,0.9924842627899781,3702396,1.3134807837951423,3459730,1.405608530145416,3456900,1.4067592351528826,3456900,1.4067592351528826
026,99203,106263,0.9335610701749433,106263,0.9335610701749433,106263,0.9335610701749433,106263,0.9335610701749433,106263,0.9335610701749433
027,2363952,2505431,0.9435310730968045,1529314,1.545759732795227,1319758,1.7912011141436537,1123538,2.1040249639976576,1123161,2.104731200602585
028,43836040,40047633,1.0945975259012186,40047633,1.0945975259012186,40047633,1.0945975259012186,40047633,1.0945975259012186,40047633,1.0945975259012186
029,37555,39323,0.9550390356788648,39323,0.9550390356788648,39323,0.9550390356788648,39323,0.9550390356788648,39323,0.9550390356788648
