batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,007,1,ok,1012562.0,,1.0,,3.163,,,,,,official-singlecore,703fed17 (feed 638c565a),7
A-farmer-q1-v3,P1,008,2,ok,245465.0,,1.9864542806510093,11.35,,2691672.0,37248.0,,,,q1-propose-e0,703fed17 (feed 638c565a),8
A-farmer-q1-v3,P1,008,3,ok,164354.0,,2.9667972790440147,11.53,,2691672.0,37248.0,,,,q1-propose-e0,703fed17 (feed 638c565a),8
A-farmer-q1-v3,P1,008,4,ok,123469.0,,3.9492099231386018,11.56,,2728536.0,74112.0,,,,q1-propose-e0,703fed17 (feed 638c565a),8
A-farmer-q1-v3,P1,008,5,ok,101270.0,,4.814900760343636,11.87,,2654424.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),8
A-farmer-q1-v3,P1,008,1,ok,487605.0,,1.0,,0.466,,,,,,official-singlecore,703fed17 (feed 638c565a),8
A-farmer-q1-v3,P1,009,2,ok,92198.0,,1.66230286991041,61.2,,667364.0,172032.0,,,,q1-propose-e0,703fed17 (feed 638c565a),9
A-farmer-q1-v3,P1,009,3,ok,92207.0,,1.6621406183912284,60.39,,667364.0,172032.0,,,,q1-propose-e0,703fed17 (feed 638c565a),9
A-farmer-q1-v3,P1,009,4,ok,92216.0,,1.6619783985425522,60.09,,667364.0,172032.0,,,,q1-propose-e0,703fed17 (feed 638c565a),9
A-farmer-q1-v3,P1,009,5,ok,92225.0,,1.6618162103551097,63.86,,667364.0,172032.0,,,,q1-propose-e0,703fed17 (feed 638c565a),9
A-farmer-q1-v3,P1,009,1,ok,153261.0,,1.0,,4.415,,,,,,official-singlecore,703fed17 (feed 638c565a),9
A-farmer-q1-v3,P1,010,2,ok,45146.0,,1.9263943649492756,18.32,,470550.0,86400.0,,,,q1-propose-e0,703fed17 (feed 638c565a),10
A-farmer-q1-v3,P1,010,3,ok,30788.0,,2.8247693906716904,19.27,,491286.0,107136.0,,,,q1-propose-e0,703fed17 (feed 638c565a),10
A-farmer-q1-v3,P1,010,4,ok,29780.0,,2.92038280725319,18.23,,747030.0,362880.0,,,,q1-propose-e0,703fed17 (feed 638c565a),10
A-farmer-q1-v3,P1,010,5,ok,29967.0,,2.9021590416124403,18.12,,747030.0,362880.0,,,,q1-propose-e0,703fed17 (feed 638c565a),10
A-farmer-q1-v3,P1,010,1,ok,86969.0,,1.0,,0.349,,,,,,official-singlecore,703fed17 (feed 638c565a),10
A-farmer-q1-v3,P1,011,2,ok,94212.0,,1.9604402836156753,19.25,,1867776.0,1261568.0,,,,q1-propose-e0,703fed17 (feed 638c565a),11
A-farmer-q1-v3,P1,011,3,ok,70323.0,,2.626409567282397,20.61,,2109440.0,1503232.0,,,,q1-propose-e0,703fed17 (feed 638c565a),11
A-farmer-q1-v3,P1,011,4,ok,47748.0,,3.8681620172572675,20.01,,1507328.0,901120.0,,,,q1-propose-e0,703fed17 (feed 638c565a),11
A-farmer-q1-v3,P1,011,5,ok,47645.0,,3.8765242942596285,20.36,,2244608.0,1638400.0,,,,q1-propose-e0,703fed17 (feed 638c565a),11
A-farmer-q1-v3,P1,011,1,ok,184697.0,,1.0,,0.384,,,,,,official-singlecore,703fed17 (feed 638c565a),11
A-farmer-q1-v3,P1,012,2,ok,29649.0,,1.992917130425984,20.7,,593490.0,38592.0,,,,q1-propose-e0,703fed17 (feed 638c565a),12
A-farmer-q1-v3,P1,012,3,ok,19867.0,,2.9741782855992347,20.99,,598674.0,43776.0,,,,q1-propose-e0,703fed17 (feed 638c565a),12
A-farmer-q1-v3,P1,012,4,ok,15378.0,,3.8423722200546235,21.06,,625170.0,70272.0,,,,q1-propose-e0,703fed17 (feed 638c565a),12
A-farmer-q1-v3,P1,012,5,ok,13766.0,,4.29231439779166,21.24,,626898.0,72000.0,,,,q1-propose-e0,703fed17 (feed 638c565a),12
A-farmer-q1-v3,P1,012,1,ok,59088.0,,1.0,,0.486,,,,,,official-singlecore,703fed17 (feed 638c565a),12
A-farmer-q1-v3,P1,013,2,ok,135187.0,,1.9524732407701924,33.21,,2650112.0,122880.0,,,,q1-propose-e0,703fed17 (feed 638c565a),13
A-farmer-q1-v3,P1,013,3,ok,91084.0,,2.8978635106055948,34.29,,2666496.0,139264.0,,,,q1-propose-e0,703fed17 (feed 638c565a),13
A-farmer-q1-v3,P1,013,4,ok,68537.0,,3.851189868246349,35.78,,2682880.0,155648.0,,,,q1-propose-e0,703fed17 (feed 638c565a),13
A-farmer-q1-v3,P1,013,5,ok,56801.0,,4.64690762486576,35.53,,2695168.0,167936.0,,,,q1-propose-e0,703fed17 (feed 638c565a),13
A-farmer-q1-v3,P1,013,1,ok,263949.0,,1.0,,1.33,,,,,,official-singlecore,703fed17 (feed 638c565a),13
A-farmer-q1-v3,P1,014,2,ok,14615472.0,,,423.18,,505759628.0,495826888.0,,,,q1-propose-e0,703fed17 (feed 638c565a),14
A-farmer-q1-v3,P1,014,3,ok,12887899.0,,,60.32,,505759628.0,495826888.0,,,,q1-propose-e0,703fed17 (feed 638c565a),14
A-farmer-q1-v3,P1,014,4,ok,11798239.0,,,61.47,,505759628.0,495826888.0,,,,q1-propose-e0,703fed17 (feed 638c565a),14
A-farmer-q1-v3,P1,014,5,failed,,,,,,,,,,,q1-propose-e0,703fed17 (feed 638c565a),14
A-farmer-q1-v3,P1,014,1,timeout,,,,,,,,,,,official-singlecore,703fed17 (feed 638c565a),14
A-farmer-q1-v3,P1,015,2,ok,89108.0,,1.9904161242537146,21.53,,1134214.0,249600.0,,,,q1-propose-e0,703fed17 (feed 638c565a),15
A-farmer-q1-v3,P1,015,3,ok,57699.0,,3.0739180921679754,24.25,,1138822.0,254208.0,,,,q1-propose-e0,703fed17 (feed 638c565a),15
A-farmer-q1-v3,P1,015,4,ok,48110.0,,3.686593223861983,22.44,,1239430.0,354816.0,,,,q1-propose-e0,703fed17 (feed 638c565a),15
A-farmer-q1-v3,P1,015,5,ok,39647.0,,4.473528892476102,23.03,,1234822.0,350208.0,,,,q1-propose-e0,703fed17 (feed 638c565a),15
A-farmer-q1-v3,P1,015,1,ok,177362.0,,1.0,,0.493,,,,,,official-singlecore,703fed17 (feed 638c565a),15
A-farmer-q1-v3,P1,016,2,ok,8103381.0,,,106.64,,170495382.0,170102164.0,,,,q1-propose-e0,703fed17 (feed 638c565a),16
A-farmer-q1-v3,P1,016,3,ok,8132181.0,,,105.61,,170495382.0,170102164.0,,,,q1-propose-e0,703fed17 (feed 638c565a),16
