problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P2,044,4,shared_stages,ok,67339,0.9638694000004762,1.1634545000006256,3766656,2791200,0,
P3,044,4,shared_stages,ok,66992,0.9638694000004762,2.7686234000002514,3766656,2791200,0,0.007025400840996889
