case_id,method,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,scheduled_copy_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,baseline_speedup,E0_calls
008,component,ok,123060,1.0543053999999756,1.8778976999992665,2654424,0,0,487605,3.962335446123842,1
008,affine_eighth,ok,64686,1.3533518000003824,1.821517600000334,2654424,0,0,487605,7.538029867359243,1
008,resource_word,ok,63768,1.2969564000004539,3.7333975000001374,2654424,0,0,487605,7.646546857357922,1
008,pipe_window,ok,64806,2.892518999999993,3.284475399999792,2654424,0,0,487605,7.5240718451995185,1
095,component,ok,524422,2.4042646999996578,5.491977499999848,11355036,0,0,2084853,3.9755254356224565,1
095,affine_eighth,ok,270604,2.153280900000027,5.044520399999783,11355036,0,0,2084853,7.704442654210581,1
095,resource_word,ok,269686,1.720708800000466,5.604223699999238,11355036,0,0,2084853,7.730668258641531,1
095,pipe_window,ok,270724,1.3987407000004168,3.9814211000002615,11355036,0,0,2084853,7.701027614840206,1
084,component,ok,629028,1.5797090000005483,9.301901599999837,13236330,0,0,2507412,3.986169137144928,1
084,affine_eighth,ok,317988,2.5773732999996355,11.997502899999745,13236330,0,0,2507412,7.885240952488773,1
084,resource_word,ok,317988,3.173074200000883,9.594787799999722,13236330,0,0,2507412,7.885240952488773,1
084,pipe_window,ok,318552,2.217616800000542,9.581711499999983,13236330,0,0,2507412,7.8712800421909135,1
044,component,ok,124268,0.8377775999997539,1.5657906000005823,6654080,5678624,2887424,154407,1.2425322689670713,1
044,affine_eighth,ok,91922,1.734653000000435,2.1705525000006674,5155200,4179744,1388544,154407,1.679761101803703,1
044,resource_word,unsupported,,0.6231829000007565,,,,,154407,,0
044,pipe_window,ok,91646,0.8529096000002028,1.9090673999999126,5029344,4053888,1262688,154407,1.6848198502935208,1
080,component,ok,111466,1.1188265999999203,2.0365192999997817,6168576,4190208,0,292138,2.6208709382233146,1
080,affine_eighth,ok,112445,1.459779200000412,2.141066299999693,6397952,4419584,229376,292138,2.5980523811641247,1
080,resource_word,unsupported,,2.0677009999999427,,,,,292138,,0
080,pipe_window,ok,111466,1.045856300000196,1.932946500000071,6168576,4190208,0,292138,2.6208709382233146,1
