problem,case,workers,mode,candidates,end_to_end_seconds,candidates_per_second,candidate_latency_p95_seconds,parent_and_worker_candidate_cpu_seconds,sampled_parent_plus_workers_rss_mib,worker_lifetime_peak_mib
2,005,1,e0,16,7.419827832985902,2.1563842666092223,0.4796741772443056,7.4760659999999985,160.4375,111.96875
2,005,1,native,16,4.697119000018574,3.406343335124516,0.299585500259127,4.682042999999999,155.765625,107.5
2,005,2,native,16,2.8882511249976233,5.539684503719588,0.3396865517643164,5.305548000000001,244.734375,100.015625
2,005,2,e0,16,4.349399375001667,3.6786688506832896,0.5222400629863841,8.176756,267.1875,111.546875
3,005,1,e0,16,7.6543209579831455,2.0903225887480783,0.4856099377502687,7.71697,160.328125,112.03125
3,005,1,native,16,4.831874041003175,3.3113445971944544,0.3069235104994732,4.808293000000001,155.453125,106.84375
3,005,2,native,16,2.8885255420173053,5.539158220088241,0.34216736401140224,5.286388,245.40625,100.578125
3,005,2,e0,16,4.470328750001499,3.5791551124723506,0.5477418747468619,8.423223000000002,266.859375,111.375
