cores,P1_mean,P1_n,P1_expected,P1_failed,P1_missing,P1_incomplete,P1_unavailable,P2_mean,P2_n,P2_expected,P2_failed,P2_missing,P2_incomplete,P2_unavailable,P3_mean,P3_n,P3_expected,P3_failed,P3_missing,P3_incomplete,P3_unavailable
1,1.0,86,100,14,0,0,0,1.0,86,100,14,0,0,0,1.0865932224496695,52,100,0,42,1,5
2,1.8059682494808782,46,100,12,42,0,0,1.4585971422891542,52,100,0,42,0,6,1.9004856686795353,52,100,0,42,1,5
3,2.5159715754648033,45,100,13,42,0,0,1.7496029938054678,52,100,0,42,0,6,2.5949304821540764,52,100,0,43,0,5
4,3.0787736787215993,45,100,13,42,0,0,2.1485061158160486,52,100,0,42,0,6,3.129918701314128,52,100,0,43,0,5
5,3.5512590182217822,44,100,14,42,0,0,2.2505099933439014,52,100,0,42,0,6,3.5872287068028688,52,100,0,43,0,5
