cores,common_n,expected,P1_mean,P2_mean,P3_mean
1,44,100,1.0,1.0,1.0943805083348603
2,44,100,1.8248749368643709,1.4996241961097896,1.9594848043909543
3,44,100,2.516727426654612,1.8649496324645882,2.6921987588528533
4,44,100,3.0914971628328924,2.319767043524143,3.286894305773413
5,44,100,3.5512590182217822,2.3590894726382476,3.7992398968804832
