case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path,slot_kind,capture_state,source_status,status_reason,multicore_ratio_missing_reason,cache_ratio_missing_reason,baseline_status,baseline_summary_sha256,pair_status,pair_reported_makespan_cycles,pair_plan_identity,pair_wall_seconds,pair_eval_seconds,cell_wall_seconds,baseline_wall_seconds,baseline_eval_seconds,source_receipt,source_receipt_sha256,harness_sha256,harness_lineage_basis,plan_sha256,timing_note,result_path_base
003,P1,1,official_singlecore_baseline,ok,602212,602212,1.0,,,"{""original_graph_copy_bytes"": 1284264, ""scheduled_copy_bytes"": 1284264, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/003/e0/result.json.gz,reused_baseline_anchor,final_receipt,ok,,,not_applicable,ok,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,,,,,,,95.5081427999994,94.56552850000026,baselines/003/e0/summary.json,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,Reused official baseline; no P1/P2 solver execution for this anchor.,source_run_directory
003,P1,2,q1_search_32_seed0,error,,602212,,44.66242080000029,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,,solver,final_receipt,error,final_receipt_error,cell_status_error,not_applicable,ok,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,,,,,,44.68874129999949,95.5081427999994,94.56552850000026,cells/P1/003/k2/cell.json,3ac193e9622fbc5b6405a84542224b193709cf9a9d50738a703d060563ea628a,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,,source_run_directory
003,P1,3,q1_search_32_seed0,error,,602212,,46.061393699999826,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,,solver,final_receipt,error,final_receipt_error,cell_status_error,not_applicable,ok,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,,,,,,46.08696770000006,95.5081427999994,94.56552850000026,cells/P1/003/k3/cell.json,ee00a83255724d4a366a365a6f4009e11b536527a85c7ab9ab070a21f166ecc9,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,,source_run_directory
003,P1,4,q1_search_32_seed0,error,,602212,,45.277562400000534,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,,solver,final_receipt,error,final_receipt_error,cell_status_error,not_applicable,ok,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,,,,,,45.30466829999932,95.5081427999994,94.56552850000026,cells/P1/003/k4/cell.json,906805b0020bba9b0d9fe2a39115b99f53c0cc105f7d73b3fb5606e2890a63c7,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,,source_run_directory
003,P1,5,q1_search_32_seed0,error,,602212,,45.58111780000036,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,,solver,final_receipt,error,final_receipt_error,cell_status_error,not_applicable,ok,4cc12001a110e407feee53dc011bf044052e25ea37e34bc9f5400685b2eb0705,,,,,,45.607568399999764,95.5081427999994,94.56552850000026,cells/P1/003/k5/cell.json,d8a26f79fbd7f811d7c7d239d4ea9061133f3ea65d328b0699aac6dfb8412bf7,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,,source_run_directory
004,P1,1,official_singlecore_baseline,ok,392357,392357,1.0,,,"{""original_graph_copy_bytes"": 792576, ""scheduled_copy_bytes"": 792576, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/004/e0/result.json.gz,reused_baseline_anchor,final_receipt,ok,,,not_applicable,ok,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,,,,,,,1.0409370000006675,0.47546239999974205,baselines/004/e0/summary.json,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,Reused official baseline; no P1/P2 solver execution for this anchor.,source_run_directory
004,P1,2,q1_search_32_seed0,ok,201621,392357,1.9460125681352638,28.669704199999615,0.6880000000001019,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1692672,""added_copy_bytes"":900096,""partition_added_copy_bytes"":900096,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k2/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,,,,,,28.74885970000014,1.0409370000006675,0.47546239999974205,cells/P1/004/k2/cell.json,d10622c0bf99b3be41fd0d688762ae78e24b5e729fcba473e4245fc02ec9a699,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,87eaffc83d2524d22f78e13cb430c8a8a5436e38a928252533b0fa21b031e403,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
004,P1,3,q1_search_32_seed0,ok,139308,392357,2.8164714158555144,28.702832200000557,0.6720000000004802,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1677312,""added_copy_bytes"":884736,""partition_added_copy_bytes"":884736,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k3/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,,,,,,28.77944429999934,1.0409370000006675,0.47546239999974205,cells/P1/004/k3/cell.json,f4b8cda5f35e22631a25a425dd634463168839739cb7211ab7172ffc2dd7dc9c,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,948c19b8166346dd27fb673d34c14ffe1345f5eb317010e070eedbe7bd3f7bd5,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
004,P1,4,q1_search_32_seed0,ok,105898,392357,3.7050463653704506,30.991490299999896,0.6719999999995707,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":1566720,""added_copy_bytes"":774144,""partition_added_copy_bytes"":774144,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k4/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,,,,,,31.069598199999746,1.0409370000006675,0.47546239999974205,cells/P1/004/k4/cell.json,86cb239114e419ede8e0b481577373c8540ffbcb49e5893ee4c38c8d45756514,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,a99fbd0be92d5834815b66a5e6e65895c5189ec61f07f28e4edebe57d85915d2,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
004,P1,5,q1_search_32_seed0,ok,89972,392357,4.360878940114702,27.52138869999999,0.7030000000004293,"{""original_graph_copy_bytes"":792576,""scheduled_copy_bytes"":2101248,""added_copy_bytes"":1308672,""partition_added_copy_bytes"":1308672,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/004/k5/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,cd9c2875ecf8003e672518aebd665a5411d5654c7b84e63983771d562dc1010e,,,,,,27.599175800000012,1.0409370000006675,0.47546239999974205,cells/P1/004/k5/cell.json,4d80506e3993534958f1fd4c917fa1c146e7d30bdb83103eb23a5b6498dcad43,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,e66d7f862dc4625cfe07cbd19b5d6c5e85e10fcc825427a7f8e8bff8f844c9f9,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
