case_id,cores,solver_seconds,E0_calls,seed_M,seed_extra_DDR,seed_spill,seed_byte_hit,attention_gap_M,attention_gap_extra_DDR,attention_gap_spill,attention_gap_byte_hit,M_reduction_fraction
071,5,0.36299233298632316,2,8517,329012,0,0.42722006663702317,7782,333138,0,0.4016964264199137,0.08629799225079249
069,5,0.4201210000028368,2,9949,468692,0,0.4458652985164928,9143,460626,0,0.4106154808688682,0.08101316715247764
005,5,1.511194249993423,2,31468,1768920,0,0.4410957678636077,31275,1803384,0,0.4317717666235355,0.006133214694292621
