kind,stage,case_id,cores,attempt_id,bound_cycles,e0_cycles,margin_cycles,u_over_l,bound_le_e0,artifact_commit,result_sha256
multicore,B,019,4,fang-q1-stage-b-20260924-fixed64-propose-019-k4-r0,12234,73284,61050,5.990191270230505,True,0441891f60b07a456a0f21ed74a024987edd8cd9,25494407db6c9e808aa4508a6ddbffa8f1861e342be2869e18cfd807b00f1f3b
multicore,B,048,4,fang-q1-stage-b-20260924-fixed64-propose-048-k4-r0,75960,226990,151030,2.988283307003686,True,0441891f60b07a456a0f21ed74a024987edd8cd9,6f284af8a85743987bcade793152e88f09cf0a2888e152c6aefb982bf60ebd93
multicore,B,071,4,fang-q1-stage-b-20260924-fixed64-propose-071-k4-r0,3134,21586,18452,6.887683471601787,True,0441891f60b07a456a0f21ed74a024987edd8cd9,43314b665f12f581a3bd05b0e7bafe20e6a421032b1e736121594a9b4e523652
multicore,B,080,4,fang-q1-stage-b-20260924-fixed64-propose-080-k4-r0,72261,354762,282501,4.9094532320338775,True,0441891f60b07a456a0f21ed74a024987edd8cd9,530d3eeaa0e28dbfdcc9e9b3abc8f943aac433ece24cef47b814e929ebc1bd40
multicore,B,019,4,fang-q1-stage-b-20260924-structural-switch-019-k4-r0,12234,24099,11865,1.9698381559588034,True,0441891f60b07a456a0f21ed74a024987edd8cd9,d1ea9b4f38e0a171aa837d728c82f2faa6952a34333f53e2fd9e0b266f1dd530
multicore,B,048,4,fang-q1-stage-b-20260924-structural-switch-048-k4-r0,75960,362034,286074,4.766113744075829,True,0441891f60b07a456a0f21ed74a024987edd8cd9,94d602fbb35373a71566af0da41c8fff2a8c4e46112b7dd60e26fa133a04748b
multicore,B,071,4,fang-q1-stage-b-20260924-structural-switch-071-k4-r0,3134,43499,40365,13.87970644543714,True,0441891f60b07a456a0f21ed74a024987edd8cd9,5cdc8b56d97757e7216131854f8ea1c037909539c953990c6f7ba444b50448dd
multicore,B,080,4,fang-q1-stage-b-20260924-structural-switch-080-k4-r0,72261,91774,19513,1.2700350119704957,True,0441891f60b07a456a0f21ed74a024987edd8cd9,c91c39d3e1078fd2b95b8da52b26b353eadea3700fd3283051601f4fd1dfc990
multicore,C,051,2,fang-q1-stage-c-20260924-frontier-then-independent-chunks-051-k2-r0,327196,607628,280432,1.8570764923776575,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,e8976ec4eef97842672decc005db4e023870f641cdf2a1ff9e72dee682db0612
multicore,C,051,3,fang-q1-stage-c-20260924-frontier-then-independent-chunks-051-k3-r0,233909,607628,373719,2.597711075674728,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,b09823ba8a3d7b6715aeaec6b0f8da37c2fa1e9aab9ada3bcebbbca56d746f39
multicore,C,051,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-051-k4-r0,187266,607628,420362,3.2447320923178795,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,4db1780d631ccdcffb955767e24a7ef9e1720ec37c609edca3c0d81eaaa5e9cb
multicore,C,051,5,fang-q1-stage-c-20260924-frontier-then-independent-chunks-051-k5-r0,159280,607628,448348,3.8148417880462078,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,c3fef699b3fa1750385901c740b4796807414475877d52e2769a1e8a062cd241
multicore,C,002,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-002-k4-r0,60786,73544,12758,1.2098838548349948,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,4f03574fb6dd2dc5accb69acfc2604b6ed6e26dc9d2512ce1a1e267824744f37
multicore,C,008,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-008-k4-r0,62532,123060,60528,1.9679524083669162,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,9d82f7f780dea04be7b57038fbfe8d7099587142163a34945459ad86b0d43c87
multicore,C,024,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-024-k4-r0,790484,2555343,1764859,3.232630894489958,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,76bf3daa86d19b04a5f36ba27829a37a8f7c92418bdbb32e39fcd661f2dfd220
multicore,C,044,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-044-k4-r0,18601,124268,105667,6.680716090532767,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,21f60c08660755683939f8c10145d6450800de19a6ae2909d5d68f61e2285d85
multicore,C,048,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-048-k4-r0,75960,222220,146260,2.9254870984728805,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,dd01ca378f536cae3512465e7572c5d4ee76674b3a52af8750314f5bace7f190
multicore,C,071,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-071-k4-r0,3134,18919,15785,6.036694320357371,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,0b5ee1ccb62dac29823128a0c981833990b801c076f326f7d481625f0cb8733c
multicore,C,080,4,fang-q1-stage-c-20260924-frontier-then-independent-chunks-080-k4-r0,72261,111314,39053,1.5404436694759276,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,1cdad946ebd7934bf75435e8ce8e493cd96305cc57f4801d6710d4875c49d468
multicore,C,051,2,fang-q1-stage-c-20260924-chain-atomic-grain4-051-k2-r0,327196,357955,30759,1.094007872956882,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,ec30e96c0ca29d3e89d7a600552677368fdaf948664256d87794a7fd6ae95dd1
multicore,C,051,3,fang-q1-stage-c-20260924-chain-atomic-grain4-051-k3-r0,233909,291222,57313,1.2450226370084092,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,09f05ec45bad52998f780d9d1e51c6f0cd1365f6b371cbde9058b33b0ef0def6
multicore,C,051,4,fang-q1-stage-c-20260924-chain-atomic-grain4-051-k4-r0,187266,254308,67042,1.358004122478186,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,170495a3a050cd2a19662baee72df952a50d87fa1f65912c7b8043fee242319b
multicore,C,051,5,fang-q1-stage-c-20260924-chain-atomic-grain4-051-k5-r0,159280,253856,94576,1.5937719738824712,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,237a0eb5af69d75e82dcb8d240268b2a1ef3fb73fd5ea4efd3bf4eeaa9c6b98b
multicore,C,002,4,fang-q1-stage-c-20260924-chain-atomic-grain4-002-k4-r0,60786,73544,12758,1.2098838548349948,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,4f03574fb6dd2dc5accb69acfc2604b6ed6e26dc9d2512ce1a1e267824744f37
multicore,C,008,4,fang-q1-stage-c-20260924-chain-atomic-grain4-008-k4-r0,62532,179018,116486,2.862822235015672,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,1037e9cf67a50266d50f31703e7bf9065a9f255104e72edc28bd1ef86b904d0b
multicore,C,016,4,fang-q1-stage-c-20260924-chain-atomic-grain4-016-k4-r0,2388620,3241338,852718,1.3569919032746942,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,c25a8166e4a6a10543ab29a453f9da445d1e8d2bce4926fd8284db3dcd5175de
multicore,C,024,4,fang-q1-stage-c-20260924-chain-atomic-grain4-024-k4-r0,790484,1072818,282334,1.3571659894444417,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,e321b990a161a64fb3d2a5436df9eca68509e356e14a385e31debe65ded039d4
multicore,C,044,4,fang-q1-stage-c-20260924-chain-atomic-grain4-044-k4-r0,18601,81301,62700,4.370786516853933,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,de42349c4cb3f9cd84633625b30d9549f5621c84bc4fe3c934f14042b2d7f535
multicore,C,048,4,fang-q1-stage-c-20260924-chain-atomic-grain4-048-k4-r0,75960,161592,85632,2.1273301737756714,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,955b80a3678ef39dfc74c48b56986a55bbd7ccfccd715e9a1d0bfa69bdcf8680
multicore,C,071,4,fang-q1-stage-c-20260924-chain-atomic-grain4-071-k4-r0,3134,20194,17060,6.443522654754307,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,9c3bfa0b09557fff09e1eba4db1a153e3fa8240620ebd755196a4c3db33adbaf
multicore,C,080,4,fang-q1-stage-c-20260924-chain-atomic-grain4-080-k4-r0,72261,91774,19513,1.2700350119704957,True,88e95e28f6b6fdfe7e4d0b91a7b124740dc5006a,c91c39d3e1078fd2b95b8da52b26b353eadea3700fd3283051601f4fd1dfc990
multicore,D,051,2,fang-q1-stage-d-20260924-chain-atomic-grain4-unit-tasks-051-k2-r0,327196,425966,98770,1.301867993496253,True,a7f51f2d5ca7d735899addd8bc14900045484fc3,7d789eb76042a9719406fdae88e2ed22350603060a7182030207bb2483fa1465
multicore,D,051,4,fang-q1-stage-d-20260924-chain-atomic-grain4-unit-tasks-051-k4-r0,187266,333358,146092,1.7801309367423879,True,a7f51f2d5ca7d735899addd8bc14900045484fc3,d75e37018ec57dee62b131507b5c402793af2d26862d46b9b58e2eaf7773b9de
multicore,D,051,5,fang-q1-stage-d-20260924-chain-atomic-grain4-unit-tasks-051-k5-r0,159280,317741,158461,1.9948581115017578,True,a7f51f2d5ca7d735899addd8bc14900045484fc3,799d8d245134319c61d0799a0cc7b51d9ec90009b86006f8660ddbae0c702d1a
multicore,D,016,4,fang-q1-stage-d-20260924-chain-atomic-grain4-unit-tasks-016-k4-r0,2388620,4232514,1843894,1.7719494938500056,True,a7f51f2d5ca7d735899addd8bc14900045484fc3,fd8ecbf85945f40202f2d294c2f190fbdb61ba8c24e36f902c7d4d8dbbc04d81
multicore,D,024,4,fang-q1-stage-d-20260924-chain-atomic-grain4-unit-tasks-024-k4-r0,790484,1401810,611326,1.7733565764771964,True,a7f51f2d5ca7d735899addd8bc14900045484fc3,e3beb790dc43fdddeca8e6a4465b621dfd91d85972c451f9c05b99d203f96fd3
official_singlecore,existing,001,1,official-singlecore-20260924-001,232800,233110,310,1.001331615120275,True,f16746ff2ab112ae8e802711e90d74829c419eb9,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
official_singlecore,existing,002,1,official-singlecore-20260924-002,240036,261945,21909,1.0912738089286607,True,f16746ff2ab112ae8e802711e90d74829c419eb9,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
official_singlecore,existing,003,1,official-singlecore-20260924-003,438792,602212,163420,1.3724315848967164,True,f16746ff2ab112ae8e802711e90d74829c419eb9,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac
official_singlecore,existing,004,1,official-singlecore-20260924-004,385614,392357,6743,1.0174863983154139,True,f16746ff2ab112ae8e802711e90d74829c419eb9,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b
official_singlecore,existing,005,1,official-singlecore-20260924-005,63882,95618,31736,1.4967909583294199,True,f16746ff2ab112ae8e802711e90d74829c419eb9,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4
official_singlecore,existing,006,1,official-singlecore-20260924-006,69000,82837,13837,1.200536231884058,True,f16746ff2ab112ae8e802711e90d74829c419eb9,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7
official_singlecore,existing,007,1,official-singlecore-20260924-007,979020,1012562,33542,1.0342607914036486,True,f16746ff2ab112ae8e802711e90d74829c419eb9,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b
official_singlecore,existing,008,1,official-singlecore-20260924-008,250128,487605,237477,1.9494218959892535,True,f16746ff2ab112ae8e802711e90d74829c419eb9,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
official_singlecore,existing,009,1,official-singlecore-20260924-009,119992,153261,33269,1.2772601506767118,True,f16746ff2ab112ae8e802711e90d74829c419eb9,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
official_singlecore,existing,010,1,official-singlecore-20260924-010,55496,86969,31473,1.5671219547354764,True,f16746ff2ab112ae8e802711e90d74829c419eb9,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160
official_singlecore,existing,011,1,official-singlecore-20260924-011,184448,184697,249,1.0013499739764053,True,f16746ff2ab112ae8e802711e90d74829c419eb9,db489640d39c2964708569ebaf6663cf6cc0f85899140614e22653e78bb3f63d
official_singlecore,existing,012,1,official-singlecore-20260924-012,35572,59088,23516,1.661081749690768,True,f16746ff2ab112ae8e802711e90d74829c419eb9,af2e3ada2228e54350007b1a3849f582bee0ba1410eb32168e6d15df446c3b8f
