problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P2,069,5,dag_join_gap_list,ok,12679,1.9717264999999315,1.0743984000000637,662718,536664,0,
P3,069,5,dag_join_gap_list,ok,11269,1.9717264999999315,1.9044286999996984,662718,536664,0,0.2226552637498336
