variant,case,cores,makespan,extra_ddr,scheduled_copy_bytes,plan_hash
seed,003,2,248166,5067158,6351422,e6c87dd7e78e2b5bfe4e2c55b48583d5cae7c0fdec9198c1ab384c42f30a9c53
recovered,003,2,254508,3923290,5207554,d6da7474af3fe2bf2e3b83ec01015415bc63b33439647eb2ad40822d93511252
