case,cores,old_makespan,new_makespan,old_ddr,new_ddr,delta_cycles,delta_bytes,relative_ddr,category
001,1,233110,233110,0,0,0,0,,unchanged
001,2,116868,116868,1152,1152,0,0,0.0,unchanged
001,3,78545,78545,2304,2304,0,0,0.0,unchanged
001,4,58984,58984,3456,3456,0,0,0.0,unchanged
001,5,47502,47502,4608,4608,0,0,0.0,unchanged
002,1,240813,240813,0,0,0,0,,unchanged
002,2,124780,124780,9216,9216,0,0,0.0,unchanged
002,3,86384,86384,15360,15360,0,0,0.0,unchanged
002,4,67942,67942,36864,36864,0,0,0.0,unchanged
002,5,59810,59810,33792,33792,0,0,0.0,unchanged
003,1,566163,450981,0,867106,-115182,867106,,mk_down_ddr_up
003,2,511949,245150,98304,2978610,-266799,2880306,29.29998779296875,mk_down_ddr_up
003,3,513160,195043,196608,4738224,-318117,4541616,23.099853515625,mk_down_ddr_up
003,4,514387,172891,294912,4868254,-341496,4573342,15.50748019748264,mk_down_ddr_up
003,5,515736,163449,393216,5637616,-352287,5244400,13.337198893229166,mk_down_ddr_up
004,1,386417,386363,0,2236416,-54,2236416,,mk_down_ddr_up
004,2,195960,194814,110592,2039808,-1146,1929216,17.444444444444443,mk_down_ddr_up
004,3,130725,130725,221184,221184,0,0,0.0,unchanged
004,4,100126,100074,331776,1437696,-52,1105920,3.3333333333333335,mk_down_ddr_up
004,5,83319,83183,442368,1717248,-136,1274880,2.8819444444444446,mk_down_ddr_up
005,1,90450,71523,0,0,-18927,0,,mk_down_ddr_same
005,2,68784,43029,2237414,810214,-25755,-1427200,-0.6378792659740218,both_down
005,3,80167,37450,3101386,1168684,-42717,-1932702,-0.6231736391406939,both_down
005,4,76409,35303,3401488,1271538,-41106,-2129950,-0.6261818357142521,both_down
005,5,66385,33515,3096916,1410582,-32870,-1686334,-0.544520419669116,both_down
006,1,69275,69275,0,0,0,0,,unchanged
006,2,37257,36868,31104,467214,-389,436110,14.021026234567902,mk_down_ddr_up
006,3,32401,26745,43904,474470,-5656,430566,9.806987973760933,mk_down_ddr_up
006,4,31425,23478,73984,493424,-7947,419440,5.669333910034602,mk_down_ddr_up
006,5,31789,22471,63616,556690,-9318,493074,7.750785965794768,mk_down_ddr_up
007,1,979262,979262,0,0,0,0,,unchanged
007,2,490814,490226,27648,6355968,-588,6328320,228.88888888888889,mk_down_ddr_up
007,3,326994,326994,55296,55296,0,0,0.0,unchanged
007,4,246030,246030,82944,82944,0,0,0.0,unchanged
007,5,196870,196870,110592,110592,0,0,0.0,unchanged
008,1,250437,250437,0,0,0,0,,unchanged
008,2,125682,125682,0,0,0,0,,unchanged
008,3,84303,84303,0,0,0,0,,unchanged
008,4,63768,63768,0,0,0,0,,unchanged
008,5,52291,52291,0,0,0,0,,unchanged
009,1,139915,120103,0,72262,-19812,72262,,mk_down_ddr_up
009,2,87233,63059,0,775918,-24174,775918,,mk_down_ddr_up
009,3,87297,46378,24576,1325824,-40919,1301248,52.947916666666664,mk_down_ddr_up
009,4,87361,48334,49152,1501970,-39027,1452818,29.557657877604168,mk_down_ddr_up
009,5,87425,51905,49152,577996,-35520,528844,10.759358723958334,mk_down_ddr_up
010,1,71470,57684,0,22016,-13786,22016,,mk_down_ddr_up
010,2,37646,29542,48384,342412,-8104,294028,6.076967592592593,mk_down_ddr_up
010,3,29582,21389,48384,208080,-8193,159696,3.300595238095238,mk_down_ddr_up
010,4,29933,19162,96768,226652,-10771,129884,1.3422205687830688,mk_down_ddr_up
010,5,31024,20820,145152,316892,-10204,171740,1.1831735008818343,mk_down_ddr_up
011,1,184697,184697,0,0,0,0,,unchanged
011,2,92646,92646,180224,180224,0,0,0.0,unchanged
011,3,69625,69625,1081344,1081344,0,0,0.0,unchanged
011,4,46880,46880,540672,540672,0,0,0.0,unchanged
011,5,46777,46777,1622016,1622016,0,0,0.0,unchanged
012,1,51401,36348,0,0,-15053,0,,mk_down_ddr_same
012,2,21930,18972,10944,140394,-2958,129450,11.828399122807017,mk_down_ddr_up
012,3,17351,15007,38592,177222,-2344,138630,3.592195273631841,mk_down_ddr_up
012,4,13803,13803,20736,20736,0,0,0.0,unchanged
012,5,12661,12661,48384,48384,0,0,0.0,unchanged
013,1,263949,263949,0,0,0,0,,unchanged
013,2,132198,132198,8192,8192,0,0,0.0,unchanged
013,3,88351,88351,16384,16384,0,0,0.0,unchanged
013,4,66946,66946,24576,24576,0,0,0.0,unchanged
013,5,54117,54117,32768,32768,0,0,0.0,unchanged
014,1,18021184,17430036,58470816,105614592,-591148,47143776,0.8062787425439727,mk_down_ddr_up
014,2,8869498,8749303,50500536,150205276,-120195,99704740,1.97433033186024,mk_down_ddr_up
014,3,5955608,5868958,54775464,150229696,-86650,95454232,1.742645794839821,mk_down_ddr_up
014,4,4510101,4478191,58916760,149201504,-31910,90284744,1.5324118977350418,mk_down_ddr_up
014,5,3666823,3666823,63322632,63322632,0,0,0.0,unchanged
015,1,160641,114569,0,958548,-46072,958548,,mk_down_ddr_up
015,2,88861,64179,105216,970080,-24682,864864,8.219890510948906,mk_down_ddr_up
015,3,57529,41333,215040,817272,-16196,602232,2.800558035714286,mk_down_ddr_up
015,4,56886,42098,231168,1334706,-14788,1103538,4.77374896179402,mk_down_ddr_up
015,5,40828,40828,317952,317952,0,0,0.0,unchanged
016,1,7715523,7715523,0,0,0,0,,unchanged
016,2,4027481,4023361,9144,407852,-4120,398708,43.60323709536308,mk_down_ddr_up
016,3,2888271,2885946,12192,344748,-2325,332556,27.276574803149607,mk_down_ddr_up
016,4,2250687,2249997,539552,509812,-690,-29740,-0.05511980309590179,both_down
016,5,2240622,2091375,281636,411496,-149247,129860,0.4610916218097118,mk_down_ddr_up
017,1,130072,111608,0,295056,-18464,295056,,mk_down_ddr_up
017,2,67524,56703,87552,426284,-10821,338732,3.868923611111111,mk_down_ddr_up
017,3,42600,42129,171648,875176,-471,703528,4.098667039522744,mk_down_ddr_up
017,4,31517,31517,249984,249984,0,0,0.0,unchanged
017,5,28510,28510,329472,329472,0,0,0.0,unchanged
018,1,1020703,971704,815104,564224,-48999,-250880,-0.30778894472361806,both_down
018,2,492735,488869,1520640,2011656,-3866,491016,0.32290088383838383,mk_down_ddr_up
018,3,339568,328555,2508800,5389508,-11013,2880708,1.1482413903061224,mk_down_ddr_up
018,4,254215,248834,3767296,6509832,-5381,2742536,0.7279852711334602,mk_down_ddr_up
018,5,196504,196504,4706304,4706304,0,0,0.0,unchanged
019,1,64148,51676,0,0,-12472,0,,mk_down_ddr_same
019,2,36156,26298,27168,128300,-9858,101132,3.7224676089517077,mk_down_ddr_up
019,3,25044,19189,24576,345428,-5855,320852,13.055501302083334,mk_down_ddr_up
019,4,24243,17874,51744,568364,-6369,516620,9.984152752009894,mk_down_ddr_up
019,5,24346,16247,76320,495120,-8099,418800,5.487421383647798,mk_down_ddr_up
020,1,532746,532746,0,0,0,0,,unchanged
020,2,266828,266828,0,0,0,0,,unchanged
020,3,180314,180314,0,0,0,0,,unchanged
020,4,146116,146116,0,0,0,0,,unchanged
020,5,110112,110112,0,0,0,0,,unchanged
021,1,6560801,6560801,6881280,6881280,0,0,0.0,unchanged
021,2,3253018,3253018,7925760,7925760,0,0,0.0,unchanged
021,3,2170286,2170286,10002432,10002432,0,0,0.0,unchanged
021,4,1605196,1605196,9940992,9940992,0,0,0.0,unchanged
021,5,1272517,1272517,13025280,13025280,0,0,0.0,unchanged
022,1,54123,54123,0,0,0,0,,unchanged
022,2,27951,27951,6912,6912,0,0,0.0,unchanged
022,3,19220,19220,13824,13824,0,0,0.0,unchanged
022,4,15012,15012,13824,13824,0,0,0.0,unchanged
022,5,12863,12863,20736,20736,0,0,0.0,unchanged
023,1,88278,78981,0,548872,-9297,548872,,mk_down_ddr_up
023,2,45705,38173,84384,739322,-7532,654938,7.761400265453166,mk_down_ddr_up
023,3,30521,27272,207264,957344,-3249,750080,3.618959394781535,mk_down_ddr_up
023,4,24256,24256,280992,280992,0,0,0.0,unchanged
023,5,19530,19530,270624,270624,0,0,0.0,unchanged
024,1,2555343,2555343,0,0,0,0,,unchanged
024,2,1334375,1334233,3024,398060,-142,395036,130.63359788359787,mk_down_ddr_up
024,3,957207,957207,4032,4032,0,0,0.0,unchanged
024,4,751695,748761,529352,497572,-2934,-31780,-0.060035666248545394,both_down
024,5,746832,695607,268580,399256,-51225,130676,0.48654404646660215,mk_down_ddr_up
025,1,4703066,4703066,0,0,0,0,,unchanged
025,2,2351860,2351860,27648,27648,0,0,0.0,unchanged
025,3,1568824,1568824,55296,55296,0,0,0.0,unchanged
025,4,1177396,1177396,82944,82944,0,0,0.0,unchanged
025,5,942938,942938,110592,110592,0,0,0.0,unchanged
026,1,95694,74116,0,546840,-21578,546840,,mk_down_ddr_up
026,2,44946,39853,19200,821888,-5093,802688,41.806666666666665,mk_down_ddr_up
026,3,42071,32073,95664,871340,-9998,775676,8.108337514634554,mk_down_ddr_up
026,4,44173,26189,170832,593732,-17984,422900,2.4755315163435423,mk_down_ddr_up
026,5,46161,28682,211680,926452,-17479,714772,3.376662887377173,mk_down_ddr_up
027,1,2363952,2363952,1400832,1400832,0,0,0.0,unchanged
027,2,1120962,1120962,1744896,1744896,0,0,0.0,unchanged
027,3,837049,837049,3686400,3686400,0,0,0.0,unchanged
027,4,559196,559196,3317760,3317760,0,0,0.0,unchanged
027,5,558753,558753,5529600,5529600,0,0,0.0,unchanged
028,1,40612073,40375049,76299264,51546624,-237024,-24752640,-0.3244151870193663,both_down
028,2,20218697,19839080,54329472,40238208,-379617,-14091264,-0.2593668497275291,both_down
028,3,13461846,13235109,41013504,21056256,-226737,-19957248,-0.4866018762990843,both_down
028,4,10098271,10010954,30394752,39873024,-87317,9478272,0.31183909643348956,mk_down_ddr_up
028,5,8089360,8089360,26780160,26780160,0,0,0.0,unchanged
029,1,37555,37555,0,0,0,0,,unchanged
029,2,20442,18880,0,172402,-1562,172402,,mk_down_ddr_up
029,3,14718,13806,0,197036,-912,197036,,mk_down_ddr_up
029,4,13093,13093,0,0,0,0,,unchanged
029,5,11624,11624,0,0,0,0,,unchanged
030,1,2820990,2820990,1320960,1320960,0,0,0.0,unchanged
030,2,1394113,1394113,2370560,2370560,0,0,0.0,unchanged
030,3,931517,931517,4159488,4159488,0,0,0.0,unchanged
030,4,696338,696338,5950464,5950464,0,0,0.0,unchanged
030,5,558860,558860,7488512,7488512,0,0,0.0,unchanged
031,1,1421235,1344175,2125824,3133060,-77060,1007236,0.47380968509152216,mk_down_ddr_up
031,2,731691,690973,2621952,8486544,-40718,5864592,2.236727445811365,mk_down_ddr_up
031,3,534795,479195,3996672,11896112,-55600,7899440,1.9765044517038175,mk_down_ddr_up
031,4,419131,357742,4646400,10769780,-61389,6123380,1.3178762052341597,mk_down_ddr_up
031,5,336697,309598,5365248,11872150,-27099,6506902,1.2127868087365206,mk_down_ddr_up
032,1,34103,34103,0,0,0,0,,unchanged
032,2,18367,17758,6216,209212,-609,202996,32.65701415701416,mk_down_ddr_up
032,3,13907,13715,12360,201114,-192,188754,15.271359223300971,mk_down_ddr_up
032,4,11239,11239,18576,18576,0,0,0.0,unchanged
032,5,10714,10714,18576,18576,0,0,0.0,unchanged
033,1,1792938,1741213,5500416,4989440,-51725,-510976,-0.09289770082844644,both_down
033,2,882917,871884,5857824,10902056,-11033,5044232,0.8611102006478857,mk_down_ddr_up
033,3,582998,582998,6399552,6399552,0,0,0.0,unchanged
033,4,441108,441108,6701664,6701664,0,0,0.0,unchanged
033,5,352730,352730,7555200,7555200,0,0,0.0,unchanged
034,1,805560,755680,0,2030666,-49880,2030666,,mk_down_ddr_up
034,2,398818,388399,1167872,6323902,-10419,5156030,4.414893070473476,mk_down_ddr_up
034,3,262726,262726,2280448,2280448,0,0,0.0,unchanged
034,4,193847,193847,3089920,3089920,0,0,0.0,unchanged
034,5,164609,164609,3497984,3497984,0,0,0.0,unchanged
035,1,152994,144188,0,0,-8806,0,,mk_down_ddr_same
035,2,88365,74267,0,874866,-14098,874866,,mk_down_ddr_up
035,3,88438,51825,4608,1166174,-36613,1161566,252.07595486111111,mk_down_ddr_up
035,4,88511,44023,0,1139574,-44488,1139574,,mk_down_ddr_up
035,5,88584,43168,4608,1359334,-45416,1354726,293.9943576388889,mk_down_ddr_up
036,1,931510,931510,0,0,0,0,,unchanged
036,2,466068,466068,1152,1152,0,0,0.0,unchanged
036,3,311345,311345,2304,2304,0,0,0.0,unchanged
036,4,233584,233584,3456,3456,0,0,0.0,unchanged
036,5,187182,187182,4608,4608,0,0,0.0,unchanged
037,1,210533,210533,0,0,0,0,,unchanged
037,2,105906,105906,204800,204800,0,0,0.0,unchanged
037,3,74570,74570,1064960,1064960,0,0,0.0,unchanged
037,4,57428,57428,614400,614400,0,0,0.0,unchanged
037,5,46194,46194,1925120,1925120,0,0,0.0,unchanged
038,1,1353582,1329688,3859968,4824064,-23894,964096,0.24976787372330547,mk_down_ddr_up
038,2,669337,666070,3468288,4974080,-3267,1505792,0.43416002361972245,mk_down_ddr_up
038,3,445815,445815,5544960,5544960,0,0,0.0,unchanged
038,4,336414,336414,6749184,6749184,0,0,0.0,unchanged
038,5,270889,270889,8613888,8613888,0,0,0.0,unchanged
039,1,1425374,1425374,9273344,9273344,0,0,0.0,unchanged
039,2,710818,710818,12386304,12386304,0,0,0.0,unchanged
039,3,487917,487917,15552512,15552512,0,0,0.0,unchanged
039,4,409739,409739,18718720,18718720,0,0,0.0,unchanged
039,5,449653,449653,21725184,21725184,0,0,0.0,unchanged
040,1,244334,189623,0,241664,-54711,241664,,mk_down_ddr_up
040,2,142525,100596,0,1207286,-41929,1207286,,mk_down_ddr_up
040,3,103458,70548,0,938456,-32910,938456,,mk_down_ddr_up
040,4,103829,63489,53760,1219014,-40340,1165254,21.675111607142856,mk_down_ddr_up
040,5,104200,59117,66048,1295518,-45083,1229470,18.6147953003876,mk_down_ddr_up
041,1,6000284,5919556,23015424,25035776,-80728,2020352,0.08778252358070832,mk_down_ddr_up
041,2,2974004,2974004,21783552,21783552,0,0,0.0,unchanged
041,3,1994157,1994157,22235136,22235136,0,0,0.0,unchanged
041,4,1498613,1498613,24886272,24886272,0,0,0.0,unchanged
041,5,1204582,1204582,25958400,25958400,0,0,0.0,unchanged
042,1,1800662,1600513,6958080,0,-200149,-6958080,-1.0,both_down
042,2,925438,802463,6706464,3530504,-122975,-3175960,-0.473566994469813,both_down
042,3,661704,537381,6648384,9018436,-124323,2370052,0.35648542563125113,mk_down_ddr_up
042,4,500651,407648,7450176,7629296,-93003,179120,0.02404238503895747,mk_down_ddr_up
042,5,406208,336550,7692576,10451724,-69658,2759148,0.35867672935568007,mk_down_ddr_up
043,1,616415,523799,0,1185670,-92616,1185670,,mk_down_ddr_up
043,2,341549,271046,368640,3399662,-70503,3031022,8.222173394097222,mk_down_ddr_up
043,3,262377,204584,92160,5028012,-57793,4935852,53.557421875,mk_down_ddr_up
043,4,263552,167862,599040,5689586,-95690,5090546,8.497839877136752,mk_down_ddr_up
043,5,264790,149013,1013760,5717700,-115777,4703940,4.640092329545454,mk_down_ddr_up
044,1,74523,74523,0,0,0,0,,unchanged
044,2,43795,43795,930400,930400,0,0,0.0,unchanged
044,3,43795,43795,930400,930400,0,0,0.0,unchanged
044,4,43795,43795,930400,930400,0,0,0.0,unchanged
044,5,43795,43795,930400,930400,0,0,0.0,unchanged
045,1,125614,125614,0,0,0,0,,unchanged
045,2,63245,63245,0,0,0,0,,unchanged
045,3,42994,42994,0,0,0,0,,unchanged
045,4,33079,33079,0,0,0,0,,unchanged
045,5,29103,29103,0,0,0,0,,unchanged
046,1,209667,209667,0,0,0,0,,unchanged
046,2,105322,105322,930400,930400,0,0,0.0,unchanged
046,3,79308,79308,1860800,1860800,0,0,0.0,unchanged
046,4,77846,77846,2791200,2791200,0,0,0.0,unchanged
046,5,77846,77846,2791200,2791200,0,0,0.0,unchanged
047,1,314219,275911,0,0,-38308,0,,mk_down_ddr_same
047,2,208546,145662,2755750,2244294,-62884,-511456,-0.18559593577066136,both_down
047,3,173611,107851,4032460,3614636,-65760,-417824,-0.10361516295263933,both_down
047,4,154452,104047,4658386,4015922,-50405,-642464,-0.13791557848576738,both_down
047,5,161273,100166,5512696,2207000,-61107,-3305696,-0.5996514228246941,both_down
048,1,208057,152582,0,0,-55475,0,,mk_down_ddr_same
048,2,138160,106510,992774,727046,-31650,-265728,-0.2676621265262789,both_down
048,3,119601,95762,1038220,793580,-23839,-244640,-0.23563406599757278,both_down
048,4,118751,95148,1102610,851090,-23603,-251520,-0.22811329481865755,both_down
048,5,119150,95213,1116760,863926,-23937,-252834,-0.22639958451233927,both_down
049,1,176170,166132,0,337940,-10038,337940,,mk_down_ddr_up
