cores,n,mean_no_cache_speedup,mean_cache_speedup,mean_cache_gain,mean_byte_hit_rate,pooled_byte_hit_rate
1,100,1.1971433351520684,1.1997595678587545,1.0023396456088587,0.0646551326108523,0.09954928154013913
2,100,2.2949287031441634,2.312002295129782,1.0079236454663982,0.16252184505246103,0.36416490860758244
3,100,3.174451211202331,3.258687134445883,1.0313799262555163,0.2595899594952508,0.41238711020460556
4,100,3.9210839408875704,4.091503001561421,1.0512016361351884,0.2452898357447949,0.42439589297377345
5,100,4.476283315658887,4.7576166788448955,1.082917172693062,0.3136333185938237,0.47445902400474377
