case,cores,baseline,no_cache,cache,plan_no,plan_cache,config_shared_no,config_shared_cache,hit_bytes,miss_bytes,cache_gain,hit_rate,graph_sha256,no_result_sha256,cache_result_sha256
003,1,602212,442629,442629,124379cd6c9597d3d9baff275bd411ff8e3db0ccfb638f0c619d253ecf6f2e56,124379cd6c9597d3d9baff275bd411ff8e3db0ccfb638f0c619d253ecf6f2e56,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,22,1617416,1.0,1.3601757841722527e-05,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,894cb13679e7e6cc01b057710859ab805ac27acc513fccdee3e455c4c7cb8ed3,1ba3dd3378686cf87afd3a7926c53bf91dfe679306a35e00bcd04e6f4b6243ed
003,2,602212,229320,229045,6a7be6758790ed864eb2c89af8bd6157266406827ef73b15a0129c3bc9a2cd2a,6a7be6758790ed864eb2c89af8bd6157266406827ef73b15a0129c3bc9a2cd2a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,405510,2303250,1.001200637429326,0.14970318522128206,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,93891c45e906405cfc181891d85d56f4e758f89855031a7b0aa29a0d1402e6fb,da0001f90e919505a5aafdc436920615b9695214771decf54b93b9030f710cae
003,3,602212,170057,169168,8a74bfa997261732bb465c7f2da5bd3c18d553ba1bffe6063f77a124fb7fb6ce,8a74bfa997261732bb465c7f2da5bd3c18d553ba1bffe6063f77a124fb7fb6ce,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1090320,2379234,1.0052551309940414,0.31425364758698093,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,ed917536f1bdfeb915f5473431245e957492a4ea049d6407b5fd2ae3ed6004ed,73a9ac170445b8c24ea3732b1922effba272a128681d01532036543d4fd18a7a
003,4,602212,148631,139553,9f78fe5e0c91ba2abde4a8890e3ac12da6ef63460e6163a2f8393b8c58edb1a9,9f78fe5e0c91ba2abde4a8890e3ac12da6ef63460e6163a2f8393b8c58edb1a9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,1858204,2497388,1.065050554269704,0.42662489966920686,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,4f5e55520f5516f1d8de643b764fab7f345fbba259e6c01bde5f7481b727098e,8b418f43881fe992a334183894be3d8fc1e13c74388172527a6ca0ace00dcc85
003,5,602212,138802,124094,323c5662d39e4e39302581e865777e34ef05d0db6d24e9940da25395071cb817,323c5662d39e4e39302581e865777e34ef05d0db6d24e9940da25395071cb817,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,2339878,2703242,1.1185230551033893,0.46397428575960914,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,28e144cdeaff29a8aea5ae633e8f6f2f75fdef07e40a0556c305c6a3c78d5ccf,e300ec052973a5becf0905beb69ac14ca2b7a3440cee292da4b2ba6d5ef032ae
004,1,392357,386363,386363,eb27a399dec0766476b103eb6876baffe355f1ab097190aa5da4b029333ae08a,eb27a399dec0766476b103eb6876baffe355f1ab097190aa5da4b029333ae08a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,451584,1.0,0.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,cafc17025548068e10aaadf43ec6a615b550e637ce5dc067b9b4aec6ab3087a4,c1af64ab5810f218d5e17202ddd1a9039bfe93b4aa6d537bb190220cd460977e
004,2,392357,195960,195960,0ec4441451ac4646159c1ecbec72cb691d540ed4197581569cfc82c6bfd50108,0ec4441451ac4646159c1ecbec72cb691d540ed4197581569cfc82c6bfd50108,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,562176,1.0,0.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,9006c71b28a5de5c491827d5b31d324d8af14b0f5e8ed794e0571d9eb57aee4c,a2f7aa90e2b6f21cf38a031fc1226d8e20d3cc7a41125c5c20515bbda2351098
004,3,392357,130725,130725,d59b656b67aff612ad74c1b76303d62f14de9da1e7be1862c5d36b13b29fbdcd,d59b656b67aff612ad74c1b76303d62f14de9da1e7be1862c5d36b13b29fbdcd,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,672768,1.0,0.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,a27d13140017e79aa840adae0e3c5aee4555bc2e7fda168f7cafbd094282fc9f,9c261ccde9acee7b3e0a4d12a830568f0b74e268430beb891dbcb986346271c2
004,4,392357,100126,100126,e498c28206ba10ec3061329d40d0d62baeb3a30220d714c1d801c2bf49708d46,e498c28206ba10ec3061329d40d0d62baeb3a30220d714c1d801c2bf49708d46,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,783360,1.0,0.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,3fc637520def21d6a9e4bfbae31b037ca76f7a0dedf7602de8a644ef01aba07b,84247ef73538f9e681c3169942fbfed3343ef6a348a69eb429ab3c716299eed2
004,5,392357,83440,83440,51d2dfb1a4c0864659d527d8b5262312f3f7fa28b3cb0dd2c6a08d518767e4de,51d2dfb1a4c0864659d527d8b5262312f3f7fa28b3cb0dd2c6a08d518767e4de,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,893952,1.0,0.0,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,29cf59a9b15d890e6abda6a1c2e9e431287ce684ac279624e77d905fabfa529a,51457aa3c680bc7219c9973b2d2f568f0b9d0a4d5287f63b26b53e9c54a60fea
