cores,n_cases,mean_cache_gain,mean_byte_hit_rate_case_wise,pooled_byte_hit_rate,no_access_cells
1,100,1.0023396456088587,0.0646551326108523,0.09954928154013913,0
2,100,1.0079236454663982,0.16252184505246103,0.36416490860758244,0
3,100,1.031379926255516,0.2595899594952508,0.41238711020460556,0
4,100,1.0512016361351884,0.2452898357447949,0.42439589297377345,0
5,100,1.082917172693062,0.3136333185938237,0.47445902400474377,0
