case,cores,plan_sha256,p2_sha256,p3_sha256,no_l2_makespan,cache_makespan,cache_gain,hit_bytes,miss_bytes,byte_hit_rate,category
035,1,1122834f126d37fcbcf81d0920603b1384ed0c8c591c56e5ebb5382a9794d3ba,93b25d97f6612c6446e50fbf17dd6e98ca24dd8baddecabbf0ae6fceac228144,810277d4a9e5cb99e6acd06eae94122c985a73b808918a8dc30fa62dc6b8c163,146198,146198,1.0,34820,768222,0.04336012313179136,parity
036,1,4d75ebc480a477fc24bbf49d9ce2dadc216421b9d4b56447a361690eeeb5e240,0391761796056e007800ef4fe604fad4ca7c16b3712f3bcd0d1372325f9df96e,6c569d6ea1cc8692efa2ceacd9f16dca754adb390ee7e1739788fa8a7670a64d,931510,931510,1.0,0,3277952,0.0,parity
037,1,776155e9ab03123e44ba09834a99fff39a14357ccc768a1f3cdb76df4e08929f,273883863f001585518e2ecfc07b7c23a351dd94030d34c585b958e26fdf3721,d3ec0b7191a238679897a0157e77ccf2d9afc985dc39e955f89babd000e1c79f,210001,210001,1.0,0,532480,0.0,parity
038,1,c603880e7ae33f87b28acbdf3debe41d444227057a64e1dce65dfb15481279b3,a40beaf0a774806b58f7f0d4064139b85117b378abd102e756ea33c51217b970,28d62cb685d5890176e4b8c4a13b772716c9d705060be03ac9d661695a2ae707,1329688,1329688,1.0,812032,4800522,0.14468136965809147,parity
039,1,41f1dc9b0b547d52f71889f9c6b5636f8e671dbe7c488908a6095ad2ee366f3d,d9ed996b7c3d68a1928fcafb2928c6c8ffc47f7f8b5b21de160097eadef70f4d,cd062ce4291d94fc0af60c04a7b016ef6dd841df31c40ca52ba3096eb94d9a0e,1435262,1435262,1.0,0,12132352,0.0,parity
040,1,eed1635c9c02d2b8e180093e5166875e0270158d4762e5194f23409d20538bd1,acd5b938323d6fb17700d060587b18e763bdb5d49ece2ddc15944f00f37267eb,e2933d5483c0efd3e5200e01c5864b63a384dc3996b7eb12c5830381467904c0,275606,274949,1.0023895340590436,104458,4345360,0.023474667952711775,positive
041,1,f5c30f99c5f6b071b51e84b22937dbdf046d4a9f031ad8b64acf10334f8302bf,d725660df5cd86d4d8ed23fd07055d7dcfb59c83380167427d4044a2484d0586,27f7c1614198b8d5c95ceb9ca141e47e0a51ffbd6efe59f89ba932c216ee037c,5919556,5919382,1.0000293949604875,3397632,23474176,0.12643853364834998,positive
042,1,8df39ee038f6b3d686df4df8f30c15932c6fa6007bc7813132626a3e52254368,90a7487e98105a63a7607510937576bc6a2c8fb00b1901beef5f9d950e35b89d,e4ec32d8191571684e246c5337d27c011f3a6c641e1e88c150c3d8b7274d602f,1600513,1600513,1.0,0,2364192,0.0,parity
043,1,02cb9a32afc1b61a248450246159df6b6a4f2d2d980d3198e649fa10b9368ca7,0326ce425b3a0ddeeca216899f37e4f9145d4255ebae55940182140275d5788a,0c3d49ca994aa433130efe4cce7098ad3cce4c6cd626eefbbabaa9f737408113,531256,531018,1.0004481957297116,100718,2258974,0.04268268909671262,positive
044,1,93747faac95226dda2c2be98e841de9a58350c81edd89315d62c4e0e90e447c1,43d43e6031a876e6f562935ea1f78cdf81a16bda92d4c96188cd769680659ad7,2b003b2e077d3a9cff0ed1d65d3a1569f4f27dfbc36a9ecd26e176ece8c224dd,78142,78142,1.0,0,952928,0.0,parity
045,1,62fac1d61c2a93b208373126f9b7b35c0daa52408d1d8e129c043c46fdd2a608,02a3159dea7e3334dfa872e08d8a40e3c7b0d9811e28ee3aeae5bb6813a5cee1,87333e5f91f75e3cb5e3df17242801df8f09702c7f581338290c3163c6e64ff1,125614,125614,1.0,0,278528,0.0,parity
046,1,1dda9a35ed483d1b2a19b6a7f4e2d6389cdb71e7858e017c7602854257748c71,edb12ae037700f62f3006be712494e1838da5efe95a3a76d74bc63d974f6aee0,2734d35a5d9ca078a56dcd6c735ac52c74d1e00d8bdc32d00e88beb8549a5298,216019,216019,1.0,0,995936,0.0,parity
047,1,da3d2cfa5d2da3b09f641653881af0c0bb837518a22194ef5a1a4d15353165e8,c1a1319b85d98c84ad63de0a8aa30f55c85c22765e12c1267d922823373c92eb,48afb5f99624525a40bfaeae9e60f16526cd55baeb9eae6bb6012957bb0a03a9,275355,275355,1.0,0,457286,0.0,parity
048,1,5dc546d7a66fd248c04f29db36b6583cae03bb40f449bd625bffb1a024032bb5,6a21429de55f9ee432b9b1a53ed0d1adcc36bf061794353fb80720b1f5b01c34,c66e6a399ff9a038db1e3f9c84850e3381b3e1e7d123e1954b57c158fade6255,145921,145921,1.0,0,410182,0.0,parity
049,1,f16fbebdac90138e2457e2edb3574f971562600c7f4c295931c6478c27d0dbd9,142adfed8984ee495cb3a9255d9c4ade4d3861e9a4d056d05202cfa81aa8b750,728b19682d7a1042c34297adacfb7b3e1e485a67dd10b42ab4d278996e6524a9,166533,166533,1.0,32786,305816,0.09682754384203283,parity
050,1,dabe9bc3d9ff8e133cb3a4d299686d5742898f9825b4990bae576b6604c45101,dc52d9dddc51e9fac98e4b4651e4aa5f3467ae511b3b0d3a2391907351d7f8c0,d0d8fd40398d96feaeb64318705a385d1d6f46dcaed5390d94723b594c943762,141227,140768,1.0032606842464196,139270,914628,0.13214751332671662,positive
051,1,0b6e43595f83e034265a4c31c158792e2742c8aa11342dab7b78edeeb5fcab59,aafa38c23d32c81630aae368b26bb66cbd14ae17d58cb4306f71ab0d4f87f4eb,1bc3db1dcc5b26964de629d5da1c328c77045aa98cf26a1689b411915fcdee94,607628,607628,1.0,0,393216,0.0,parity
052,1,64354957b9a15d473a04ece3b131fd425cc57c4795ad9ddde705d8ca664ed96b,befea42a3509ad47fc50f48292d89c545279a392180f24563b0502a4709d05f3,92605505136dd8e4f4aaf9317348629bdbfa221c63ef3663b5d03cd3d987e69b,142046,142046,1.0,12288,905280,0.01339192299644277,parity
053,1,0eb61154ffe37ed113e7e0fb17ad35778a0c3f1b39a962c7ac1e02cdaaa26ab9,bcad52a64d645d5fc63eaba06d55a60dbf8552d751a51a0cc2bb5023cee5ed22,e6b26ee63b679d62d0463ef346b4880fae3c3855a4e6066333ca10130504fe21,1212974,1212974,1.0,20,2954908,6.768354423525717e-06,parity
054,1,b89b3757ce6f6f7de2a4e77ab9ec5f22e71ac3c08f4b6b9776bd730c36ad31f8,a52c4df36d79b21491781bc58d91c0c946367f7c4b91a297f074c0a026aebedd,dd55f90e058d178fb32519ec60bab6355903412c2423a83a566690f7e9ef6881,603078,602970,1.000179113388726,18456,2088766,0.008758450699546607,positive
