case,current_speedup,lower_bound,speedup_ceiling,mean_gain_ceiling,cluster,components,giant_ops,giant_dominant_pipe_share,spill_bytes
044,1.161898383649881,16300,9.47282208588957,0.08310923702239689,DDR-spill-and-replication,11,124,0.09090909090909091,2474432
086,1.0,15976,7.411304456685028,0.06411304456685028,single-component-multisink,1,5274,1.0,0
005,1.0,12916,7.403065964694952,0.06403065964694953,single-component-multisink,1,4113,1.0,0
069,1.0,3474,7.237766263673,0.062377662636729996,single-component-multisink,1,1032,1.0,0
071,1.0,2646,7.150037792894936,0.06150037792894936,single-component-multisink,1,741,1.0,0
068,1.1908747673141309,49885,7.258594767966323,0.06067720000652192,indivisible-component-imbalance,32,4176,0.9463149485550038,0
088,1.2013501585376076,34765,7.007708902631958,0.058063587440943504,indivisible-component-imbalance,31,2798,0.9057186304778582,0
003,1.1160196216876357,87999,6.843395947681223,0.05727376325993587,indivisible-component-imbalance,10,13194,0.8732429032434502,0
054,1.5730536368075378,114977,7.0888177635527105,0.05515764126745173,indivisible-component-imbalance,24,15390,0.4833999749223289,0
075,1.0,221771,6.501341473862678,0.05501341473862678,single-component-multisink,1,7410,1.0,0
082,1.0,113855,6.332976153879935,0.05332976153879935,single-component-multisink,1,4113,1.0,0
047,1.0,51892,6.292068141524705,0.052920681415247056,single-component-multisink,1,13710,1.0,0
066,1.4337050657019992,54009,6.648336388379715,0.05214631322677715,indivisible-component-imbalance,28,2110,0.7523192952012281,0
085,1.0,513311,6.210463052613328,0.052104630526133275,single-component-multisink,1,19737,1.0,0
010,2.8040947928421733,11136,7.809716235632184,0.050056214427900106,indivisible-component-imbalance,36,133,0.518217529191293,0
084,4.98024120507198,253415,9.894489276483238,0.04914248071411258,loose-bound-already-near-five,1077,8,0.0009285051067780873,0
008,4.846823653370178,50232,9.707059245102723,0.04860235591732545,loose-bound-already-near-five,108,8,0.009259259259259259,0
090,2.171545302761694,168450,6.995327990501632,0.04823782687739939,DDR-spill-and-replication,13,128,0.07692307692307693,13130784
100,2.603477662047,20412,7.4085341955712325,0.04805056533524232,indivisible-component-imbalance,43,275,0.5600105875087004,0
096,3.112187188112224,10662,7.896642280997937,0.04784455092885713,indivisible-component-imbalance,50,397,0.5026726896292114,0
095,4.953886401870491,214205,9.732980089166919,0.047790936872964276,loose-bound-already-near-five,462,8,0.0021645021645021645,0
009,1.6618162103551097,24005,6.384544886481983,0.047227286761268736,indivisible-component-imbalance,25,4774,0.6651110074004933,0
026,2.2487872330779344,14259,6.957220001402623,0.04708432768324689,indivisible-component-imbalance,31,198,0.5768709021026452,0
049,1.224734805940347,33153,5.920308870992067,0.0469557406505172,indivisible-component-imbalance,11,3952,0.8563618260266119,0
015,4.085646495127963,20374,8.705310690095219,0.04619664194967256,other-or-balanced,46,145,0.2873976570736081,8192
065,4.3609170843947735,5923,8.959648826608138,0.04598731742213365,other-or-balanced,42,19,0.03238701809065655,0
056,1.0433504914134344,49201,5.635759435783825,0.04592408944370391,indivisible-component-imbalance,19,7464,0.9687704561440601,0
