method,cores,n,mean_speedup,sd_speedup,mean_observed_speedup
q2-adaptive-budget,1,100,1.0,0.0,1.0
q2-adaptive-budget,2,100,1.8475208455534178,0.2900196698652944,1.8475208455534178
q2-adaptive-budget,3,100,2.539907205616761,0.6286861937608271,2.539907205616761
q2-adaptive-budget,4,100,3.1431174945301614,1.0013048744458841,3.1431174945301614
q2-adaptive-budget,5,100,3.6292594924944357,1.3681046333600737,3.6292594924944357
