problem,case_id,cores,variant,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate
P2,044,4,pipeline_capacity,ok,37581,2.7240277999990212,2.5848368000006303,1096544,121088,0,
P3,044,4,pipeline_capacity,ok,37581,2.7240277999990212,9.150610100001359,1096544,121088,0,0.0
