Thu Sep 24 23:20:40 2026    ${REPO_ROOT}/results/a/q2-nikolastarx/constructor-profile-20260924/008-k4/profile.pstats

         223466 function calls (218889 primitive calls) in 0.049 seconds

   Ordered by: internal time
   List reduced from 387 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        3    0.000    0.000    0.001    0.000 evaluation_validation.py:56(read_integer_settings)
       27    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       89    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        8    0.000    0.000    0.000    0.000 argparse.py:1512(_add_action)
      7/5    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
      5/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       25    0.000    0.000    0.000    0.000 __init__.py:280(_compile)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      865    0.000    0.000    0.000    0.000 stub_multicore_cut_and_schedule.py:153(<genexpr>)
       26    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
      108    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        1    0.000    0.000    0.036    0.036 direct_solve.py:26(build)


