case_id,cores,graph_sha256,B,U,L,window_L,separator_L,current_speedup,speedup_upper,max_makespan_reduction,max_relative_speedup_gain,extra_ddr_bytes,spill_bytes,selected,old_conditional_scalar,old_scalar_certified_by_domination
005,4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,95618,42167,16115,16115,15971,2.267602627647212,5.933478125969594,0.6178291080702919,1.6166304685076016,1150250,0,heavy-or-sink,16110,True
005,5,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,95618,42487,12976,12976,12777,2.2505236895991714,7.36883477188656,0.6945889330854144,2.274275585696671,1344286,0,heavy-or-sink,12916,True
006,1,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,82837,82837,69000,69000,69000,1.0,1.200536231884058,0.16703888359066602,0.20053623188405797,16400,16400,bounded,69019,False
006,2,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,82837,43425,34500,34500,34500,1.907587795048935,2.401072463768116,0.20552677029360966,0.25869565217391305,830640,0,fork-frontier,34519,False
006,3,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,82837,31153,23000,23000,23000,2.6590376528745225,3.601608695652174,0.2617083426957275,0.35447826086956524,30080,0,bounded,23019,False
006,4,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,82837,30204,17250,17250,17250,2.742583763739902,4.802144927536232,0.4288835915772745,0.7509565217391304,923392,0,fork-frontier,17269,False
006,5,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,82837,31153,13800,13800,13800,2.6590376528745225,6.00268115942029,0.5570250056174365,1.257463768115942,30080,0,shared-input,13819,False
007,1,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,1012562,1012562,979056,979056,979020,1.0,1.0342227615172166,0.03309031940760171,0.034222761517216586,0,0,bounded,979236,False
007,2,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,1012562,507494,489546,489546,489510,1.9952196479170197,2.0683694688548164,0.035365935360812145,0.03666254039456966,27648,0,bounded,489726,False
007,3,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,1012562,338094,326376,326376,326340,2.994912657426633,3.102440130401745,0.03465900015971889,0.03590337524818001,55296,0,bounded,326556,False
007,4,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,1012562,254398,244791,244791,244755,3.980227831979811,4.136434754545714,0.03776366166400679,0.03924572390324808,82944,0,bounded,244971,False
007,5,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,1012562,203834,195840,195840,195804,4.967581463347626,5.170353349673203,0.03921818734852871,0.04081903594771242,110592,0,bounded,196020,False
008,1,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,487605,487605,250128,250128,250128,1.0,1.9494218959892535,0.48702740948103485,0.9494218959892535,0,0,bounded,250334,False
008,2,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,487605,194956,125064,125064,125064,2.5011028129424075,3.898843791978507,0.35850140544533127,0.55884986886714,7962624,0,fork-frontier,125270,False
008,3,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,487605,137062,83376,83376,83376,3.5575505975397994,5.848265687967761,0.3916913513592389,0.6439023220111303,3981312,0,shared-input,83582,False
008,4,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,487605,117710,62532,62532,62532,4.142426301928468,7.797687583957014,0.4687622122164642,0.8823962131388728,3981312,0,shared-input,62738,False
008,5,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,487605,100603,50026,50026,50026,4.846823653370178,9.747031543597329,0.5027384869238491,1.0110142725782594,0,0,bounded,50232,False
009,1,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,153261,153397,119992,119992,119992,0.9991134116051813,1.2772601506767118,0.21776827447733657,0.27839355957063805,0,0,bounded,119998,False
009,2,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,153261,92011,59996,59996,59996,1.665681277238591,2.5545203013534237,0.347947528012955,0.5336189079271951,322174,0,overload,60002,False
009,3,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,153261,69982,39998,39998,39998,2.190006001543254,3.8317165858292914,0.42845303077934327,0.7496374818740937,435856,0,overload,40004,False
009,4,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,153261,57707,29998,29998,29998,2.655847644133294,5.109040602706847,0.4801670507910652,0.9236949129941996,496354,0,overload,30004,False
009,5,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,153261,50248,23999,23999,23999,3.0500915459321765,6.3861410892120505,0.5223889508040122,1.0937539064127673,545012,0,overload,24005,False
010,1,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,86969,86969,55496,55496,55496,1.0,1.5671219547354764,0.3618875691338293,0.5671219547354764,0,0,bounded,55532,False
010,2,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,86969,45626,27748,27748,27748,1.9061280848638933,3.134243909470953,0.39183798711261125,0.6442986881937437,48384,0,bounded,27784,False
010,3,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,86969,30856,18499,18499,18499,2.8185442053409386,4.70128115033245,0.4004731656728027,0.6679820530839505,48384,0,bounded,18535,False
010,4,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,86969,29856,13874,13874,13874,2.9129488210075025,6.268487818941906,0.5353027867095391,1.151938878477728,96768,0,bounded,13910,False
010,5,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,86969,29434,11100,11100,11100,2.9547122375484136,7.835045045045045,0.6228850988652579,1.6517117117117117,1052804,0,fork-frontier,11136,False
011,1,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,184697,184697,184524,184524,184448,1.0,1.0009375474193059,0.0009366692474701808,0.0009375474193058898,0,0,bounded,184662,False
011,2,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,184697,92646,92300,92300,92224,1.9935777043801135,2.001050920910076,0.0037346458562701034,0.0037486457204767066,180224,0,bounded,92438,False
011,3,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,184697,69625,61559,61559,61483,2.6527396768402154,3.0003248915674394,0.1158491921005386,0.13102876914829675,540672,0,fork-frontier,61697,False
011,4,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,184697,46880,46188,46188,46112,3.9397824232081913,3.9988092145145924,0.014761092150170648,0.014982246470944835,540672,0,bounded,46326,False
011,5,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,184697,46880,36966,36966,36890,3.9397824232081913,4.996402099226316,0.21147610921501706,0.2681923930097928,540672,0,shared-input,37104,False
