cores,n,mean_speedup,mean_ceiling,mean_gap,relative_mean_speedup_gain_cap_pct,mean_per_case_makespan_reduction_cap_pct,median_per_case_makespan_reduction_cap_pct,mean_per_case_speedup_gain_cap_pct,median_per_case_speedup_gain_cap_pct,near_1pct_count,near_5pct_count,near_10pct_count,exact_count
1,100,1.2061392350623783,1.2424989201120464,0.03635968504966814,3.0145512220061157,2.6383978814203517,0.8597821203118085,2.8622153692144408,0.8672389346244129,51,81,90,0
2,100,2.3167268583014735,2.4805789917868215,0.1638521334853478,7.072570203872772,5.909581575776676,3.5677197003462107,7.06930730277099,3.699724191109372,29,62,81,0
3,100,3.2355656076453716,3.7036829212462457,0.46811731360087383,14.467866529881258,11.52031216140649,7.929134939502231,15.762167923492504,8.612234602614397,12,32,52,0
4,100,3.9711493100640376,4.922559197618643,0.9514098875546055,23.95804874783878,17.64093407975393,14.487149305875352,28.430490621277713,16.942192749639677,11,33,42,0
5,100,4.549756996698352,6.108041537154269,1.558284540455917,34.24984107034126,23.806054416731442,20.914063078800687,43.646455548471884,26.44880428202012,6,23,33,0
