unit,slot,charged_index,phase,status,makespan,best_so_far,added_copy_bytes,spill_bytes,wall_seconds,timeout_seconds,completed_elapsed,plan,plan_sha256,output
002-M2,1,1,initial,ok,132209,132209,485376,0,0.9850000000005821,120,2.04700000000048,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/baseline/plan.json,41c18c428c094bf2a07223ec2deffd3d174e3c26b3cef35064fd54c430c6b07e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-01-initial
002-M2,2,2,explore,ok,207866,132209,605184,119808,0.6719999999995707,120,3.17200000000048,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-01/plan.json,ea6c23049c6127ff83581f3070a19a5d67bb252bad597c3f9ff19fbb740a7c0f,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-02-explore
002-M2,3,3,explore,ok,206795,132209,583680,98304,0.7340000000003783,120,4.266000000000531,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-02/plan.json,e5c27e0b95671ed6dfe369ba47d2ac5e54458449c3c5c69b1a42f55b0ebfe893,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-03-explore
002-M2,4,4,explore,ok,243326,132209,509952,24576,1.5619999999998981,120,6.530999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-03/plan.json,240912b6277002ed38b92c8010925947c66fce6b838f0e77cae6cae8aa784847,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-04-explore
002-M2,5,5,explore,ok,167894,132209,556032,70656,0.8119999999998981,120,8.25,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-05/plan.json,4ddba9f95e654a06f6a7695a278d1d8ce37be46ce71eff66a8e6c931407bfd49,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-05-explore
002-M2,6,6,explore,ok,207866,132209,605184,119808,1.1090000000003783,120,10.0,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-06/plan.json,1b97bd0a2171e9f0b52430271e970306c1938fc5a467d84fb364ccccd4c326c2,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-06-explore
002-M2,7,7,explore,ok,206769,132209,583680,98304,0.7659999999996217,120,11.20300000000043,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-07/plan.json,e66abafba4ce8266d6f88821f1b5b561367a2115f22819c923608635f9fcd022,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-07-explore
002-M2,8,8,explore,ok,243440,132209,509952,24576,1.2659999999996217,120,12.984000000000378,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-08/plan.json,cbba858c8d40f119aec184bf7a00e7b1f88d6a9bc6d79cc5b7e764989bde553a,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-08-explore
002-M2,9,9,explore,ok,168158,132209,556032,70656,0.625,120,14.641000000000531,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-10/plan.json,a23a22622f30108b4163181944274e64c679ee50b5fe444c6bdf9fee6311a919,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-09-explore
002-M2,10,10,explore,ok,207705,132209,605184,119808,0.8119999999998981,120,15.766000000000531,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-11/plan.json,6b4a8568d27237f66815cc1b7e8f2a9a50a27c2151235c1edd5437907ac1dd15,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-10-explore
002-M2,11,11,explore,ok,206391,132209,580608,95232,0.8589999999994689,120,17.063000000000102,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-12/plan.json,57e7ec36896cd131b3f0d3db3379ef019308c04f7e41f3e42b7899ecf96cdb06,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-11-explore
002-M2,12,12,explore,ok,243729,132209,509952,24576,0.6409999999996217,120,18.20300000000043,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-13/plan.json,a7c67f6d6186d27e5d1ba1d8ab7fa002e7548b9e2d7cfb018fbfcbdd13db3f80,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-12-explore
002-M2,13,13,explore,ok,168033,132209,556032,70656,1.094000000000051,120,20.01600000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-15/plan.json,c92278e6e54cbbc7439bf62d4aa07bee85e2d3d59063b7a2478adf8bac2ac547,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-13-explore
002-M2,14,14,explore,ok,206800,132209,595968,110592,1.1400000000003274,120,21.75,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-16/plan.json,35c5130d418d3857420a8dea5c772d1acf5f604c14ac43327d30a805967f35be,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-14-explore
002-M2,15,15,explore,ok,204833,132209,577536,92160,0.625,120,22.76600000000053,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/proposal-17/plan.json,25688cd8cc29b22660a3bc5d48ee91dc75c16b6898a1c9dd768176ade717acfc,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M2/eval-15-explore
