case,cores,upper,lower,certified,domain,gap
016,4,2249997,1928760,1,at most one eligible producer per original tensor,0.1665510483419399
016,5,2091375,1543016,1,at most one eligible producer per original tensor,0.35538127926087615
017,1,111608,110641,1,at most one eligible producer per original tensor,0.008739978850516472
017,2,56703,55341,1,at most one eligible producer per original tensor,0.024611047866861746
017,3,42129,36908,1,at most one eligible producer per original tensor,0.14145984610382567
017,4,31517,27691,1,at most one eligible producer per original tensor,0.13816763569390766
017,5,28510,22161,1,at most one eligible producer per original tensor,0.2864942917738369
018,1,971704,971373,1,at most one eligible producer per original tensor,0.00034075478729600484
018,2,488869,485713,1,at most one eligible producer per original tensor,0.00649766425852305
018,3,328555,323827,1,at most one eligible producer per original tensor,0.014600388479033555
018,4,248834,242883,1,at most one eligible producer per original tensor,0.02450150895698755
018,5,196504,194317,1,at most one eligible producer per original tensor,0.011254805292383097
019,1,51676,48493,1,at most one eligible producer per original tensor,0.06563833955416243
019,2,26298,24275,1,at most one eligible producer per original tensor,0.08333676622039143
019,3,19189,16203,1,at most one eligible producer per original tensor,0.18428686045793996
019,4,17874,12234,1,at most one eligible producer per original tensor,0.4610102991662579
019,5,16247,12234,1,at most one eligible producer per original tensor,0.328020271374857
020,1,532746,532608,1,at most one eligible producer per original tensor,0.00025910237923576496
020,2,266828,266304,1,at most one eligible producer per original tensor,0.001967676039413613
020,3,180314,177536,1,at most one eligible producer per original tensor,0.01564753064167257
020,4,146116,133152,1,at most one eligible producer per original tensor,0.09736241288151892
020,5,110112,106552,1,at most one eligible producer per original tensor,0.03341091673549057
021,1,6560801,6192816,1,at most one eligible producer per original tensor,0.05942127135700459
021,2,3253018,3096816,1,at most one eligible producer per original tensor,0.05043954823276553
021,3,2170286,2065032,1,at most one eligible producer per original tensor,0.050969670203657946
021,4,1605196,1548816,1,at most one eligible producer per original tensor,0.03640199997933902
021,5,1272517,1239216,1,at most one eligible producer per original tensor,0.02687263560186448
022,1,54123,54087,1,at most one eligible producer per original tensor,0.0006655943202618086
022,2,27951,27044,1,at most one eligible producer per original tensor,0.0335379381748262
022,3,19220,18029,1,at most one eligible producer per original tensor,0.06606023628598368
022,4,15012,13522,1,at most one eligible producer per original tensor,0.1101908001774885
022,5,12863,10818,1,at most one eligible producer per original tensor,0.18903679053429467
023,1,78981,69558,1,at most one eligible producer per original tensor,0.13546967997929782
023,2,38173,34779,1,at most one eligible producer per original tensor,0.0975876247160643
023,3,27272,23186,1,at most one eligible producer per original tensor,0.17622703355473135
023,4,24256,17390,1,at most one eligible producer per original tensor,0.39482461184588846
023,5,19530,13912,1,at most one eligible producer per original tensor,0.40382403680276013
024,1,2555343,2554795,1,at most one eligible producer per original tensor,0.00021449861926292613
024,2,1334233,1277404,1,at most one eligible producer per original tensor,0.04448788323819253
024,3,957207,851612,1,at most one eligible producer per original tensor,0.12399426029694283
024,4,748761,638715,1,at most one eligible producer per original tensor,0.17229280665085356
024,5,695607,510980,1,at most one eligible producer per original tensor,0.36131942541782447
025,1,4703066,4702860,1,at most one eligible producer per original tensor,4.380313256180379e-05
025,2,2351860,2351448,1,at most one eligible producer per original tensor,0.0001752111890205299
025,3,1568824,1567644,1,at most one eligible producer per original tensor,0.0007527219190071044
025,4,1177396,1176000,1,at most one eligible producer per original tensor,0.0011870748299320777
025,5,942938,940800,1,at most one eligible producer per original tensor,0.0022725340136053873
026,1,74116,70768,1,at most one eligible producer per original tensor,0.047309518426407404
026,2,39853,35384,1,at most one eligible producer per original tensor,0.1263000226090889
026,3,32073,23590,1,at most one eligible producer per original tensor,0.3596015260703689
026,4,26189,17692,1,at most one eligible producer per original tensor,0.48027356997512993
026,5,28682,14154,1,at most one eligible producer per original tensor,1.0264236258301542
027,1,2363952,2229528,1,at most one eligible producer per original tensor,0.060292582107064785
027,2,1120962,1114968,1,at most one eligible producer per original tensor,0.0053759390404028995
027,3,837049,743448,1,at most one eligible producer per original tensor,0.12590120627131962
027,4,559196,557688,1,at most one eligible producer per original tensor,0.0027040208862303405
027,5,558753,446232,1,at most one eligible producer per original tensor,0.25215807024148873
028,1,40375049,38975424,1,at most one eligible producer per original tensor,0.03591044962076606
028,2,19839080,19488120,1,at most one eligible producer per original tensor,0.018008920306319842
028,3,13235109,12992352,1,at most one eligible producer per original tensor,0.018684607683043142
028,4,10010954,9744468,1,at most one eligible producer per original tensor,0.02734741393783624
028,5,8089360,7795738,1,at most one eligible producer per original tensor,0.03766442638272349
029,1,37555,37485,1,at most one eligible producer per original tensor,0.0018674136321195078
029,2,18880,18743,1,at most one eligible producer per original tensor,0.007309395507656191
029,3,13806,12495,1,at most one eligible producer per original tensor,0.10492196878751492
029,4,13093,9372,1,at most one eligible producer per original tensor,0.3970337174562526
029,5,11624,7497,1,at most one eligible producer per original tensor,0.5504868614112313
030,1,2820990,2776798,1,at most one eligible producer per original tensor,0.01591473344478067
030,2,1394113,1388558,1,at most one eligible producer per original tensor,0.0040005530917686105
030,3,931517,925812,1,at most one eligible producer per original tensor,0.006162158191943989
030,4,696338,694438,1,at most one eligible producer per original tensor,0.0027360253903156995
030,5,558860,555614,1,at most one eligible producer per original tensor,0.005842185402095801
031,1,1344175,1334533,1,at most one eligible producer per original tensor,0.007224999306873592
031,2,690973,667287,1,at most one eligible producer per original tensor,0.03549597099898549
031,3,479195,444872,1,at most one eligible producer per original tensor,0.07715252926684535
031,4,357742,333664,1,at most one eligible producer per original tensor,0.07216241488443464
031,5,309598,266940,1,at most one eligible producer per original tensor,0.15980370120626364
032,1,34103,33995,1,at most one eligible producer per original tensor,0.0031769377849684144
032,2,17758,16998,1,at most one eligible producer per original tensor,0.04471114248735142
032,3,13715,11332,1,at most one eligible producer per original tensor,0.21028944581715492
032,4,11239,8499,1,at most one eligible producer per original tensor,0.3223908695140605
032,5,10714,6799,1,at most one eligible producer per original tensor,0.5758199735255185
033,1,1741213,1728177,1,at most one eligible producer per original tensor,0.007543208826410686
033,2,871884,864123,1,at most one eligible producer per original tensor,0.00898136029245844
033,3,582998,576105,1,at most one eligible producer per original tensor,0.011964832799576497
033,4,441108,432096,1,at most one eligible producer per original tensor,0.020856476338591445
033,5,352730,345739,1,at most one eligible producer per original tensor,0.020220455314558183
