case,cores,upper,lower,certified,domain,gap
079,2,15593578,14712600,1,at most one eligible producer per original tensor,0.05987915120373022
079,3,10356963,9808536,1,at most one eligible producer per original tensor,0.055913237204818333
079,4,7738844,7356504,1,at most one eligible producer per original tensor,0.05197305676718189
079,5,6212296,5885496,1,at most one eligible producer per original tensor,0.055526331170728804
080,1,295392,289196,1,at most one eligible producer per original tensor,0.021424915973941472
080,2,146585,144674,1,at most one eligible producer per original tensor,0.013209007838312248
080,3,99193,96500,1,at most one eligible producer per original tensor,0.02790673575129543
080,4,112232,72520,1,at most one eligible producer per original tensor,0.5476006618863762
080,5,110852,58016,1,at most one eligible producer per original tensor,0.9107142857142858
081,1,151795,151725,1,at most one eligible producer per original tensor,0.00046136101499416604
081,2,77562,75863,1,at most one eligible producer per original tensor,0.02239563423539792
081,3,56714,50575,1,at most one eligible producer per original tensor,0.1213840830449826
081,4,47085,37932,1,at most one eligible producer per original tensor,0.24130022144890861
081,5,40036,30345,1,at most one eligible producer per original tensor,0.31936068545065077
082,1,586186,568048,1,at most one eligible producer per original tensor,0.03193040024786642
082,2,299647,284080,1,at most one eligible producer per original tensor,0.05479794424105888
082,3,209077,189805,1,at most one eligible producer per original tensor,0.10153578672848451
082,4,176595,142758,1,at most one eligible producer per original tensor,0.23702349430504777
082,5,162408,114530,1,at most one eligible producer per original tensor,0.41803894176198386
083,1,835336,810976,1,at most one eligible producer per original tensor,0.030037880282523854
083,2,419057,405558,1,at most one eligible producer per original tensor,0.033285004857505074
083,3,286046,270419,1,at most one eligible producer per original tensor,0.057788099209005184
083,4,210367,202849,1,at most one eligible producer per original tensor,0.03706205108233207
083,5,184594,162308,1,at most one eligible producer per original tensor,0.13730684870739585
084,1,1266708,1266552,1,at most one eligible producer per original tensor,0.00012316904477671642
084,2,634124,633276,1,at most one eligible producer per original tensor,0.001339068589367054
084,3,422652,422184,1,at most one eligible producer per original tensor,0.0011085214029902257
084,4,317988,316932,1,at most one eligible producer per original tensor,0.0033319450229070124
084,5,254640,253428,1,at most one eligible producer per original tensor,0.00478242341019941
085,1,2612553,2565328,1,at most one eligible producer per original tensor,0.018408951993663214
085,2,1321266,1282720,1,at most one eligible producer per original tensor,0.030050205812648167
085,3,926015,855184,1,at most one eligible producer per original tensor,0.08282545042938128
085,4,724833,641416,1,at most one eligible producer per original tensor,0.1300513239457699
085,5,663286,513353,1,at most one eligible producer per original tensor,0.29206608318252747
086,1,90912,79218,1,at most one eligible producer per original tensor,0.14761796561387563
086,2,54402,39668,1,at most one eligible producer per original tensor,0.37143289301199967
086,3,43067,26516,1,at most one eligible producer per original tensor,0.6241891688037411
086,4,45190,19940,1,at most one eligible producer per original tensor,1.2662988966900701
086,5,41466,16152,1,at most one eligible producer per original tensor,1.5672362555720656
087,1,3680317,3593403,1,at most one eligible producer per original tensor,0.024187100639700088
087,2,1857937,1796763,1,at most one eligible producer per original tensor,0.03404678302035391
087,3,1285627,1197883,1,at most one eligible producer per original tensor,0.07324922383905608
087,4,1014377,898443,1,at most one eligible producer per original tensor,0.12903879266686924
087,5,868451,718779,1,at most one eligible producer per original tensor,0.2082309026835787
088,1,182359,173641,1,at most one eligible producer per original tensor,0.05020703635662094
088,2,106593,86837,1,at most one eligible producer per original tensor,0.22750670797010497
088,3,85510,57903,1,at most one eligible producer per original tensor,0.47678013229020944
088,4,92115,43437,1,at most one eligible producer per original tensor,1.1206575039712687
088,5,93547,34759,1,at most one eligible producer per original tensor,1.691302971892172
089,1,589412,589272,1,at most one eligible producer per original tensor,0.0002375812867403404
089,2,294992,294712,1,at most one eligible producer per original tensor,0.0009500800781780949
089,3,206626,196526,1,at most one eligible producer per original tensor,0.051392691043424366
089,4,147992,147432,1,at most one eligible producer per original tensor,0.003798361278419815
089,5,119306,117976,1,at most one eligible producer per original tensor,0.011273479351732618
090,1,840883,840768,1,at most one eligible producer per original tensor,0.0001367797061733178
090,2,431111,420504,1,at most one eligible producer per original tensor,0.025224492513745478
090,3,330540,280416,1,at most one eligible producer per original tensor,0.17874871619308452
090,4,290754,210372,1,at most one eligible producer per original tensor,0.3820945753237124
090,5,260978,168346,1,at most one eligible producer per original tensor,0.5502477041331544
091,1,9013014,8981613,1,at most one eligible producer per original tensor,0.0034961426193713674
091,2,4508443,4490933,1,at most one eligible producer per original tensor,0.0038989670965920986
091,3,3051545,2994040,1,at most one eligible producer per original tensor,0.019206490227251516
091,4,2298823,2245593,1,at most one eligible producer per original tensor,0.023704206416746088
091,5,1851628,1796525,1,at most one eligible producer per original tensor,0.03067199176187363
092,1,3856866,3714292,1,at most one eligible producer per original tensor,0.03838524273266608
092,2,1926496,1857216,1,at most one eligible producer per original tensor,0.037303146214549
092,3,1296643,1238191,1,at most one eligible producer per original tensor,0.04720757944452836
092,4,970497,928678,1,at most one eligible producer per original tensor,0.045030678017569103
092,5,791297,742971,1,at most one eligible producer per original tensor,0.06504426148530706
093,1,74205,74100,1,at most one eligible producer per original tensor,0.001417004048583026
093,2,37827,37116,1,at most one eligible producer per original tensor,0.019156159068865142
093,3,25103,24788,1,at most one eligible producer per original tensor,0.012707761820235586
093,4,19743,18624,1,at most one eligible producer per original tensor,0.060083762886598
093,5,15630,15008,1,at most one eligible producer per original tensor,0.04144456289978682
094,1,71319,70997,1,at most one eligible producer per original tensor,0.004535402904348063
094,2,38834,35525,1,at most one eligible producer per original tensor,0.09314567206192814
094,3,27853,23701,1,at most one eligible producer per original tensor,0.17518248175182483
094,4,24174,17789,1,at most one eligible producer per original tensor,0.35892967564225087
094,5,20349,14242,1,at most one eligible producer per original tensor,0.4288021345316668
095,1,1070301,1069992,1,at most one eligible producer per original tensor,0.00028878720588565443
095,2,535614,534996,1,at most one eligible producer per original tensor,0.0011551488235426177
095,3,357591,356664,1,at most one eligible producer per original tensor,0.00259908485297089
095,4,269686,267498,1,at most one eligible producer per original tensor,0.008179500407479612
095,5,216624,214230,1,at most one eligible producer per original tensor,0.011174905475423547
096,1,54837,53130,1,at most one eligible producer per original tensor,0.0321287408243931
096,2,28547,26565,1,at most one eligible producer per original tensor,0.07460944852249196
096,3,20442,17710,1,at most one eligible producer per original tensor,0.15426312817617172
096,4,16513,13283,1,at most one eligible producer per original tensor,0.24316795904539634
096,5,16806,10626,1,at most one eligible producer per original tensor,0.5815923207227556
097,1,11491509,10303896,1,at most one eligible producer per original tensor,0.11525863615083076
097,2,5617602,5152152,1,at most one eligible producer per original tensor,0.09034089056378769
097,3,3660459,3436560,1,at most one eligible producer per original tensor,0.06515207067532658
097,4,2626908,2576280,1,at most one eligible producer per original tensor,0.019651590665610952
097,5,2102348,2061936,1,at most one eligible producer per original tensor,0.019599056420761762
098,1,163064,162701,1,at most one eligible producer per original tensor,0.002231086471502941
098,2,82752,81351,1,at most one eligible producer per original tensor,0.01722166906368705
098,3,57389,54234,1,at most one eligible producer per original tensor,0.05817383928900699
098,4,45949,40676,1,at most one eligible producer per original tensor,0.12963418231881207
098,5,38611,32541,1,at most one eligible producer per original tensor,0.18653391106603978
099,1,1597968,1595554,1,at most one eligible producer per original tensor,0.0015129541212643982
099,2,801077,797812,1,at most one eligible producer per original tensor,0.004092442831143073
099,3,534590,531898,1,at most one eligible producer per original tensor,0.005061120741194802
099,4,402826,398941,1,at most one eligible producer per original tensor,0.009738282101864781
099,5,325402,319167,1,at most one eligible producer per original tensor,0.019535227639448927
100,1,104261,102007,1,at most one eligible producer per original tensor,0.02209652278765173
100,2,56185,51004,1,at most one eligible producer per original tensor,0.1015802682142577
100,3,41384,34003,1,at most one eligible producer per original tensor,0.21706908213981113
100,4,36342,25502,1,at most one eligible producer per original tensor,0.4250647008077797
100,5,39567,20402,1,at most one eligible producer per original tensor,0.9393686893441819
