cores,gap,cdf
1,4.3803132561803793e-05,0.01
1,7.1030690313333977e-05,0.02
1,0.00012316904477671642,0.029999999999999999
1,0.00013677970617331781,0.040000000000000001
1,0.00016964584818635053,0.050000000000000003
1,0.00021040675916395024,0.059999999999999998
1,0.00021449861926292613,0.070000000000000007
1,0.00021777803100797577,0.080000000000000002
1,0.0002375812867403404,0.089999999999999997
1,0.00024173739299393482,0.10000000000000001
1,0.00025910237923576496,0.11
1,0.00028878720588565443,0.12
1,0.00034075478729600484,0.13
1,0.00039796243234646589,0.14000000000000001
1,0.00046136101499416604,0.14999999999999999
1,0.00064474729572827627,0.16
1,0.00066559432026180865,0.17000000000000001
1,0.00067825131357523993,0.17999999999999999
1,0.00085232779914323764,0.19
1,0.00090268168939844351,0.20000000000000001
1,0.00092506167077810453,0.20999999999999999
1,0.00093754741930585084,0.22
1,0.0010074145712444249,0.23000000000000001
1,0.0010998119162231035,0.23999999999999999
1,0.0012353674918441637,0.25
1,0.001332454581924436,0.26000000000000001
1,0.001417004048583026,0.27000000000000002
1,0.0015129541212643982,0.28000000000000003
1,0.0017442356873060838,0.28999999999999998
1,0.0018644138117018816,0.29999999999999999
1,0.0018674136321195078,0.31
1,0.0019387251665983207,0.32000000000000001
1,0.002112075189981466,0.33000000000000002
1,0.002231086471502941,0.34000000000000002
1,0.0025163684639291084,0.34999999999999998
1,0.0026355233574819614,0.35999999999999999
1,0.0029982535173260771,0.37
1,0.0031769377849684144,0.38
1,0.0032276518656111364,0.39000000000000001
1,0.0033598947709552185,0.40000000000000002
1,0.0034961426193713674,0.40999999999999998
1,0.0035070612909335885,0.41999999999999998
1,0.0039855072463768071,0.42999999999999999
1,0.0040836362630971568,0.44
1,0.0045354029043480626,0.45000000000000001
1,0.0047497866126360311,0.46000000000000002
1,0.0060842171816186674,0.46999999999999997
1,0.0072249993068735918,0.47999999999999998
1,0.0075432088264106856,0.48999999999999999
1,0.0086047998419718219,0.5
1,0.0087399788505164722,0.51000000000000001
1,0.01105653395490469,0.52000000000000002
1,0.011548436809000862,0.53000000000000003
1,0.011852407089152139,0.54000000000000004
1,0.012991092740868293,0.55000000000000004
1,0.013159470138125462,0.56000000000000005
1,0.014717884640385925,0.56999999999999995
1,0.015914733444780671,0.57999999999999996
1,0.018408951993663214,0.58999999999999997
1,0.020638530873557492,0.59999999999999998
1,0.020845109851360233,0.60999999999999999
1,0.021424915973941472,0.62
1,0.022096522787651729,0.63
1,0.024187100639700088,0.64000000000000001
1,0.027539679284747542,0.65000000000000002
1,0.027980130052571273,0.66000000000000003
1,0.027989785136459,0.67000000000000004
1,0.028952036153137684,0.68000000000000005
1,0.030037880282523854,0.68999999999999995
1,0.03193040024786642,0.69999999999999996
1,0.032128740824393098,0.70999999999999996
1,0.033703936787637279,0.71999999999999997
1,0.034383313715444341,0.72999999999999998
1,0.035910449620766061,0.73999999999999999
1,0.036794380739838095,0.75
1,0.037474593495934849,0.76000000000000001
1,0.038385242732666081,0.77000000000000002
1,0.039426264956032853,0.78000000000000003
1,0.044010601418057682,0.79000000000000004
1,0.044572616639373175,0.80000000000000004
1,0.047309518426407404,0.81000000000000005
1,0.050207036356620938,0.81999999999999995
1,0.05942127135700459,0.82999999999999996
1,0.060172089729853884,0.83999999999999997
1,0.060292582107064785,0.84999999999999998
1,0.063773759494158977,0.85999999999999999
1,0.06387079983437105,0.87
1,0.065638339554162428,0.88
1,0.086155786818038482,0.89000000000000001
1,0.09286901214760479,0.90000000000000002
1,0.1042076021410665,0.91000000000000003
1,0.11525863615083076,0.92000000000000004
1,0.11898056885384389,0.93000000000000005
1,0.12021797936758327,0.93999999999999995
1,0.12879198399952707,0.94999999999999996
1,0.13546967997929782,0.95999999999999996
1,0.13669405815423508,0.96999999999999997
1,0.14761796561387563,0.97999999999999998
1,0.15057156465825194,0.98999999999999999
1,0.17578045421225008,1
2,0.0001752111890205299,0.01
2,0.00067847266356335645,0.02
2,0.0008256844747784875,0.029999999999999999
2,0.00086156911744295073,0.040000000000000001
2,0.00093774053315698325,0.050000000000000003
2,0.00095008007817809492,0.059999999999999998
2,0.0011551488235426177,0.070000000000000007
2,0.001339068589367054,0.080000000000000002
2,0.0015910537321575102,0.089999999999999997
2,0.0018914313349656098,0.10000000000000001
2,0.0019676760394136128,0.11
2,0.002711236186423216,0.12
2,0.0035654792574397742,0.13
2,0.0037486457204767287,0.14000000000000001
2,0.0038989670965920986,0.14999999999999999
2,0.0040005530917686105,0.16
2,0.0040924428311430727,0.17000000000000001
2,0.0049414699673766549,0.17999999999999999
2,0.0051347377895321067,0.19
2,0.0053262571112213664,0.20000000000000001
2,0.0053264628151314941,0.20999999999999999
2,0.0053759390404028995,0.22
2,0.0064976642585230504,0.23000000000000001
2,0.0073093955076561912,0.23999999999999999
2,0.0073841953398900984,0.25
2,0.0074710080285458336,0.26000000000000001
2,0.0083596755151007507,0.27000000000000002
2,0.0088684642864775842,0.28000000000000003
2,0.0089813602924584401,0.28999999999999998
2,0.013209007838312248,0.29999999999999999
2,0.01582597178170575,0.31
2,0.017221669063687051,0.32000000000000001
2,0.017369157354855336,0.33000000000000002
